"SerialID","Index","Datetime_UTC","Button Down","Button Up","Host Connected","End of File","Variable","Value"
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","39",2022-07-20 01:06:20,NA,NA,NA,NA,"Lux",690.88
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","40",2022-07-20 02:06:20,NA,NA,NA,NA,"Temperature",5.23
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","40",2022-07-20 02:06:20,NA,NA,NA,NA,"Lux",596.8
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","41",2022-07-20 03:06:20,NA,NA,NA,NA,"Temperature",3.47
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","41",2022-07-20 03:06:20,NA,NA,NA,NA,"Lux",460.16
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","42",2022-07-20 04:06:20,NA,NA,NA,NA,"Temperature",3.13
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","42",2022-07-20 04:06:20,NA,NA,NA,NA,"Lux",618.72
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","43",2022-07-20 05:06:20,NA,NA,NA,NA,"Temperature",3.09
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","43",2022-07-20 05:06:20,NA,NA,NA,NA,"Lux",1181.44
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","44",2022-07-20 06:06:20,NA,NA,NA,NA,"Temperature",5.27
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","44",2022-07-20 06:06:20,NA,NA,NA,NA,"Lux",1304.96
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","45",2022-07-20 07:06:20,NA,NA,NA,NA,"Temperature",6.05
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","45",2022-07-20 07:06:20,NA,NA,NA,NA,"Lux",2695.68
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","46",2022-07-20 08:06:20,NA,NA,NA,NA,"Temperature",4.46
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","46",2022-07-20 08:06:20,NA,NA,NA,NA,"Lux",4532.48
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","47",2022-07-20 09:06:20,NA,NA,NA,NA,"Temperature",8.02
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","47",2022-07-20 09:06:20,NA,NA,NA,NA,"Lux",8238.08
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","48",2022-07-20 10:06:20,NA,NA,NA,NA,"Temperature",13.04
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","48",2022-07-20 10:06:20,NA,NA,NA,NA,"Lux",15703.04
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","49",2022-07-20 11:06:20,NA,NA,NA,NA,"Temperature",12.87
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","49",2022-07-20 11:06:20,NA,NA,NA,NA,"Lux",15416.32
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","50",2022-07-20 12:06:20,NA,NA,NA,NA,"Temperature",20.12
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","50",2022-07-20 12:06:20,NA,NA,NA,NA,"Lux",31180.8
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","51",2022-07-20 13:06:20,NA,NA,NA,NA,"Temperature",26.34
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","51",2022-07-20 13:06:20,NA,NA,NA,NA,"Lux",11412.48
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","52",2022-07-20 14:06:20,NA,NA,NA,NA,"Temperature",24.66
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","52",2022-07-20 14:06:20,NA,NA,NA,NA,"Lux",12876.8
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","53",2022-07-20 15:06:20,NA,NA,NA,NA,"Temperature",24.62
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","53",2022-07-20 15:06:20,NA,NA,NA,NA,"Lux",30105.6
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","54",2022-07-20 16:06:20,NA,NA,NA,NA,"Temperature",37.23
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","54",2022-07-20 16:06:20,NA,NA,NA,NA,"Lux",75489.28
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","55",2022-07-20 17:06:20,NA,NA,NA,NA,"Temperature",39.12
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","55",2022-07-20 17:06:20,NA,NA,NA,NA,"Lux",68710.4
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","56",2022-07-20 18:06:20,NA,NA,NA,NA,"Temperature",37.58
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","56",2022-07-20 18:06:20,NA,NA,NA,NA,"Lux",61603.84
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","57",2022-07-20 19:06:20,NA,NA,NA,NA,"Temperature",29.86
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","57",2022-07-20 19:06:20,NA,NA,NA,NA,"Lux",56545.28
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","58",2022-07-20 20:06:20,NA,NA,NA,NA,"Temperature",24.62
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","58",2022-07-20 20:06:20,NA,NA,NA,NA,"Lux",42229.76
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","59",2022-07-20 21:06:20,NA,NA,NA,NA,"Temperature",18.27
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","59",2022-07-20 21:06:20,NA,NA,NA,NA,"Lux",23490.56
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","60",2022-07-20 22:06:20,NA,NA,NA,NA,"Temperature",13.55
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","60",2022-07-20 22:06:20,NA,NA,NA,NA,"Lux",11238.4
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","61",2022-07-20 23:06:20,NA,NA,NA,NA,"Temperature",7.38
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","61",2022-07-20 23:06:20,NA,NA,NA,NA,"Lux",4806.4
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","62",2022-07-21 00:06:20,NA,NA,NA,NA,"Temperature",4.67
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","62",2022-07-21 00:06:20,NA,NA,NA,NA,"Lux",3589.12
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","63",2022-07-21 01:06:20,NA,NA,NA,NA,"Temperature",2.87
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","63",2022-07-21 01:06:20,NA,NA,NA,NA,"Lux",1922.56
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","64",2022-07-21 02:06:20,NA,NA,NA,NA,"Temperature",3.39
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","64",2022-07-21 02:06:20,NA,NA,NA,NA,"Lux",842.24
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","65",2022-07-21 03:06:20,NA,NA,NA,NA,"Temperature",3.43
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","65",2022-07-21 03:06:20,NA,NA,NA,NA,"Lux",420.64
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","66",2022-07-21 04:06:20,NA,NA,NA,NA,"Temperature",3.34
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","66",2022-07-21 04:06:20,NA,NA,NA,NA,"Lux",491.2
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","67",2022-07-21 05:06:20,NA,NA,NA,NA,"Temperature",3.69
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","67",2022-07-21 05:06:20,NA,NA,NA,NA,"Lux",746.24
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","68",2022-07-21 06:06:20,NA,NA,NA,NA,"Temperature",5.53
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","68",2022-07-21 06:06:20,NA,NA,NA,NA,"Lux",1789.44
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","69",2022-07-21 07:06:20,NA,NA,NA,NA,"Temperature",6.48
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","69",2022-07-21 07:06:20,NA,NA,NA,NA,"Lux",3014.4
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","70",2022-07-21 08:06:20,NA,NA,NA,NA,"Temperature",8.02
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","70",2022-07-21 08:06:20,NA,NA,NA,NA,"Lux",5016.32
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","71",2022-07-21 09:06:20,NA,NA,NA,NA,"Temperature",9.65
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","71",2022-07-21 09:06:20,NA,NA,NA,NA,"Lux",6161.92
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","72",2022-07-21 10:06:20,NA,NA,NA,NA,"Temperature",10.89
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","72",2022-07-21 10:06:20,NA,NA,NA,NA,"Lux",7285.76
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","73",2022-07-21 11:06:20,NA,NA,NA,NA,"Temperature",17.89
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","73",2022-07-21 11:06:20,NA,NA,NA,NA,"Lux",16020.48
