"","...1","X.x","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.y","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter"
"53",81,81,"AB",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",4.3,NA,NA,NA,22,17,21,20,NA,NA,"H15SP29",NA,"1",NA,20,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",82,82,"AB",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",5.7,NA,NA,NA,24,23,10,23,NA,NA,"H15SP29",NA,"1",NA,19,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",83,83,"IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP3",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",84,84,"AB",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP30",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",85,85,"IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP4",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",86,86,"IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",1,NA,NA,NA,11,NA,NA,16,NA,NA,"H15SP5",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",87,87,"IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP6",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",88,88,"IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP7",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",89,89,"IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",17,NA,NA,NA,30,28,21,11,9,12,"H15SP8",NA,"1",10.6666666666667,26.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",90,90,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",31.3,NA,NA,NA,33,36,42,27,9,NA,"H15SP9",NA,"1",NA,37,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
