"","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm"
"652","IR","K15CSp3",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653","IR","K15CSp3",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654","IR","K15CSp4",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"655","IR","K15CSp4",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"656","IR","K15CSp4",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657","IR","K15CSp4",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658","IR","K15CSp5",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659","IR","K15CSp5",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"660","IR","K15CSp5",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661","IR","K15CSp5",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662","IR","K15CSp6",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"663","IR","K15CSp6",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"664","IR","K15CSp6",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"665","IR","K15CSp6",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666","IR","K15CSp7",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"667","IR","K15CSp7",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"668","IR","K15CSp7",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"669","IR","K15CSp7",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670","AB","K15CSp8",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"671","AB","K15CSp8",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"672","AB","K15CSp8",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","AB","K15CSp8",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"674","AB","K15CSp9",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675","AB","K15CSp9",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"676","AB","K15CSp9",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677","AB","K15CSp9",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678","LB","K15CSr1",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679","LB","K15CSr1",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680","LB","K15CSr1",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","LB","K15CSr1",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682","LB","K15CSr2",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683","LB","K15CSr2",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684","LB","K15CSr2",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"685","LB","K15CSr3",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686","LB","K15CSr3",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687","LB","K15CSr3",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688","LB","K15CSr3",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"689","LB","K15CSr4",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","LB","K15CSr4",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691","LB","K15CSr4",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"692","LB","K15CSr4",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693","SW","K15CSr5",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694","SW","K15CSr5",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","SW","K15CSr5",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696","SW","K15CSr5",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","SW","K15CSr6",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"698","SW","K15CSr6",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"699","SW","K15CSr6",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700","SW","K15CSr6",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701","IR","K15CSr7",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","IR","K15CSr7",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","IR","K15CSr7",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"704","IR","K15CSr7",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705","AC","K15CSr8",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"706","AC","K15CSr8",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"707","AC","K15CSr8",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"708","AC","K15CSr8",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","AC","K15CSr9",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"710","AC","K15CSr9",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711","AC","K15CSr9",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712","MG","K15ESp1",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713","MG","K15ESp1",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714","MG","K15ESp1",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715","MG","K15ESp1",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"716","MG","K15ESp10",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717","MG","K15ESp10",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718","MG","K15ESp10",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719","MG","K15ESp10",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720","CF","K15ESp2",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721","CF","K15ESp2",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"722","CF","K15ESp2",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723","CF","K15ESp2",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"724","CF","K15ESp3",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725","CF","K15ESp3",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726","CF","K15ESp3",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"727","CF","K15ESp3",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728","CF","K15ESp4",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"729","CF","K15ESp4",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"730","CF","K15ESp4",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"731","CF","K15ESp4",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"732","MG","K15ESp5",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"733","MG","K15ESp5",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"734","MG","K15ESp5",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"735","MG","K15ESp5",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"736","MG","K15ESp6",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737","MG","K15ESp6",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"738","MG","K15ESp6",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"739","MG","K15ESp6",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740","MG","K15ESp7",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"741","MG","K15ESp7",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"742","MG","K15ESp7",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"743","MG","K15ESp7",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"744","MG","K15ESp8",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"745","MG","K15ESp8",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746","MG","K15ESp8",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"747","MG","K15ESp8",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"748","SW","K15ESr1",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"749","SW","K15ESr1",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"750","SW","K15ESr1",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751","SW","K15ESr1",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"752","IMS","K15PSp1",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"753","IMS","K15PSp1",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"754","IMS","K15PSp1",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"755","IMS","K15PSp1",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"756","IMS","K15PSp1",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"757","IMS","K15PSp1",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"758","IMS","K15PSp1",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"759","IMS","K15PSp1",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"760","IMS","K15PSp2",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"761","IMS","K15PSp2",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"762","IMS","K15PSp2",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"763","IMS","K15PSp2",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764","IMS","K15PSp2",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"765","IMS","K15PSp2",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"766","IMS","K15PSp2",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"767","IMS","K15PSp2",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768","IMS","K15PSp3",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769","IMS","K15PSp3",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"770","IMS","K15PSp3",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"771","IMS","K15PSp3",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"772","IMS","K15PSp3",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"773","IMS","K15PSp3",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774","IMS","K15PSp3",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"775","IMS","K15PSp3",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"776","IMS","K15PSp4",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"777","IMS","K15PSp4",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"778","IMS","K15PSp4",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779","IMS","K15PSp4",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"780","IMS","K15PSp4",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"781","IMS","K15PSp4",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"782","IMS","K15PSp4",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"783","IMS","K15PSp4",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"784","IMS","K15PSp5",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785","IMS","K15PSp5",2015,"Salix pulchra","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"786","IMS","K15PSp5",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"787","IMS","K15PSp5",2015,"Salix pulchra","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"788","IMS","K15PSp5",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"789","IMS","K15PSp5",2015,"Salix pulchra","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"790","IMS","K15PSp5",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"791","IMS","K15PSp5",2015,"Salix pulchra","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"792","LB","K15PSr1",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"793","LB","K15PSr1",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794","LB","K15PSr1",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"795","LB","K15PSr1",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"796","IR","K15PSr10",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"797","IR","K15PSr10",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"798","IR","K15PSr10",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799","IR","K15PSr10",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800","IR","K15PSr11",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"801","IR","K15PSr11",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"802","IR","K15PSr11",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"803","IR","K15PSr11",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"804","IR","K15PSr12",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"805","IR","K15PSr12",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"806","IR","K15PSr12",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"807","IR","K15PSr12",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"808","AC","K15PSr13",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"809","AC","K15PSr13",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"810","AC","K15PSr13",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"811","AC","K15PSr13",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"812","AC","K15PSr14",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"813","AC","K15PSr14",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"814","AC","K15PSr14",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815","AC","K15PSr14",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"816","AC","K15PSr15",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817","AC","K15PSr15",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818","AC","K15PSr15",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819","AC","K15PSr15",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"820","LB","K15PSr2",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821","LB","K15PSr2",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"822","LB","K15PSr2",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"823","LB","K15PSr2",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"824","LB","K15PSr3",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"825","LB","K15PSr3",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826","LB","K15PSr3",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827","LB","K15PSr3",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"828","LB","K15PSr4",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"829","LB","K15PSr4",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"830","LB","K15PSr4",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"831","LB","K15PSr4",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"832","LB","K15PSr5",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"833","LB","K15PSr5",2015,"Salix richardsonii","Kluane","09/07/2016","7","9",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"834","LB","K15PSr5",2015,"Salix richardsonii","Kluane","26/06/2016","6","26",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"835","LB","K15PSr5",2015,"Salix richardsonii","Kluane","05/06/2016","6","5",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"836","IR","K15PSr6",2015,"Salix richardsonii","Kluane","11/08/2016","8","11",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
