"","X","Date_planted","Year_planted","Mother_Canopy_Height_cm","Mother_Width_cm","Mother_Width_2_cm","Mother_Mother_LS","Mother_Length_1_mm","Mother_Length_2_mm","Mother_Length_3_mm","Mother_Stem_Elongation_1_mm","Mother_Stem_Elongation_2_mm","Mother_Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","Mother_biovolume","SampleYear","Mother_mean_stem_elong","Mother_mean_leaf_length","Mother_mean_width","SampleID_standard","Site","Species","max_canopy_height_cm","population.x","max_mean_width_cm","population.y","max_biovol","population"
"22",22,"2017-08-16",2017,56,128,52,25.6,52,52,46,65,60,70,28.3,12.1,372736,2017,65,50,90,"PC17SR6","Kluane","Salix richardsonii",41,"Southern",57.75,"Southern",131248.656,"Southern"
"23",23,"2017-08-16",2017,64,157,137,21.2,56,50,51,135,84,113,34.7,10.2,1376576,2017,110.666666666667,52.3333333333333,147,"PC17SR7","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"24",24,"2017-08-16",2017,64,102,157,22.1,40,46,45,64,71,98,41.4,14.2,1024896,2017,77.6666666666667,43.6666666666667,129.5,"PC17SR8","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"25",25,"2017-08-16",2017,63,110,72,15.5,41,42,38,41,30,18,33.4,13.7,498960,2017,29.6666666666667,40.3333333333333,91,"PC17SR9","Kluane","Salix richardsonii",25.9,"Southern",12.5,"Southern",2394,"Southern"
"26",26,"2017-08-16",2017,78,109,89,51.7,62,53,51,82,65,46,35.3,11.7,756678,2017,64.3333333333333,55.3333333333333,99,"PC17SR10","Kluane","Salix richardsonii",36,"Southern",28,"Southern",23868,"Southern"
"27",27,"2017-08-16",2017,80,120,171,33.4,63,47,54,73,83,87,38.6,12.1,1641600,2017,81,54.6666666666667,145.5,"PC17SR11","Kluane","Salix richardsonii",3.2,"Southern",NA,NA,NA,NA
"28",28,"2017-08-16",2017,41,45,60,8.9,54,53,51,36,90,51,38,8.4,110700,2017,59,52.6666666666667,52.5,"PC17SR12","Kluane","Salix richardsonii",10.2,"Southern",9,"Southern",603.57,"Southern"
"29",29,"2017-08-16",2017,77,136,65,17.7,58,54,54,52,45,71,29.3,11.3,680680,2017,56,55.3333333333333,100.5,"PC17SR13","Kluane","Salix richardsonii",16.1,"Southern",20.05,"Southern",6093.528,"Southern"
"30",30,"2017-08-16",2017,97,145,109,23.8,60,54,58,156,100,85,41.3,11.6,1533085,2017,113.666666666667,57.3333333333333,127,"PC17SR14","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"31",31,"2017-08-16",2017,109,242,224,74.4,61,65,56,84,57,66,36.2,14.8,5908672,2017,69,60.6666666666667,233,"PC17SR15","Kluane","Salix richardsonii",13.7,"Southern",NA,NA,NA,NA
