"","Lat","Lon","Elevation_m","Site","date","Canopy_Height_cm","...8","SampleID","Latitude","Longitude","Elevation","SampleDate","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","mean_width","Match","SampleSite","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleYear","SampleID_standard","...1","Year_measured","Species"
"53",NA,NA,NA,"Kluane",NA,55,NA,"PC17SR3",NA,NA,NA,2017-08-13,68,69,45,38,61,45,44,51,NA,48,46.6666666666667,68.5,"#N/A","Pika Camp",NA,2017-08-16,2017,10.7,38.2,8.4,2017,"PC17SR3",23,NA,"Salix richardsonii"
"54",NA,NA,NA,"Kluane",NA,31,NA,"PC17SR4",NA,NA,NA,2017-08-13,45,36,48,32,33,42,38,41,NA,37.6666666666667,40.3333333333333,40.5,"#N/A","Pika Camp",NA,2017-08-16,2017,9.4,35.5,11.1,2017,"PC17SR4",24,NA,"Salix richardsonii"
"55",NA,NA,NA,"Kluane",NA,66,NA,"PC17SR5",NA,NA,NA,2017-08-13,112,96,37,39,50,54,46,56,NA,42,52,104,"#N/A","Pika Camp",NA,2017-08-16,2017,47.5,33.8,11.8,2017,"PC17SR5",25,NA,"Salix richardsonii"
"56",NA,NA,NA,"Kluane",NA,56,NA,"PC17SR6",NA,NA,NA,2017-08-13,128,52,65,60,70,52,52,46,NA,65,50,90,"#N/A","Pika Camp",NA,2017-08-16,2017,25.6,28.3,12.1,2017,"PC17SR6",26,NA,"Salix richardsonii"
"57",NA,NA,NA,"Kluane",NA,64,NA,"PC17SR7",NA,NA,NA,2017-08-13,157,137,135,84,113,56,50,51,NA,110.666666666667,52.3333333333333,147,"#N/A","Pika Camp",NA,2017-08-16,2017,21.2,34.7,10.2,2017,"PC17SR7",27,NA,"Salix richardsonii"
"58",NA,NA,NA,"Kluane",NA,64,NA,"PC17SR8",NA,NA,NA,2017-08-13,102,157,64,71,98,40,46,45,NA,77.6666666666667,43.6666666666667,129.5,"#N/A","Pika Camp",NA,2017-08-16,2017,22.1,41.4,14.2,2017,"PC17SR8",28,NA,"Salix richardsonii"
"59",NA,NA,NA,"Kluane",NA,63,NA,"PC17SR9",NA,NA,NA,2017-08-13,110,72,41,30,18,41,42,38,NA,29.6666666666667,40.3333333333333,91,"#N/A","Pika Camp",NA,2017-08-16,2017,15.5,33.4,13.7,2017,"PC17SR9",29,NA,"Salix richardsonii"
"60",NA,NA,NA,"Kluane",NA,78,NA,"PC17SR10",NA,NA,NA,2017-08-13,109,89,82,65,46,62,53,51,NA,64.3333333333333,55.3333333333333,99,"#N/A","Pika Camp",NA,2017-08-16,2017,51.7,35.3,11.7,2017,"PC17SR10",30,NA,"Salix richardsonii"
"61",NA,NA,NA,"Kluane",NA,80,NA,"PC17SR11",NA,NA,NA,2017-08-14,120,171,73,83,87,63,47,54,NA,81,54.6666666666667,145.5,"#N/A","Pika Camp",NA,2017-08-16,2017,33.4,38.6,12.1,2017,"PC17SR11",31,NA,"Salix richardsonii"
"62",NA,NA,NA,"Kluane",NA,41,NA,"PC17SR12",NA,NA,NA,2017-08-14,45,60,36,90,51,54,53,51,NA,59,52.6666666666667,52.5,"#N/A","Pika Camp",NA,2017-08-16,2017,8.9,38,8.4,2017,"PC17SR12",32,NA,"Salix richardsonii"
