"","Latitude","Longitude","Elevation","Canopy_Height_cm","SampleYear","Site","Species","...8","SampleDate","SampleID","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","mean_width","biovolume","Match","SampleSite","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleID_standard"
"50",NA,NA,NA,25.8,2022,"Qikiqtaruk","Salix pulchra",NA,2022-07-25,"HESP10",49.5,22.1,22,20,33,31,35,46,8,25,37.3333333333333,35.8,28223.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,84,2017,"Kluane",NA,NA,2017-08-09,"KP17SP1",113,123,51,97,86,59,62,61,NA,78,60.6666666666667,118,1167516,"#N/A","Kluane Plateau",NA,2017-08-10,2017,33,37.8,9.9,"KP17SP1"
"52",NA,NA,NA,49,2017,"Kluane",NA,NA,2017-08-09,"KP17SP3",55,42,59,59,45,53,59,55,NA,54.3333333333333,55.6666666666667,48.5,113190,"#N/A","Kluane Plateau",NA,2017-08-10,2017,12,38.9,10.15,"KP17SP3"
"53",NA,NA,NA,54,2017,"Kluane",NA,NA,2017-08-09,"KP17SP4",184,202,48,22,45,56,61,55,NA,38.3333333333333,57.3333333333333,193,2007072,"#N/A","Kluane Plateau",NA,2017-08-10,2017,15,42.7,15.18,"KP17SP4"
"54",NA,NA,NA,68,2017,"Kluane",NA,NA,2017-08-09,"KP17SP5",115,84,90,58,102,56,56,56,NA,83.3333333333333,56,99.5,656880,"#N/A","Kluane Plateau",NA,2017-08-10,2017,20,32.7,10.6,"KP17SP5"
"55",NA,NA,NA,108,2017,"Kluane",NA,NA,2017-08-09,"KP17SR1",233,182,68,52,66,61,55,55,NA,62,57,207.5,4579848,"#N/A","Kluane Plateau",NA,2017-08-10,2017,55,36.3,22.49,"KP17SR1"
"56",NA,NA,NA,44,2017,"Kluane",NA,NA,2017-08-09,"KP17SR3",113,115,51,62,89,52,44,44,NA,67.3333333333333,46.6666666666667,114,571780,"#N/A","Kluane Plateau",NA,2017-08-10,2017,21,34.1,13.24,"KP17SR3"
"57",NA,NA,NA,106,2017,"Kluane",NA,NA,2017-08-09,"KP17SR5",182,154,57,71,82,45,47,51,NA,70,47.6666666666667,168,2970968,"#N/A","Kluane Plateau",NA,2017-08-10,2017,45,39.7,12.87,"KP17SR5"
"58",NA,NA,NA,4.8,2017,"Kluane",NA,NA,2017-08-09,"KP17SA1",16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1228.8,"#N/A","Kluane Plateau",NA,2017-08-10,2017,4,19,7.67,"KP17SA1"
"59",NA,NA,NA,5,2017,"Kluane",NA,NA,2017-08-09,"KP17SA2",35,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,7175,"#N/A","Kluane Plateau",NA,2017-08-10,2017,3,17.6,6.85,"KP17SA2"
