Species,SLA_mm2_mg,Plant_height_veg_m,Plant_height_repro_m,Seed_mass_dry_mg,LDMC_g_g,Wood_density_mg_mm3,Leaf_area_mm2,Leaf_fresh_mass_g,Leaf_dry_mass_mg,Species_sex,Lat,Lon,Elevation_m,Site,Subsite_name,Treatment,date,DOY,Year_measured,Data_contributor,Data_coPIs,ValueKindName
Salix arctica,,,,,,,956,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,982,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,850,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,1888,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,1185,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,824,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,1149,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,1262,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,1440,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,2871,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,0.740331492,,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.662082515,,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.672,,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.749084249,,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.732,,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.749482402,,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.738197425,,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.646387833,,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.739612188,,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.745583039,,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.678527607,,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.699001427,,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.854368932,,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.796747967,,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.818181818,,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.633333333,,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.794871795,,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.615384615,,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.617647059,,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.653846154,,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.47826087,,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,,,,,,0.642857143,,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Haydn Thomas,Single
Salix arctica,10.52758402,0.08,0.077,,0.384634146,0.76409894,1109.3,0.205,78.85,Female,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,22/07/2015,203,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,10.05552896,0.098,0.084,,0.409607843,0.656644035,866.2,0.255,104.45,Female,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,22/07/2015,203,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,10.33189033,0.061,0.07,,0.396,0.660910518,708.7,0.175,69.3,Female,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,22/07/2015,203,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,10.69727891,0.044,0.061,,0.392,0.712087912,157,0.075,29.4,Female,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,22/07/2015,203,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,9.24772746,0.162,0.153,,0.382519685,0.647229615,1815.562,0.635,242.9,Female,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,22/07/2015,203,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,10.61965318,0.081,0.102,,0.346,0.746887967,584.4,0.25,86.5,Female,69.57677,138.90984,29,Qikiqtaruk,HE15PTS2,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,13.33161512,0.164,0.155,0.03,0.415714286,0.638888889,488.7,0.07,29.1,Female,69.57677,138.90984,29,Qikiqtaruk,HE15PTS2,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,11.40073193,0.092,0.127,,0.390357143,0.646846847,627.8,0.14,54.65,Female,69.57677,138.90984,29,Qikiqtaruk,HE15PTS2,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,9.510846954,0.116,0.12,,0.39127907,0.621192053,1656.7,0.43,168.25,Female,69.57677,138.90984,29,Qikiqtaruk,HE15PTS2,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,9.102306463,0.188,0.208,,0.394504505,0.691525424,2210.2,0.555,218.95,Female,69.57677,138.90984,29,Qikiqtaruk,HE15PTS2,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,11.45700637,0.14,0.16,,0.330526316,0.7,762.6,0.19,62.8,Female,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,14.23935091,0.183,,,0.308125,0.617497457,1188.3,0.24,73.95,,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,11.30290011,0.152,,,0.404782609,0.644897959,487.5,0.115,46.55,,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,13.01891716,0.176,0.23,,0.356511628,0.620611552,1044,0.215,76.65,Female,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,11.8266129,0.198,0.174,,0.381538462,0.823834197,844.9,0.13,49.6,Female,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,10.28284672,0.06,0.106,,0.456666667,,256.1,0.06,27.4,Female,69.57632,138.86952,59,Qikiqtaruk,HE15PTS11,None,28/07/2015,209,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,8.906217071,0.103,0.128,,0.451904762,,363.8,0.105,47.45,Female,69.57632,138.86952,59,Qikiqtaruk,HE15PTS11,None,28/07/2015,209,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,7.335168617,0.074,0.112,,0.484333333,,645.2,0.15,72.65,Female,69.57632,138.86952,59,Qikiqtaruk,HE15PTS11,None,28/07/2015,209,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,9.839534884,0.025,0.059,,0.614285714,,85.2,0.035,21.5,Female,69.57632,138.86952,59,Qikiqtaruk,HE15PTS11,None,28/07/2015,209,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,9.439606742,0.058,0.086,,0.418823529,,357.4,0.085,35.6,Female,69.57632,138.86952,59,Qikiqtaruk,HE15PTS11,None,28/07/2015,209,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,550.9,,,,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,22/07/2015,203,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,1234.4,,,,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,22/07/2015,203,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,723.3,,,,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,22/07/2015,203,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,472,,,,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,22/07/2015,203,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,2676.984,,,,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,22/07/2015,203,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,1252.8,,,,69.57677,138.90984,29,Qikiqtaruk,HE15PTS2,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,287.2,,,,69.57677,138.90984,29,Qikiqtaruk,HE15PTS2,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,618.3,,,,69.57677,138.90984,29,Qikiqtaruk,HE15PTS2,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,1543.7,,,,69.57677,138.90984,29,Qikiqtaruk,HE15PTS2,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,1775.7,,,,69.57677,138.90984,29,Qikiqtaruk,HE15PTS2,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,676.4,,,,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,917.7,,,,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,564.8,,,,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,951.8,,,,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,328.3,,,,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,25/07/2015,206,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,307.4,,,,69.57632,138.86952,59,Qikiqtaruk,HE15PTS11,None,28/07/2015,209,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,481.4,,,,69.57632,138.86952,59,Qikiqtaruk,HE15PTS11,None,28/07/2015,209,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,420.6,,,,69.57632,138.86952,59,Qikiqtaruk,HE15PTS11,None,28/07/2015,209,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,337.9,,,,69.57632,138.86952,59,Qikiqtaruk,HE15PTS11,None,28/07/2015,209,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,,,,,,314.7,,,,69.57632,138.86952,59,Qikiqtaruk,HE15PTS11,None,28/07/2015,209,2015,"Haydn Thomas, Isla Myers-Smith","Jakob Assmann, Joe Boyle, Santeri Lehtonen, Isabell Eischeid",Single
Salix arctica,,0.056,0.064,,,,,0.083,,,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,24/07/2016,206,2016,Haydn Thomas,"Sandra Angers-Blondin, John Godlee, Eleanor Walker",Single
Salix arctica,,0.032,0.05,,,,,0.141,,,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,24/07/2016,206,2016,Haydn Thomas,"Sandra Angers-Blondin, John Godlee, Eleanor Walker",Single
Salix arctica,,0.072,0.045,,,,,0.126,,,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,24/07/2016,206,2016,Haydn Thomas,"Sandra Angers-Blondin, John Godlee, Eleanor Walker",Single
Salix arctica,,0.05,0.036,,,,,0.098,,,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,24/07/2016,206,2016,Haydn Thomas,"Sandra Angers-Blondin, John Godlee, Eleanor Walker",Single
Salix arctica,,0.046,0.063,,,,,0.081,,,69.57645,-138.994435,49,Qikiqtaruk,HE15PTS1,None,24/07/2016,206,2016,Haydn Thomas,"Sandra Angers-Blondin, John Godlee, Eleanor Walker",Single
Salix arctica,,0.116,0.075,,,,,0.129,,,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,26/07/2016,208,2016,Haydn Thomas,"Sandra Angers-Blondin, John Godlee, Eleanor Walker",Single
Salix arctica,,0.141,,,,,,0.223,,,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,26/07/2016,208,2016,Haydn Thomas,"Sandra Angers-Blondin, John Godlee, Eleanor Walker",Single
Salix arctica,,0.143,0.185,,,,,0.159,,,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,26/07/2016,208,2016,Haydn Thomas,"Sandra Angers-Blondin, John Godlee, Eleanor Walker",Single
Salix arctica,,0.18,0.21,,,,,0.136,,,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,26/07/2016,208,2016,Haydn Thomas,"Sandra Angers-Blondin, John Godlee, Eleanor Walker",Single
Salix arctica,,0.139,0.061,,,,,0.164,,,69.56985,138.89821,-4,Qikiqtaruk,HE15PTS3,None,26/07/2016,208,2016,Haydn Thomas,"Sandra Angers-Blondin, John Godlee, Eleanor Walker",Single
Salix arctica,,0.085,0.087,,,,,,,,61.21649,-138.28606,1631,Kluane,HE16PCTraits1,None,28/06/2016,180,2016,Haydn Thomas,"Sandra Angers-Blondin, John Godlee, Eleanor Walker",Single
Salix arctica,,0.067,0,,,,,,,,61.21649,-138.28606,1631,Kluane,HE16PCTraits1,None,28/06/2016,180,2016,Haydn Thomas,"Sandra Angers-Blondin, John Godlee, Eleanor Walker",Single
