"","SampleID","Match","SampleSite","SampleDate","Date_propagated","Date_planted","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Mother_LS","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","Site","SampleYear","mean_stem_elong","mean_leaf_length","mean_width","SampleID_standard"
"25","PC17SR5","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,66,112,96,47.5,54,46,56,37,39,50,33.8,11.8,"Kluane",2017,42,52,104,"PC17SR5"
"26","PC17SR6","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,56,128,52,25.6,52,52,46,65,60,70,28.3,12.1,"Kluane",2017,65,50,90,"PC17SR6"
"27","PC17SR7","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,64,157,137,21.2,56,50,51,135,84,113,34.7,10.2,"Kluane",2017,110.666666666667,52.3333333333333,147,"PC17SR7"
"28","PC17SR8","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,64,102,157,22.1,40,46,45,64,71,98,41.4,14.2,"Kluane",2017,77.6666666666667,43.6666666666667,129.5,"PC17SR8"
"29","PC17SR9","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,63,110,72,15.5,41,42,38,41,30,18,33.4,13.7,"Kluane",2017,29.6666666666667,40.3333333333333,91,"PC17SR9"
"30","PC17SR10","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,78,109,89,51.7,62,53,51,82,65,46,35.3,11.7,"Kluane",2017,64.3333333333333,55.3333333333333,99,"PC17SR10"
"31","PC17SR11","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,80,120,171,33.4,63,47,54,73,83,87,38.6,12.1,"Kluane",2017,81,54.6666666666667,145.5,"PC17SR11"
"32","PC17SR12","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,41,45,60,8.9,54,53,51,36,90,51,38,8.4,"Kluane",2017,59,52.6666666666667,52.5,"PC17SR12"
"33","PC17SR13","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,77,136,65,17.7,58,54,54,52,45,71,29.3,11.3,"Kluane",2017,56,55.3333333333333,100.5,"PC17SR13"
"34","PC17SR14","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,97,145,109,23.8,60,54,58,156,100,85,41.3,11.6,"Kluane",2017,113.666666666667,57.3333333333333,127,"PC17SR14"
"35","PC17SR15","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,109,242,224,74.4,61,65,56,84,57,66,36.2,14.8,"Kluane",2017,69,60.6666666666667,233,"PC17SR15"
"36","PP17SR16","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,81,137,121,31,38,44,41,45,59,57,35.6,11.3,"Kluane",2017,53.6666666666667,41,129,"PP17SR16"
"37","PP17SR17","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,78.5,154,150,25,53,50,59,55,50,35,37.7,14.3,"Kluane",2017,46.6666666666667,54,152,"PP17SR17"
"38","PP17SR18","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,52,102,43,11,46,50,48,57,51,65,36.5,8.4,"Kluane",2017,57.6666666666667,48,72.5,"PP17SR18"
"39","PP17SR19","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,45,66,46,16,41,42,45,30,37,34,24.2,10,"Kluane",2017,33.6666666666667,42.6666666666667,56,"PP17SR19"
"40","PP17SR20","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,37,32,30,11,42,44,39,40,31,22,23.6,10.9,"Kluane",2017,31,41.6666666666667,31,"PP17SR20"
"41","PC17SP1","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,81,73,61,19.4,45,53,51,63,58,70,42,9.8,"Kluane",2017,63.6666666666667,49.6666666666667,67,"PC17SP1"
"42","PC17SP2","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,28,226,191,14.5,45,44,39,26,26,24,26.9,10.4,"Kluane",2017,25.3333333333333,42.6666666666667,208.5,"PC17SP2"
"43","PC17SP3","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,40,90,94,16.9,57,50,51,86,36,39,27,12.7,"Kluane",2017,53.6666666666667,52.6666666666667,92,"PC17SP3"
"44","PC17SP4","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,81,256,191,49.2,54,61,49,62,75,107,33.6,16.1,"Kluane",2017,81.3333333333333,54.6666666666667,223.5,"PC17SP4"
"45","PC17SP5","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,33,190,137,18,38,37,35,45,43,25,26.9,14.8,"Kluane",2017,37.6666666666667,36.6666666666667,163.5,"PC17SP5"
"46","PC17SP6","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,49,149,91,14.9,45,35,39,46,74,40,35.6,12.7,"Kluane",2017,53.3333333333333,39.6666666666667,120,"PC17SP6"
"47","PC17SP7","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,122,211,209,53.4,66,70,61,144,128,163,36.1,9.2,"Kluane",2017,145,65.6666666666667,210,"PC17SP7"
"48","PC17SP8","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,40,99,102,10.2,46,56,66,60,123,155,29.5,14.8,"Kluane",2017,112.666666666667,56,100.5,"PC17SP8"
"49","PC17SP9","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,83,222,131,25,50,47,50,56,64,51,34.5,11.9,"Kluane",2017,57,49,176.5,"PC17SP9"
"50","PC17SP10","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,22,62,51,11,54,53,55,57,50,50,26.6,14.5,"Kluane",2017,52.3333333333333,54,56.5,"PC17SP10"
"51","PP17SP11","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,90,107,128,30,52,52,50,98,106,86,41.7,9.6,"Kluane",2017,96.6666666666667,51.3333333333333,117.5,"PP17SP11"
"52","PP17SP12","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,71,71,64,19,50,52,52,70,42,38,34,11.9,"Kluane",2017,50,51.3333333333333,67.5,"PP17SP12"
"53","PP17SP13","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,58,174,52,17,51,41,45,46,44,42,31.6,13.2,"Kluane",2017,44,45.6666666666667,113,"PP17SP13"
"54","PP17SP14","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,74,148,137,25,43,38,42,34,65,42,37,10.1,"Kluane",2017,47,41,142.5,"PP17SP14"
"55","PP17SP15","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,47,225,205,23,50,51,50,43,77,80,34.6,11.9,"Kluane",2017,66.6666666666667,50.3333333333333,215,"PP17SP15"
"56","PC17SA1","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,9.8,102,109,5.8,NA,NA,NA,NA,NA,NA,12.1,7.6,"Kluane",2017,NA,NA,105.5,"PC17SA1"
"57","PC17SA2","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,4.3,81,53,9,NA,NA,NA,NA,NA,NA,12.4,9.8,"Kluane",2017,NA,NA,67,"PC17SA2"
"58","PC17SA3","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,3.5,53,42,5.9,NA,NA,NA,NA,NA,NA,18.1,6.4,"Kluane",2017,NA,NA,47.5,"PC17SA3"
"59","PC17SA4","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,6.6,81,56,6.8,NA,NA,NA,NA,NA,NA,11.2,8.2,"Kluane",2017,NA,NA,68.5,"PC17SA4"
"60","PC17SA5","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,5.5,108,78,8.9,NA,NA,NA,NA,NA,NA,17.1,8.9,"Kluane",2017,NA,NA,93,"PC17SA5"
"61","PC17SA6","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,6.3,106,104,9,NA,NA,NA,NA,NA,NA,29.9,9,"Kluane",2017,NA,NA,105,"PC17SA6"
"62","PC17SA7","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,5,46,52,6,NA,NA,NA,NA,NA,NA,18.9,5.6,"Kluane",2017,NA,NA,49,"PC17SA7"
"63","PC17SA8","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,6,34,66,8,NA,NA,NA,NA,NA,NA,17.5,7.1,"Kluane",2017,NA,NA,50,"PC17SA8"
"64","PC17SA9","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,6.2,78,48,6,NA,NA,NA,NA,NA,NA,13.5,5.1,"Kluane",2017,NA,NA,63,"PC17SA9"
"65","PC17SA10","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,8.6,117,200,14,NA,NA,NA,NA,NA,NA,16.3,10.7,"Kluane",2017,NA,NA,158.5,"PC17SA10"
"66","KP17SR6","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,48,76,78,16.9,65,67,67,60,38,41,36.7,14,"Kluane",2017,46.3333333333333,66.3333333333333,77,"KP17SR6"
"67","KP17SR7","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,54,77,82,15.2,55,54,59,70,90,72,32.7,11,"Kluane",2017,77.3333333333333,56,79.5,"KP17SR7"
"68","KP17SR8","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,93,157,83,22.9,56,51,57,62,67,116,30.3,11,"Kluane",2017,81.6666666666667,54.6666666666667,120,"KP17SR8"
"69","KP17SR9","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,57,52,57,16.1,63,54,65,74,44,49,30.6,8,"Kluane",2017,55.6666666666667,60.6666666666667,54.5,"KP17SR9"
"70","KP17SR10","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,86,200,201,31.3,65,62,70,75,63,71,29.1,15,"Kluane",2017,69.6666666666667,65.6666666666667,200.5,"KP17SR10"
"71","KP17SR11","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,65,156,133,38,46,47,52,193,97,81,35.5,16,"Kluane",2017,123.666666666667,48.3333333333333,144.5,"KP17SR11"
"72","KP17SR12","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,64,209,199,37.3,62,64,61,61,84,92,34.6,20,"Kluane",2017,79,62.3333333333333,204,"KP17SR12"
"73","KP17SR13","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,53,83,80,21.6,55,51,50,49,52,59,29.8,18,"Kluane",2017,53.3333333333333,52,81.5,"KP17SR13"
"74","KP17SR14","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,42,65,32,15.5,55,43,52,36,48,49,24.9,12,"Kluane",2017,44.3333333333333,50,48.5,"KP17SR14"
"75","KP17SR15","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,77,182,155,25.9,67,64,75,73,62,77,42.5,19,"Kluane",2017,70.6666666666667,68.6666666666667,168.5,"KP17SR15"
"76","KP17SP6","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,36,103,67,18.9,41,43,42,42,18,28,32.6,18,"Kluane",2017,29.3333333333333,42,85,"KP17SP6"
"77","KP17SP7","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,58,47,30,9.3,41,46,50,86,45,35,33,10,"Kluane",2017,55.3333333333333,45.6666666666667,38.5,"KP17SP7"
"78","KP17SP8","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,67,173,134,28.5,45,44,53,55,39,61,28.1,13,"Kluane",2017,51.6666666666667,47.3333333333333,153.5,"KP17SP8"
"79","KP17SP9","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,30,77,84,8,52,50,56,53,63,69,26,11,"Kluane",2017,61.6666666666667,52.6666666666667,80.5,"KP17SP9"
"80","KP17SP10","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,25,165,122,8.1,54,52,51,36,38,30,30.7,9,"Kluane",2017,34.6666666666667,52.3333333333333,143.5,"KP17SP10"
"81","KP17SP11","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,65,156,148,26.7,54,59,60,56,41,63,33.2,15,"Kluane",2017,53.3333333333333,57.6666666666667,152,"KP17SP11"
"82","KP17SP12","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,85,185,151,37.1,59,57,60,138,155,123,33.6,11,"Kluane",2017,138.666666666667,58.6666666666667,168,"KP17SP12"
"83","KP17SP13","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,65,77,77,25.5,50,60,57,46,40,43,30.4,11,"Kluane",2017,43,55.6666666666667,77,"KP17SP13"
"84","KP17SP14","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,48,85,78,15.2,63,57,57,48,54,55,33.2,10,"Kluane",2017,52.3333333333333,59,81.5,"KP17SP14"
"85","KP17SP15","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,74,182,142,29.8,49,48,51,74,50,43,34.8,15,"Kluane",2017,55.6666666666667,49.3333333333333,162,"KP17SP15"
"86","H17Sp1","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,29.5,152,79,5,46,47,41,31,27,26,23.2,6.1,"Qikiqtaruk",2017,28,44.6666666666667,115.5,"H17SP1"
"87","H17Sp2","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,26.5,131,164,5,38,44,38,38,19,16,26.7,6.3,"Qikiqtaruk",2017,24.3333333333333,40,147.5,"H17SP2"
"88","H17Sp3","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,28,213,126,11,43,46,41,49,40,29,25.9,11,"Qikiqtaruk",2017,39.3333333333333,43.3333333333333,169.5,"H17SP3"
"89","H17Sp4","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,30.4,204,118,9,46,51,52,50,38,35,29.8,10,"Qikiqtaruk",2017,41,49.6666666666667,161,"H17SP4"
"90","H17Sp5","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,28.5,92,42,6,36,31,34,11,10,13,30,6.5,"Qikiqtaruk",2017,11.3333333333333,33.6666666666667,67,"H17SP5"
"91","H17Sp6","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,26.5,283,112,11,48,42,46,26,26,27,40.7,6.8,"Qikiqtaruk",2017,26.3333333333333,45.3333333333333,197.5,"H17SP6"
"92","H17Sp7","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,22,164,77,6,35,36,38,23,35,24,28.5,7.4,"Qikiqtaruk",2017,27.3333333333333,36.3333333333333,120.5,"H17SP7"
"93","H17Sp8","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,36,262,190,12,45,40,36,35,38,29,41.9,11.9,"Qikiqtaruk",2017,34,40.3333333333333,226,"H17SP8"
"94","H17Sp9","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,29,184,143,8,51,54,53,57,31,56,28.9,10.8,"Qikiqtaruk",2017,48,52.6666666666667,163.5,"H17SP9"
"95","H17Sp10","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,29,225,107,10,38,35,33,18,30,30,27,9.4,"Qikiqtaruk",2017,26,35.3333333333333,166,"H17SP10"
"96","H17Sp11","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,24,197,144,8,44,45,38,26,19,33,36.8,12.2,"Qikiqtaruk",2017,26,42.3333333333333,170.5,"H17SP11"
"97","H17Sp12","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,26.5,118,68,11,38,26,27,17,17,18,29.8,6.7,"Qikiqtaruk",2017,17.3333333333333,30.3333333333333,93,"H17SP12"
"98","H17Sp13","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,25,138,108,8,29,32,27,30,21,19,37.2,8.3,"Qikiqtaruk",2017,23.3333333333333,29.3333333333333,123,"H17SP13"
"99","H17Sp14","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,30,289,185,9,35,39,34,27,27,25,33.3,8.1,"Qikiqtaruk",2017,26.3333333333333,36,237,"H17SP14"
"100","H17Sp15","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,29,175,175,7,42,36,40,25,33,36,26.8,8,"Qikiqtaruk",2017,31.3333333333333,39.3333333333333,175,"H17SP15"
"101","H17Sp16","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,28,52,93,8,37,37,33,40,22,37,35.9,9,"Qikiqtaruk",2017,33,35.6666666666667,72.5,"H17SP16"
"102","H17Sp17","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,28,112,88,8,37,38,41,53,64,63,40.2,9.6,"Qikiqtaruk",2017,60,38.6666666666667,100,"H17SP17"
"103","H17Sp18","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,23,162,128,6,38,36,34,109,53,32,28.5,7.6,"Qikiqtaruk",2017,64.6666666666667,36,145,"H17SP18"
"104","H17Sp19","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,18,215,143,8,58,47,44,32,41,33,46.5,8.8,"Qikiqtaruk",2017,35.3333333333333,49.6666666666667,179,"H17SP19"
"105","H17Sp20","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,29,195,122,12,37,29,38,22,17,20,30,9,"Qikiqtaruk",2017,19.6666666666667,34.6666666666667,158.5,"H17SP20"
"106","H17Sr1","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,38,245,169,18,41,44,36,24,30,23,35.5,11.5,"Qikiqtaruk",2017,25.6666666666667,40.3333333333333,207,"H17SR1"
"107","H17Sr2","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,23,204,165,14,40,40,37,26,15,23,31.2,9.5,"Qikiqtaruk",2017,21.3333333333333,39,184.5,"H17SR2"
"108","H17Sr3","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,27,152,132,9,40,42,42,38,32,15,32.7,10.7,"Qikiqtaruk",2017,28.3333333333333,41.3333333333333,142,"H17SR3"
"109","H17Sr4","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,49,NA,NA,39,44,40,41,33,29,32,39,15.8,"Qikiqtaruk",2017,31.3333333333333,41.6666666666667,NA,"H17SR4"
"110","H17Sr5","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,27,500,425,15,49,46,41,24,17,21,35.2,10.5,"Qikiqtaruk",2017,20.6666666666667,45.3333333333333,462.5,"H17SR5"
"111","H17Sr6","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,23,192,167,14,47,45,47,21,22,31,30.5,15,"Qikiqtaruk",2017,24.6666666666667,46.3333333333333,179.5,"H17SR6"
"112","H17Sr7","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,34,184,132,9,44,40,45,24,26,25,30.5,12,"Qikiqtaruk",2017,25,43,158,"H17SR7"
"113","H17Sr8","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,32,305,195,13,44,39,37,27,21,25,31.9,11.4,"Qikiqtaruk",2017,24.3333333333333,40,250,"H17SR8"
"114","H17Sr9","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,56,NA,NA,32,44,44,47,34,41,30,37.7,12.1,"Qikiqtaruk",2017,35,45,NA,"H17SR9"
"115","H17Sr10","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,42,186,154,13,43,39,40,22,17,36,39.2,14,"Qikiqtaruk",2017,25,40.6666666666667,170,"H17SR10"
"116","H17Sr11","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,67,NA,412,32,48,46,58,58,34,47,40.5,11.5,"Qikiqtaruk",2017,46.3333333333333,50.6666666666667,NA,"H17SR11"
"117","H17Sr12","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,54,208,176,25,41,43,40,20,17,35,29.3,11.5,"Qikiqtaruk",2017,24,41.3333333333333,192,"H17SR12"
"118","H17Sr13","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,35,261,174,20,43,50,46,40,29,36,43.9,10.5,"Qikiqtaruk",2017,35,46.3333333333333,217.5,"H17SR13"
"119","H17Sr14","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,24,228,211,12,43,46,44,33,24,11,28.5,13,"Qikiqtaruk",2017,22.6666666666667,44.3333333333333,219.5,"H17SR14"
"120","H17Sr15","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,38,300,219,19,35,35,40,32,37,21,30.5,11.2,"Qikiqtaruk",2017,30,36.6666666666667,259.5,"H17SR15"
"121","H17Sr16","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,59,216,285,26,41,44,40,45,34,37,33,15.6,"Qikiqtaruk",2017,38.6666666666667,41.6666666666667,250.5,"H17SR16"
"122","H17Sr17","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,48,208,159,25,56,49,49,57,52,45,35.5,12.3,"Qikiqtaruk",2017,51.3333333333333,51.3333333333333,183.5,"H17SR17"
"123","H17Sr18","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,72,NA,NA,36,43,46,41,32,26,15,44,12.1,"Qikiqtaruk",2017,24.3333333333333,43.3333333333333,NA,"H17SR18"
"124","H17Sr19","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,43,148,153,12,34,31,32,16,30,27,23.1,15.1,"Qikiqtaruk",2017,24.3333333333333,32.3333333333333,150.5,"H17SR19"
"125","H17Sr20","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,55,212,196,21,47,47,40,22,31,29,37.8,10.1,"Qikiqtaruk",2017,27.3333333333333,44.6666666666667,204,"H17SR20"
"126","H17Sr21","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,52.5,482,402,30,50,48,48,46,36,32,28.2,11,"Qikiqtaruk",2017,38,48.6666666666667,442,"H17SR21"
"127","H17Sr22","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,48,321,307,24,41,41,38,21,20,26,35.3,9.4,"Qikiqtaruk",2017,22.3333333333333,40,314,"H17SR22"
"128","H17Sr23","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,54.5,NA,NA,NA,41,40,42,44,53,25,39.1,8,"Qikiqtaruk",2017,40.6666666666667,41,NA,"H17SR23"
"129","H17Sr24","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,52.5,NA,NA,NA,43,40,45,64,66,30,30.4,10.7,"Qikiqtaruk",2017,53.3333333333333,42.6666666666667,NA,"H17SR24"
"130","H17Sr25","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,47,NA,NA,NA,42,40,47,31,38,39,32.1,9.5,"Qikiqtaruk",2017,36,43,NA,"H17SR25"
"131","H17Sr26","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,67.5,NA,NA,NA,35,44,42,49,46,40,42.3,10.7,"Qikiqtaruk",2017,45,40.3333333333333,NA,"H17SR26"
"132","H17Sr27","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,52.5,NA,NA,NA,38,37,44,30,37,32,34.2,10.9,"Qikiqtaruk",2017,33,39.6666666666667,NA,"H17SR27"
"133","H17Sr28","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,77,NA,NA,NA,42,55,49,78,74,49,39.7,10.9,"Qikiqtaruk",2017,67,48.6666666666667,NA,"H17SR28"
"134","H17Sr29","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,64.5,NA,NA,NA,39,38,38,30,28,20,40.1,11.2,"Qikiqtaruk",2017,26,38.3333333333333,NA,"H17SR29"
"135","H17Sr30","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,59.5,NA,NA,NA,45,45,58,29,27,39,41,10.4,"Qikiqtaruk",2017,31.6666666666667,49.3333333333333,NA,"H17SR30"
"136","H17Sr31","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,34,NA,NA,NA,41,38,38,22,25,21,42.6,11.7,"Qikiqtaruk",2017,22.6666666666667,39,NA,"H17SR31"
"137","H17Sr32","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,38,NA,NA,NA,47,43,34,38,28,29,31.5,9.8,"Qikiqtaruk",2017,31.6666666666667,41.3333333333333,NA,"H17SR32"
"138","H17Sr33","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,39,NA,NA,NA,38,39,43,28,17,18,39,10.4,"Qikiqtaruk",2017,21,40,NA,"H17SR33"
"139","H17Sr34","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,44,NA,NA,NA,38,34,32,30,36,37,36.2,11.1,"Qikiqtaruk",2017,34.3333333333333,34.6666666666667,NA,"H17SR34"
"140","H17Sr35","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,46.5,392,339,28,55,51,59,110,78,111,39.2,12.2,"Qikiqtaruk",2017,99.6666666666667,55,365.5,"H17SR35"
"141","H17Sr36","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,41,134,117,19,55,51,58,250,221,88,41.1,14.8,"Qikiqtaruk",2017,186.333333333333,54.6666666666667,125.5,"H17SR36"
"142","H17Sr37","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,57,178,139,23,51,55,47,92,53,70,40.9,8.3,"Qikiqtaruk",2017,71.6666666666667,51,158.5,"H17SR37"
"143","H17Sr38","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,26,NA,NA,NA,44,46,47,18,21,26,30.2,10.1,"Qikiqtaruk",2017,21.6666666666667,45.6666666666667,NA,"H17SR38"
"144","H17Sr39","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,36,128,123,11,44,41,43,48,30,44,35.9,13.6,"Qikiqtaruk",2017,40.6666666666667,42.6666666666667,125.5,"H17SR39"
"145","H17Sr40","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,32,151,124,12,36,33,33,24,28,24,31.6,13.1,"Qikiqtaruk",2017,25.3333333333333,34,137.5,"H17SR40"
"146","H17Sa1","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-19,2017,4.5,NA,NA,NA,39.55,36.43,39.68,44.17,38.3,NA,35,2.06,"Qikiqtaruk",2017,NA,38.5533333333333,NA,"H17SA1"
"147","H17Sa2","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-19,2017,8,NA,NA,NA,51.9,41.7,42.6,91,9.2,30.1,41.8,8.5,"Qikiqtaruk",2017,43.4333333333333,45.4,NA,"H17SA2"
"148","H17Sa3","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-19,2017,7.5,NA,NA,NA,54.9,54.96,52.33,75.86,63.13,48.85,34.1,7.09,"Qikiqtaruk",2017,62.6133333333333,54.0633333333333,NA,"H17SA3"
"149","H17Sa4","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-19,2017,5,NA,NA,NA,45.45,47.8,47.92,45.02,15.65,14.18,33.7,4.4,"Qikiqtaruk",2017,24.95,47.0566666666667,NA,"H17SA4"
"150","H17Sa5","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-19,2017,6,NA,NA,NA,31,29.5,28.6,22.5,23.9,14.5,29.6,5.4,"Qikiqtaruk",2017,20.3,29.7,NA,"H17SA5"
"151","H17Sa6","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-19,2017,7,NA,NA,NA,62.06,62.5,57.42,42.17,40.24,117.69,28.6,10.27,"Qikiqtaruk",2017,66.7,60.66,NA,"H17SA6"
