"","SampleID","Match","SampleSite","SampleDate","Date_propagated","Date_planted","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Mother_LS","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","Site","SampleYear","mean_stem_elong","mean_leaf_length","mean_width","SampleID_standard"
"184","PC16PVSP9","PC16PVSp9","Pika Camp",2016-06-29,NA,2016-07-02,2016,94,123,143,16.4,NA,NA,NA,NA,NA,NA,36.5,8,"Kluane",2016,NA,NA,133,"PC16PVSP9"
"185","PC16PVSP10","PC16PVSp10","Pika Camp",2016-06-29,NA,2016-07-02,2016,51,116,72,18.6,NA,NA,NA,NA,NA,NA,29,8.9,"Kluane",2016,NA,NA,94,"PC16PVSP10"
"186","PC16PVSA1","PC16PVSa1","Pika Camp",2016-06-29,2016-07-02,2016-08-09,2016,12,45,18,11.1,NA,NA,NA,NA,NA,NA,21.9,9.3,"Kluane",2016,NA,NA,31.5,"PC16PVSA1"
"187","PC16PVSA2","PC16PVSa2","Pika Camp",2016-06-29,2016-07-02,2016-08-09,2016,12,60,60,8.7,NA,NA,NA,NA,NA,NA,20.3,9.2,"Kluane",2016,NA,NA,60,"PC16PVSA2"
"188","PC16PVSA3","PC16PVSa3","Pika Camp",2016-06-29,2016-07-02,2016-08-09,2016,12,60,60,8.7,NA,NA,NA,NA,NA,NA,15.6,5.3,"Kluane",2016,NA,NA,60,"PC16PVSA3"
"189","PC16PVSA4","PC16PVSa4","Pika Camp",2016-06-29,2016-07-02,2016-08-09,2016,21,197,281,16.5,NA,NA,NA,NA,NA,NA,19.8,9.4,"Kluane",2016,NA,NA,239,"PC16PVSA4"
"190","PC16PVSA5","PC16PVSa5","Pika Camp",2016-06-29,2016-07-02,2016-08-09,2016,20,95,57,11.8,NA,NA,NA,NA,NA,NA,23.4,11.2,"Kluane",2016,NA,NA,76,"PC16PVSA5"
"191","PC16CWSR1","PC16CWSr1","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,111,330,328,64.8,NA,NA,NA,NA,NA,NA,35.4,9.4,"Kluane",2016,NA,NA,329,"PC16CWSR1"
"192","PC16CWSR2","PC16CWSr2","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,96,160,131,22.9,NA,NA,NA,NA,NA,NA,34.2,11.3,"Kluane",2016,NA,NA,145.5,"PC16CWSR2"
"193","PC16CWSR3","PC16CWSr3","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,83,174,112,25.6,NA,NA,NA,NA,NA,NA,31.4,10.4,"Kluane",2016,NA,NA,143,"PC16CWSR3"
"194","PC16CWSR4","PC16CWSr4","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,47,32,36,8.2,NA,NA,NA,NA,NA,NA,29.6,8.3,"Kluane",2016,NA,NA,34,"PC16CWSR4"
"195","PC16CWSR5","PC16CWSr5","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,38,102,58,13.5,NA,NA,NA,NA,NA,NA,33.1,8.5,"Kluane",2016,NA,NA,80,"PC16CWSR5"
"196","PC16CWSR6","PC16CWSr6","Pika Camp",2016-06-29,NA,2016-07-02,2016,50,91,99,19.1,NA,NA,NA,NA,NA,NA,25.6,9.5,"Kluane",2016,NA,NA,95,"PC16CWSR6"
"197","PC16CWSR7","PC16CWSr7","Pika Camp",2016-06-29,NA,2016-07-02,2016,64,111,68,19,NA,NA,NA,NA,NA,NA,36.1,10.7,"Kluane",2016,NA,NA,89.5,"PC16CWSR7"
"198","PC16CWSR8","PC16CWSr8","Pika Camp",2016-06-29,NA,2016-07-02,2016,52,41,32,17,NA,NA,NA,NA,NA,NA,16.2,7.8,"Kluane",2016,NA,NA,36.5,"PC16CWSR8"
"199","PC16CWSR9","PC16CWSr9","Pika Camp",2016-06-29,NA,2016-07-02,2016,76,78,59,18,NA,NA,NA,NA,NA,NA,32.7,12.2,"Kluane",2016,NA,NA,68.5,"PC16CWSR9"
"200","PC16CWSR10","PC16CWSr10","Pika Camp",2016-06-29,NA,2016-07-02,2016,78,80,84,21,NA,NA,NA,NA,NA,NA,28.1,10.2,"Kluane",2016,NA,NA,82,"PC16CWSR10"
"201","PC16CWSP1","PC16CWSp1","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,48,78,105,12.7,NA,NA,NA,NA,NA,NA,31.2,8.8,"Kluane",2016,NA,NA,91.5,"PC16CWSP1"
"202","PC16CWSP2","PC16CWSp2","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,83,213,256,25.4,NA,NA,NA,NA,NA,NA,421.7,9.2,"Kluane",2016,NA,NA,234.5,"PC16CWSP2"
"203","PC16CWSP3","PC16CWSp3","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,56,183,171,35.5,NA,NA,NA,NA,NA,NA,32.7,8.4,"Kluane",2016,NA,NA,177,"PC16CWSP3"
"204","PC16CWSP4","PC16CWSp4","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,67,242,205,19,NA,NA,NA,NA,NA,NA,36.3,7.4,"Kluane",2016,NA,NA,223.5,"PC16CWSP4"
"205","PC16CWSP5","PC16CWSp5","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,41,80,40,22.5,NA,NA,NA,NA,NA,NA,21.7,7.6,"Kluane",2016,NA,NA,60,"PC16CWSP5"
"206","PC16CWSP6","PC16CWSp6","Pika Camp",2016-06-29,NA,2016-07-02,2016,24,257,156,18.5,NA,NA,NA,NA,NA,NA,31,9.8,"Kluane",2016,NA,NA,206.5,"PC16CWSP6"
"207","PC16CWSP7","PC16CWSp7","Pika Camp",2016-06-29,NA,2016-07-02,2016,64,111,68,19,NA,NA,NA,NA,NA,NA,34.3,15.5,"Kluane",2016,NA,NA,89.5,"PC16CWSP7"
"208","PC16CWSP8","PC16CWSp8","Pika Camp",2016-06-29,NA,2016-07-02,2016,56,72,63,16,NA,NA,NA,NA,NA,NA,27.1,12.7,"Kluane",2016,NA,NA,67.5,"PC16CWSP8"
"209","PC16CWSP9","PC16CWSp9","Pika Camp",2016-06-29,NA,2016-07-02,2016,60,117,81,29,NA,NA,NA,NA,NA,NA,37.8,13.4,"Kluane",2016,NA,NA,99,"PC16CWSP9"
"210","PC16CWSP10","PC16CWSp10","Pika Camp",2016-06-29,NA,2016-07-02,2016,51,124,96,14,NA,NA,NA,NA,NA,NA,34.4,15.2,"Kluane",2016,NA,NA,110,"PC16CWSP10"
"211","PC16CWSA1","PC16CWSa1","Pika Camp",2016-06-29,2016-07-02,2016-08-09,2016,5.6,NA,NA,11,NA,NA,NA,NA,NA,NA,35.4,5.6,"Kluane",2016,NA,NA,NA,"PC16CWSA1"
"212","PC16CWSA2","PC16CWSa2","Pika Camp",2016-06-29,2016-07-02,2016-08-09,2016,12,NA,NA,8,NA,NA,NA,NA,NA,NA,20.9,6.9,"Kluane",2016,NA,NA,NA,"PC16CWSA2"
"213","PC16CWSA3","PC16CWSa3","Pika Camp",2016-06-29,2016-07-02,2016-08-09,2016,6,NA,NA,5,NA,NA,NA,NA,NA,NA,19.2,8,"Kluane",2016,NA,NA,NA,"PC16CWSA3"
"214","PC16CWSA4","PC16CWSa4","Pika Camp",2016-06-29,2016-07-02,2016-08-09,2016,6,NA,NA,10,NA,NA,NA,NA,NA,NA,14.6,10.6,"Kluane",2016,NA,NA,NA,"PC16CWSA4"
"215","PC16CWSA5","PC16CWSa5","Pika Camp",2016-06-29,2016-07-02,2016-08-09,2016,9,NA,NA,14,NA,NA,NA,NA,NA,NA,21.8,12.9,"Kluane",2016,NA,NA,NA,"PC16CWSA5"
"216","PC16CESR1","PC16CESr1","Pika Camp",2016-06-30,2016-07-02,2016-08-08,2016,75,181,197,20.7,NA,NA,NA,NA,NA,NA,32.2,11,"Kluane",2016,NA,NA,189,"PC16CESR1"
"217","PC16CESR2","PC16CESr2","Pika Camp",2016-06-30,2016-07-02,2016-08-08,2016,67,138,148,22.4,NA,NA,NA,NA,NA,NA,36.6,10.4,"Kluane",2016,NA,NA,143,"PC16CESR2"
