"","Species","Latitude","Longitude","Elevation","Site","SampleDate","Canopy_Height_cm","SampleID","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","mean_width","Match","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleYear"
"50","Salix arctica",61.219,-138.28477,1577,"Kluane",2016-06-29,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"51","Salix arctica",60.95528,-138.41401,1875,"Kluane",2016-07-08,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"52","Salix arctica",60.95528,-138.41401,1875,"Kluane",2016-07-08,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"53","Salix arctica",60.95528,-138.41401,1875,"Kluane",2016-07-08,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"54","Salix arctica",60.95528,-138.41401,1875,"Kluane",2016-07-08,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"55","Salix arctica",60.95528,-138.41401,1875,"Kluane",2016-07-08,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"56","Salix arctica",60.96206,-138.41288,1716,"Kluane",2017-08-07,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"57","Salix arctica",60.96206,-138.41288,1716,"Kluane",2017-08-07,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"58","Salix arctica",60.96206,-138.41288,1716,"Kluane",2017-08-07,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"59","Salix arctica",60.96206,-138.41288,1716,"Kluane",2017-08-07,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"60","Salix arctica",60.96206,-138.41288,1716,"Kluane",2017-08-07,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"61","Salix arctica",61.21222,-138.27775,1649,"Kluane",2017-08-13,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"62","Salix arctica",61.21222,-138.27775,1649,"Kluane",2017-08-13,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"63","Salix arctica",61.21222,-138.27775,1649,"Kluane",2017-08-13,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"64","Salix arctica",61.21222,-138.27775,1649,"Kluane",2017-08-13,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"65","Salix arctica",61.21222,-138.27775,1649,"Kluane",2017-08-13,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017
"66","Salix pulchra",61.10549,-138.6618,1693,"Kluane",2014-07-07,54.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"67","Salix pulchra",61.10549,-138.6618,1693,"Kluane",2014-07-07,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"68","Salix pulchra",61.10549,-138.6618,1693,"Kluane",2014-07-07,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"69","Salix pulchra",61.10549,-138.6618,1693,"Kluane",2014-07-07,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"70","Salix pulchra",61.10549,-138.6618,1693,"Kluane",2014-07-07,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"71","Salix pulchra",61.10549,-138.6618,1693,"Kluane",2014-07-07,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"72","Salix pulchra",61.10549,-138.6618,1693,"Kluane",2014-07-07,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"73","Salix pulchra",61.10549,-138.6618,1693,"Kluane",2014-07-07,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"74","Salix pulchra",61.10549,-138.6618,1693,"Kluane",2014-07-07,44.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"75","Salix pulchra",61.10549,-138.6618,1693,"Kluane",2014-07-07,67.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"76","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk",2015-07-26,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
