"","max_mean_width_cm","SampleID_standard","Year","Site","population","Species"
"221",25.5,"PC17SP5",2022,"Common_garden","Southern","Salix pulchra"
"222",14.75,"PC17SP6",2021,"Common_garden","Southern","Salix pulchra"
"223",24.5,"PC17SP7",2021,"Common_garden","Southern","Salix pulchra"
"224",59.65,"PC17SP8",2023,"Common_garden","Southern","Salix pulchra"
"225",24.95,"PC17SP9",2023,"Common_garden","Southern","Salix pulchra"
"226",35.25,"PC17SR1",2022,"Common_garden","Southern","Salix richardsonii"
"227",28,"PC17SR10",2022,"Common_garden","Southern","Salix richardsonii"
"228",9,"PC17SR12",2022,"Common_garden","Southern","Salix richardsonii"
"229",20.05,"PC17SR13",2023,"Common_garden","Southern","Salix richardsonii"
"230",23,"PC17SR2",2022,"Common_garden","Southern","Salix richardsonii"
"231",54,"PC17SR4",2022,"Common_garden","Southern","Salix richardsonii"
"232",73.15,"PC17SR5",2023,"Common_garden","Southern","Salix richardsonii"
"233",57.75,"PC17SR6",2023,"Common_garden","Southern","Salix richardsonii"
"234",12.5,"PC17SR9",2022,"Common_garden","Southern","Salix richardsonii"
"235",5.55,"PP16MSA1",2023,"Common_garden","Southern","Salix arctica"
"236",11.7,"PP16MSA5",2023,"Common_garden","Southern","Salix arctica"
"237",13.05,"PP17SP12",2021,"Common_garden","Southern","Salix pulchra"
"238",13.15,"PP17SP13",2021,"Common_garden","Southern","Salix pulchra"
"239",66.2,"PP17SP15",2023,"Common_garden","Southern","Salix pulchra"
"240",51.7,"PP17SR16",2023,"Common_garden","Southern","Salix richardsonii"
"241",42.2,"PP17SR19",2023,"Common_garden","Southern","Salix richardsonii"
"242",65.2,"PP17SR20",2023,"Common_garden","Southern","Salix richardsonii"
