"","SampleID_standard","Length_1_mm","Length_2_mm","Length_3_mm","Month","Day","Year","Site","population","Species","mean_leaf_length","X","Bed","Year_planted","Sample_Date","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","biovolume","mean_stem_elong","mean_width","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","Sample_ID","July_2023_notes","Sample_age"
"54","KLSPE7",7,6,8,8,15,2015,"Common_garden","Southern","Salix pulchra",7,45,"CF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"55","KLSPE8",12,11,10,8,15,2015,"Common_garden","Southern","Salix pulchra",11,46,"CF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"56","KLSPE9",19,20,23,8,15,2015,"Common_garden","Southern","Salix pulchra",20.6666666666667,47,"CF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"57","KLSRC10",10,10,9,8,15,2015,"Common_garden","Southern","Salix richardsonii",9.66666666666667,48,"IR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"58","KLSRC2",22,14,15,8,15,2015,"Common_garden","Southern","Salix richardsonii",17,49,"LB",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"59","KLSRC6",11,15,15,8,15,2015,"Common_garden","Southern","Salix richardsonii",13.6666666666667,50,"IR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"60","KLSRE10",15,13,13,8,15,2015,"Common_garden","Southern","Salix richardsonii",13.6666666666667,51,"SW",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"61","KLSRE11",13,15,10,8,15,2015,"Common_garden","Southern","Salix richardsonii",12.6666666666667,52,"IR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"62","KLSRE13",13,15,14,8,15,2015,"Common_garden","Southern","Salix richardsonii",14,53,"IR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"63","KLSRE14",16,17,8,8,15,2015,"Common_garden","Southern","Salix richardsonii",13.6666666666667,54,"IR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"64","KLSRE15",12,13,14,8,15,2015,"Common_garden","Southern","Salix richardsonii",13,55,"IR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"65","KLSRE4",10,12,12,8,15,2015,"Common_garden","Southern","Salix richardsonii",11.3333333333333,56,"LB",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"66","KLSRE6",17,15,17,8,15,2015,"Common_garden","Southern","Salix richardsonii",16.3333333333333,57,"SW",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"67","KLSRE7",18,15,14,8,15,2015,"Common_garden","Southern","Salix richardsonii",15.6666666666667,58,"SW",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"68","KLSRE9",15,14,16,8,15,2015,"Common_garden","Southern","Salix richardsonii",15,59,"SW",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"69","H15SP1",26,21,22,8,11,2016,"Common_garden","Northern","Salix pulchra",23,60,"IMS",2015,NA,5.5,NA,NA,NA,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"70","H15SP10",38,30,25,8,11,2016,"Common_garden","Northern","Salix pulchra",31,61,"CF",2015,NA,5,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"71","H15SP11",26,19,14,8,11,2016,"Common_garden","Northern","Salix pulchra",19.6666666666667,62,"CF",2015,NA,1.6,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"72","H15SP12",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,63,"CF",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"73","H15SP13",37,42,44,8,11,2016,"Common_garden","Northern","Salix pulchra",41,64,"CF",2015,NA,13.8,NA,NA,NA,53,47,10,NA,36.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"74","H15SP14",48,19,18,8,11,2016,"Common_garden","Northern","Salix pulchra",28.3333333333333,65,"CF",2015,NA,16.3,NA,NA,NA,19,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"75","H15SP15",31,41,40,8,11,2016,"Common_garden","Northern","Salix pulchra",37.3333333333333,66,"CF",2015,NA,21.3,NA,NA,NA,46,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"76","H15SP16",33,32,32,8,11,2016,"Common_garden","Northern","Salix pulchra",32.3333333333333,67,"CF",2015,NA,17.8,NA,NA,NA,16,14,6,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"77","H15SP17",27,24,16,8,11,2016,"Common_garden","Northern","Salix pulchra",22.3333333333333,68,"CF",2015,NA,19,NA,NA,NA,18,15,8,NA,13.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"78","H15SP18",46,44,35,8,11,2016,"Common_garden","Northern","Salix pulchra",41.6666666666667,69,"CF",2015,NA,10.6,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"79","H15SP19",35,27,30,8,11,2016,"Common_garden","Northern","Salix pulchra",30.6666666666667,70,"CF",2015,NA,5.3,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"80","H15SP2",17,21,14,8,11,2016,"Common_garden","Northern","Salix pulchra",17.3333333333333,71,"IMS",2015,NA,31,NA,NA,NA,23,22,18,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"81","H15SP20",33,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,72,"CF",2015,NA,3.2,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"82","H15SP21",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,73,"MG",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"83","H15SP22",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,74,"MG",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"84","H15SP23",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,75,"MG",2015,NA,9.5,NA,NA,NA,19,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"85","H15SP24",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,76,"MG",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"86","H15SP25",23,21,19,8,11,2016,"Common_garden","Northern","Salix pulchra",21,77,"AB",2015,NA,3.6,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"87","H15SP26",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,78,"AB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
