"","max_biovol","SampleID_standard","Year","Site","population","Species"
"152",1631595,"KLSRC13",2023,"Common_garden","Southern","Salix richardsonii"
"153",1955800,"KLSRC2",2022,"Common_garden","Southern","Salix richardsonii"
"154",1421352.166,"KLSRC6",2023,"Common_garden","Southern","Salix richardsonii"
"155",2182400,"KLSRE10",2022,"Common_garden","Southern","Salix richardsonii"
"156",3233584.95,"KLSRE11",2021,"Common_garden","Southern","Salix richardsonii"
"157",1589725.683,"KLSRE13",2023,"Common_garden","Southern","Salix richardsonii"
"158",330619.08,"KLSRE14",2021,"Common_garden","Southern","Salix richardsonii"
"159",1909775.115,"KLSRE15",2021,"Common_garden","Southern","Salix richardsonii"
"160",6708347.1,"KLSRE4",2023,"Common_garden","Southern","Salix richardsonii"
"161",1023359.7,"KLSRE6",2023,"Common_garden","Southern","Salix richardsonii"
"162",402288,"KLSRE7",2021,"Common_garden","Southern","Salix richardsonii"
"163",1247928.808,"KLSRE9",2023,"Common_garden","Southern","Salix richardsonii"
"164",887.184,"KP16SA6",2023,"Common_garden","Southern","Salix arctica"
"165",18522,"KP16SP24",2021,"Common_garden","Southern","Salix pulchra"
"166",94380,"KP16SP33",2022,"Common_garden","Southern","Salix pulchra"
"167",585.39,"KP16SP39",2023,"Common_garden","Southern","Salix pulchra"
"168",8991,"KP16SP43",2021,"Common_garden","Southern","Salix pulchra"
"169",18040,"KP16SP46",2022,"Common_garden","Southern","Salix pulchra"
"170",5262.684,"KP16SP51",2023,"Common_garden","Southern","Salix pulchra"
"171",34149.654,"KP16SP52",2023,"Common_garden","Southern","Salix pulchra"
"172",1820,"KP16SP55",2021,"Common_garden","Southern","Salix pulchra"
"173",142230.66,"KP16SP56",2023,"Common_garden","Southern","Salix pulchra"
"174",66489.903,"KP16SP59",2023,"Common_garden","Southern","Salix pulchra"
"175",43389.5,"KP16SP60",2023,"Common_garden","Southern","Salix pulchra"
"176",4416.984,"KP16SR26",2021,"Common_garden","Southern","Salix richardsonii"
"177",29568,"KP16SR27",2022,"Common_garden","Southern","Salix richardsonii"
"178",81985.884,"KP16SR36",2023,"Common_garden","Southern","Salix richardsonii"
"179",378148,"KP16SR37",2022,"Common_garden","Southern","Salix richardsonii"
"180",30566,"KP16SR41",2022,"Common_garden","Southern","Salix richardsonii"
"181",41040,"KP16SR51",2022,"Common_garden","Southern","Salix richardsonii"
"182",129780,"KP16SR52",2022,"Common_garden","Southern","Salix richardsonii"
"183",36709.632,"KP16SR53",2023,"Common_garden","Southern","Salix richardsonii"
"184",327712,"KP16SR57",2022,"Common_garden","Southern","Salix richardsonii"
"185",160810.688,"KP16SR58",2023,"Common_garden","Southern","Salix richardsonii"
"186",103540.64,"KP16SR60",2023,"Common_garden","Southern","Salix richardsonii"
"187",1153.084,"KP17SA2",2023,"Common_garden","Southern","Salix arctica"
"188",523.6,"KP17SA4",2023,"Common_garden","Southern","Salix arctica"
"189",2037.75,"KP17SA6",2022,"Common_garden","Southern","Salix arctica"
"190",2331.72,"KP17SA9",2023,"Common_garden","Southern","Salix arctica"
