"Plot Title: Phenology"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Air Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Canopy Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Ground Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Soil Temp)","Good Battery (LGR S/N: 10737643)","Host Connected (LGR S/N: 10737643)","End Of File (LGR S/N: 10737643)"
107,07/31/17 01:00:00  PM,14.936,16.868,3.406,6.509,,,
108,07/31/17 02:00:00  PM,15.724,17.153,3.406,6.940,,,
109,07/31/17 03:00:00  PM,16.249,17.249,3.433,7.293,,,
110,07/31/17 04:00:00  PM,17.249,18.105,3.485,7.594,,,
111,07/31/17 05:00:00  PM,22.561,21.342,3.538,7.970,,,
112,07/31/17 06:00:00  PM,20.984,21.915,3.617,8.568,,,
113,07/31/17 07:00:00  PM,22.824,22.944,3.696,8.990,,,
114,07/31/17 08:00:00  PM,16.749,16.701,3.775,9.114,,,
115,07/31/17 09:00:00  PM,22.393,21.223,3.854,8.916,,,
116,07/31/17 10:00:00  PM,13.161,13.954,3.906,8.792,,,
117,07/31/17 11:00:00  PM,13.425,13.401,3.958,8.494,,,
118,08/01/17 12:00:00  AM,15.652,13.233,3.985,8.195,,,
119,08/01/17 01:00:00  AM,15.915,12.364,4.011,7.895,,,
120,08/01/17 02:00:00  AM,14.768,10.712,4.011,7.645,,,
121,08/01/17 03:00:00  AM,14.314,10.516,4.011,7.368,,,
122,08/01/17 04:00:00  AM,15.127,11.637,4.011,7.167,,,
123,08/01/17 05:00:00  AM,16.344,14.050,3.985,7.066,,,
124,08/01/17 06:00:00  AM,15.915,13.088,3.985,7.066,,,
125,08/01/17 07:00:00  AM,16.820,14.888,4.037,7.066,,,
126,08/01/17 08:00:00  AM,17.011,15.055,4.037,7.167,,,
127,08/01/17 09:00:00  AM,17.082,15.127,4.037,7.242,,,
128,08/01/17 10:00:00  AM,17.629,15.986,4.011,7.242,,,
129,08/01/17 11:00:00  AM,19.151,19.222,4.037,7.368,,,
130,08/01/17 12:00:00  PM,18.438,18.176,4.089,7.544,,,
131,08/01/17 01:00:00  PM,22.513,21.939,4.063,7.920,,,
132,08/01/17 02:00:00  PM,23.809,23.040,4.037,8.494,,,
133,08/01/17 03:00:00  PM,20.698,20.484,4.037,8.916,,,
134,08/01/17 04:00:00  PM,19.651,19.603,4.037,8.841,,,
135,08/01/17 05:00:00  PM,22.130,22.154,4.063,8.817,,,
136,08/01/17 06:00:00  PM,20.984,20.650,4.141,9.040,,,
137,08/01/17 07:00:00  PM,21.652,20.293,4.194,9.188,,,
138,08/01/17 08:00:00  PM,20.317,20.174,4.246,9.163,,,
139,08/01/17 09:00:00  PM,18.818,19.080,4.272,8.965,,,
140,08/01/17 10:00:00  PM,16.915,16.010,4.324,8.717,,,
141,08/01/17 11:00:00  PM,14.457,13.281,4.324,8.444,,,
142,08/02/17 12:00:00  AM,13.666,12.751,4.350,8.170,,,
143,08/02/17 01:00:00  AM,12.364,11.540,4.350,7.920,,,
144,08/02/17 02:00:00  AM,10.834,9.854,4.350,7.645,,,
145,08/02/17 03:00:00  AM,10.516,9.534,4.324,7.419,,,
146,08/02/17 04:00:00  AM,11.516,8.070,4.298,7.167,,,
147,08/02/17 05:00:00  AM,11.540,6.306,4.272,6.864,,,
148,08/02/17 06:00:00  AM,11.807,6.281,4.194,6.611,,,
149,08/02/17 07:00:00  AM,14.625,8.145,4.141,6.408,,,
150,08/02/17 08:00:00  AM,15.318,12.944,4.089,6.331,,,
151,08/02/17 09:00:00  AM,12.871,12.703,4.037,6.560,,,
152,08/02/17 10:00:00  AM,12.678,12.437,3.985,6.737,,,
