#,"Date Time, GMT-06:00","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Air Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Canopy Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Ground Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Soil Temp)",Good Battery (LGR S/N: 10737643),Host Connected (LGR S/N: 10737643),End Of File (LGR S/N: 10737643)
208,2008-04-17 18:00,9.04,9.534,3.749,7.015,,,
209,2008-04-17 19:00,9.336,10.516,3.722,7.242,,,
210,2008-04-17 20:00,9.632,9.731,3.696,7.242,,,
211,2008-04-17 21:00,6.99,7.519,3.67,6.535,,,
212,2008-04-17 22:00,6.788,6.382,3.67,6.357,,,
213,2008-04-17 23:00,6.687,6.737,3.643,6.128,,,
214,2008-05-17 0:00,6.839,6.484,3.617,5.949,,,
215,2008-05-17 1:00,7.192,6.712,3.591,5.77,,,
216,2008-05-17 2:00,6.382,5.745,3.591,5.668,,,
217,2008-05-17 3:00,6.737,5.821,3.538,5.488,,,
218,2008-05-17 4:00,7.066,6.23,3.512,5.308,,,
219,2008-05-17 5:00,7.343,6.509,3.485,5.205,,,
220,2008-05-17 6:00,7.419,6.56,3.459,5.128,,,
221,2008-05-17 7:00,7.995,6.763,3.433,5.076,,,
222,2008-05-17 8:00,9.312,7.92,3.38,5.05,,,
223,2008-05-17 9:00,10.663,9.262,3.327,5.102,,,
224,2008-05-17 10:00,11.783,11.394,3.301,5.231,,,
225,2008-05-17 11:00,13.209,13.714,3.274,5.462,,,
226,2008-05-17 12:00,13.618,14.337,3.248,5.796,,,
227,2008-05-17 13:00,14.673,16.892,3.248,6.23,,,
228,2008-05-17 14:00,15.748,17.534,3.248,6.788,,,
229,2008-05-17 15:00,18.866,20.579,3.274,7.494,,,
230,2008-05-17 16:00,18.818,20.746,3.327,8.195,,,
231,2008-05-17 17:00,21.581,20.365,3.406,8.643,,,
232,2008-05-17 18:00,23.857,21.819,3.485,8.891,,,
233,2008-05-17 19:00,18.961,19.698,3.591,9.015,,,
234,2008-05-17 20:00,20.055,20.15,3.696,8.99,,,
235,2008-05-17 21:00,18.628,17.986,3.775,8.841,,,
236,2008-05-17 22:00,15.891,15.055,3.854,8.643,,,
237,2008-05-17 23:00,15.199,14.146,3.906,8.419,,,
238,2008-06-17 0:00,13.978,12.461,3.958,8.17,,,
239,2008-06-17 1:00,14.05,12.654,3.985,7.92,,,
240,2008-06-17 2:00,13.738,12.364,4.011,7.745,,,
241,2008-06-17 3:00,11.662,11.029,4.011,7.544,,,
242,2008-06-17 4:00,12.122,11.516,4.011,7.368,,,
243,2008-06-17 5:00,10.345,9.706,4.011,7.217,,,
244,2008-06-17 6:00,10.001,9.756,4.011,7.041,,,
