"","X.5","X.4","X.3","X.2","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","max_canopy_height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.1"
"110",1547,1547,1547,1547,1547,"LB","H18Sr2",2018,"Salix richardsonii","Qikiqtaruk","2019-08-23",8,23,2019,19.6,NA,NA,NA,17.33,13.72,15.82,10.49,NA,NA,"H18SR2",1,NA,15.6233333333333,NA,"Northern",NA
"111",1552,1552,1552,1552,1552,"AC","H18Sr24",2018,"Salix richardsonii","Qikiqtaruk","2019-08-23",8,23,2019,10.2,NA,NA,NA,NA,NA,NA,37.8,19.03,13.38,"H18SR24",1,23.4033333333333,NA,NA,"Northern",NA
"112",2738,2738,2738,2738,2738,"EW","H18Sr27",2018,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,15.5,14.2,11.1,6,32,34,31,37,34,38,"H18SR27",3,36.3333333333333,32.3333333333333,12.65,"Northern",2738
"113",2212,2212,2212,2212,2212,"EW","H18Sr29",2018,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,5.4,NA,NA,NA,NA,NA,NA,43,42,40,"H18SR29",2,41.6666666666667,NA,NA,"Northern",NA
"114",2740,2740,2740,2740,2740,"EW","H18Sr30",2018,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,15.8,17.2,9.5,13,26,29,26,34,27,29,"H18SR30",3,30,27,13.35,"Northern",2740
"115",2741,2741,2741,2741,2741,"GD","H18Sr6",2018,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,2.8,4.8,3.5,9,15,14,14,5,7,8,"H18SR6",3,6.66666666666667,14.3333333333333,4.15,"Northern",2741
"116",2742,2742,2742,2742,2742,"GD","H18Sr8",2018,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,4.8,9.7,8,6,15,17,18,7,12,13,"H18SR8",3,10.6666666666667,16.6666666666667,8.85,"Northern",2742
"117",1566,1566,1566,1566,1566,"AB","HE15Sp26",2015,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,4.7,NA,NA,NA,NA,NA,NA,10.4,19.09,17.39,"HE15SP26",4,15.6266666666667,NA,NA,"Northern",NA
"118",335,335,335,335,335,"SAB","HE16Sa10",2016,"Salix arctica","Qikiqtaruk","2017-08-14",8,14,2017,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA10",1,NA,NA,NA,"Northern",NA
"119",2743,2743,2743,2743,2743,"SAB","HE16Sa14",2016,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,5.1,19,14.3,8,29,31,27,16,10,21,"HE16SA14",5,15.6666666666667,29,16.65,"Northern",2743
"120",347,347,347,347,347,"JA","HE16Sa3",2016,"Salix arctica","Qikiqtaruk","2017-08-13",8,13,2017,4,NA,NA,NA,26,35,21,13,NA,NA,"HE16SA3",1,NA,27.3333333333333,NA,"Northern",NA
"121",938,938,938,938,938,"SAB","HE16Sa6",2016,"Salix arctica","Qikiqtaruk","2018-08-18",8,18,2018,4.5,NA,NA,NA,15.04,11.81,7.41,4.09,2.68,3.3,"HE16SA6",2,3.35666666666667,11.42,NA,"Northern",NA
"122",1574,1574,1574,1574,1574,"SAB","HE16Sa7",2016,"Salix arctica","Qikiqtaruk","2019-08-23",8,23,2019,5.4,NA,NA,NA,30.66,30.85,32.48,18.54,29.6,25.37,"HE16SA7",3,24.5033333333333,31.33,NA,"Northern",NA
"123",352,352,352,352,352,"SAB","HE16Sa8",2016,"Salix arctica","Qikiqtaruk","2017-08-14",8,14,2017,2.9,NA,NA,NA,10,17,NA,13,NA,NA,"HE16SA8",1,NA,NA,NA,"Northern",NA
"124",356,356,356,356,356,"SL","HE16Sp11",2016,"Salix pulchra","Qikiqtaruk","2017-08-13",8,13,2017,6.5,NA,NA,NA,NA,NA,NA,11,NA,NA,"HE16SP11",1,NA,NA,NA,"Northern",NA
"125",2747,2747,2747,2747,2747,"SL","HE16Sp15",2016,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,6.2,10.8,6.5,4,21,22,21,8,3,20,"HE16SP15",5,10.3333333333333,21.3333333333333,8.65,"Northern",2747
"126",361,361,361,361,361,"JG","HE16Sp16",2016,"Salix pulchra","Qikiqtaruk","2017-08-13",8,13,2017,1.9,NA,NA,NA,18,20,17,17,NA,NA,"HE16SP16",1,NA,18.3333333333333,NA,"Northern",NA
"127",3034,3034,3034,3034,3034,"JG","HE16Sp17",2016,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,6,11,15.5,9,19,26,22,18,27,15,"HE16SP17",6,20,22.3333333333333,13.25,"Northern",3034
"128",364,364,364,364,364,"JG","HE16Sp19",2016,"Salix pulchra","Qikiqtaruk","2017-08-13",8,13,2017,9,NA,NA,NA,12,7,NA,12,6,NA,"HE16SP19",1,NA,NA,NA,"Northern",NA
"129",371,371,371,371,371,"JG","HE16Sp25",2016,"Salix pulchra","Qikiqtaruk","2017-08-13",8,13,2017,24,NA,NA,NA,NA,NA,NA,4,4,2,"HE16SP25",1,3.33333333333333,NA,NA,"Northern",NA
"130",1599,1599,1599,1599,1599,"AB","HE16Sp4",2016,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,28.8,NA,NA,NA,NA,NA,NA,1,NA,NA,"HE16SP4",3,NA,NA,NA,"Northern",NA
"131",399,399,399,399,399,"GD","HE16Sr23",2016,"Salix richardsonii","Qikiqtaruk","2017-08-13",8,13,2017,4.6,NA,NA,NA,NA,NA,NA,8,NA,NA,"HE16SR23",1,NA,NA,NA,"Northern",NA
"132",118,118,118,118,118,"MG","HESp11",2013,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,26.6,NA,NA,NA,45,39,48,39,30,36,"HESP11",3,35,44,NA,"Northern",NA
"133",992,992,992,992,992,"MG","HESp12",2013,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,30.5,NA,NA,NA,22.66,20.8,17.14,6.43,3.42,6.48,"HESP12",5,5.44333333333333,20.2,NA,"Northern",NA
"134",121,121,121,121,121,"MG","HESp14",2013,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,5.9,NA,NA,NA,31,36,30,34,21,15,"HESP14",3,23.3333333333333,32.3333333333333,NA,"Northern",NA
"135",994,994,994,994,994,"MG","HESp17",2013,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,13.2,NA,NA,NA,14.24,12.55,12.13,3.44,3,2.3,"HESP17",5,2.91333333333333,12.9733333333333,NA,"Northern",NA
"136",123,123,123,123,123,"MG","HESp18",2013,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,8.3,NA,NA,NA,35,33,31,36,29,34,"HESP18",3,33,33,NA,"Northern",NA
"137",124,124,124,124,124,"IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,12.3,NA,NA,NA,26,20,23,32,29,26,"HESP2",3,29,23,NA,"Northern",NA
"138",125,125,125,125,125,"MG","HESp20",2013,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,12,NA,NA,NA,39,42,34,41,36,36,"HESP20",3,37.6666666666667,38.3333333333333,NA,"Northern",NA
"139",422,422,422,422,422,"AB","HESp23",2013,"Salix pulchra","Qikiqtaruk","2017-08-14",8,14,2017,7.7,NA,NA,NA,16,10,9,14,14,10,"HESP23",4,12.6666666666667,11.6666666666667,NA,"Northern",NA
"140",999,999,999,999,999,"IMS","HESp24",2013,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,25.4,NA,NA,NA,24.37,23.15,22.59,4.94,3.66,3.29,"HESP24",5,3.96333333333333,23.37,NA,"Northern",NA
"141",424,424,424,424,424,"AB","HESp26",2013,"Salix pulchra","Qikiqtaruk","2017-08-14",8,14,2017,2.2,NA,NA,NA,NA,NA,NA,27,NA,NA,"HESP26",4,NA,NA,NA,"Northern",NA
"142",3110,3110,3110,3110,3110,"AB","HESp29",2013,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,12,19,16,18,20,26,21,18,17,19,"HESP29",9,18,22.3333333333333,17.5,"Northern",3110
"143",130,130,130,130,130,"IMS","HESp3",2013,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,37.2,NA,NA,NA,39,31,37,42,40,38,"HESP3",3,40,35.6666666666667,NA,"Northern",NA
"144",429,429,429,429,429,"IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk","2017-08-13",8,13,2017,87,NA,NA,NA,61,75,62,175,145,210,"HESP4",4,176.666666666667,66,NA,"Northern",NA
"145",1643,1643,1643,1643,1643,"CF","HESp6",2013,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,18.2,NA,NA,NA,24.6,30.77,26.02,26.65,19.96,16.83,"HESP6",6,21.1466666666667,27.13,NA,"Northern",NA
"146",1008,1008,1008,1008,1008,"SW","HESr13",2013,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,12.5,NA,NA,NA,19.93,18.76,19.35,16.93,17.79,13.15,"HESR13",5,15.9566666666667,19.3466666666667,NA,"Northern",NA
"147",138,138,138,138,138,"IR","HESr17",2013,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HESR17",3,NA,NA,NA,"Northern",NA
"148",2937,2937,2937,2937,2937,"LB","HESr2",2013,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,12,23,12,15,17,23,25,29,15,23,"HESR2",9,22.3333333333333,21.6666666666667,17.5,"Northern",2937
"149",436,436,436,436,436,"AC","HESr21",2013,"Salix richardsonii","Qikiqtaruk","2017-08-14",8,14,2017,23.5,NA,NA,NA,9,12,15,36,21,31,"HESR21",4,29.3333333333333,12,NA,"Northern",NA
"150",3100,3100,3100,3100,3100,"AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,7,8,8.5,5,19,17,25,15,13,24,"HESR23",9,17.3333333333333,20.3333333333333,8.25,"Northern",3100
"151",438,438,438,438,438,"AC","HESr26",2013,"Salix richardsonii","Qikiqtaruk","2017-08-14",8,14,2017,14.5,NA,NA,NA,21,20,22,27,48,25,"HESR26",4,33.3333333333333,21,NA,"Northern",NA
"152",1014,1014,1014,1014,1014,"AC","HESr27",2013,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,8.8,NA,NA,NA,8.62,7.31,5.64,13.21,4.81,5.68,"HESR27",5,7.9,7.19,NA,"Northern",NA
"153",2936,2936,2936,2936,2936,"LB","HESr3",2013,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,15,21,22,10,21,13,29,17,12,12,"HESR3",9,13.6666666666667,21,21.5,"Northern",2936
"154",1652,1652,1652,1652,1652,"LB","HESr4",2013,"Salix richardsonii","Qikiqtaruk","2019-08-23",8,23,2019,8.4,NA,NA,NA,NA,NA,NA,19.34,19.59,8.99,"HESR4",6,15.9733333333333,NA,NA,"Northern",NA
"155",442,442,442,442,442,"LB","HESr4B",2013,"Salix richardsonii","Qikiqtaruk","2017-08-13",8,13,2017,3.3,NA,NA,NA,13,7,6,6,12,4,"HESR4B",4,7.33333333333333,8.66666666666667,NA,"Northern",NA
"156",1017,1017,1017,1017,1017,"LB","HESr4B_clone",2013,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,3.1,NA,NA,NA,16.16,NA,NA,9.44,2.36,8.4,"HESR4B_CLONE",5,6.73333333333333,NA,NA,"Northern",NA
"157",1654,1654,1654,1654,1654,"SW","HESr6",2013,"Salix richardsonii","Qikiqtaruk","2019-08-23",8,23,2019,17.2,NA,NA,NA,NA,NA,NA,7.91,11.42,16.1,"HESR6",6,11.81,NA,NA,"Northern",NA
"158",148,148,148,148,148,"SW","HESr7",2013,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,19.5,NA,NA,NA,32,34,35,36,31,49,"HESR7",3,38.6666666666667,33.6666666666667,NA,"Northern",NA
"159",149,149,149,149,149,"SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,26,NA,NA,NA,29,27,29,54,39,34,"HESR8",3,42.3333333333333,28.3333333333333,NA,"Northern",NA
"160",2769,2769,2769,2769,2769,"JB","K15PSa10",2015,"Salix arctica","Kluane","2021-08-11",8,11,2021,4,8.4,9.6,4,23,22,24,8,7,4,"K15PSA10",6,6.33333333333333,23,9,"Southern",2769
"161",3133,3133,3133,3133,3133,"JB","K15PSa11",2015,"Salix arctica","Kluane","2022-08-16",8,17,2022,8,32,21,12,55,58,49,32,39,46,"K15PSA11",7,39,54,26.5,"Southern",3133
"162",2771,2771,2771,2771,2771,"JB","K15PSa12",2015,"Salix arctica","Kluane","2021-08-11",8,11,2021,7.1,24.8,20.1,12,32,37,34,8,4,14,"K15PSA12",6,8.66666666666667,34.3333333333333,22.45,"Southern",2771
"163",1031,1031,1031,1031,1031,"JB","K15PSa13",2015,"Salix arctica","Kluane","2018-08-18",8,18,2018,3,NA,NA,NA,27.18,25.83,27.29,4.2,5.4,6.67,"K15PSA13",3,5.42333333333333,26.7666666666667,NA,"Southern",NA
"164",3143,3143,3143,3143,3143,"JB","K15PSa15",2015,"Salix arctica","Kluane","2022-08-16",8,17,2022,15.2,17,21,12,40,33,37,20,16,20,"K15PSA15",7,18.6666666666667,36.6666666666667,19,"Southern",3143
"165",1669,1669,1669,1669,1669,"JB","K15PSa2",2015,"Salix arctica","Kluane","2019-08-23",8,23,2019,7,NA,NA,NA,41.94,35,37.01,11.73,7.08,5.36,"K15PSA2",4,8.05666666666667,37.9833333333333,NA,"Southern",NA
"166",3136,3136,3136,3136,3136,"JB","K15PSa6",2015,"Salix arctica","Kluane","2022-08-16",8,17,2022,7.9,32.5,28,9,44,53,42,30,20,22,"K15PSA6",7,24,46.3333333333333,30.25,"Southern",3136
"167",1671,1671,1671,1671,1671,"JB","K15PSa7",2015,"Salix arctica","Kluane","2019-08-23",8,23,2019,7,NA,NA,NA,62.9,75.42,60.93,21.91,36.22,25.2,"K15PSA7",4,27.7766666666667,66.4166666666667,NA,"Southern",NA
"168",1036,1036,1036,1036,1036,"JB","K15PSa8",2015,"Salix arctica","Kluane","2018-08-18",8,18,2018,7.8,NA,NA,NA,37.57,20.67,34.46,73.83,39.47,18.01,"K15PSA8",3,43.77,30.9,NA,"Southern",NA
"169",1673,1673,1673,1673,1673,"JB","K15PSa9",2015,"Salix arctica","Kluane","2019-08-23",8,23,2019,8,NA,NA,NA,49.79,48.5,54.5,33.82,25.25,20.85,"K15PSA9",4,26.64,50.93,NA,"Southern",NA
"170",2778,2778,2778,2778,2778,"SW","K15SSr8",2015,"Salix richardsonii","Kluane","2021-08-11",8,11,2021,21.5,29.5,19,15,53,51,45,37,29,44,"K15SSR8",6,36.6666666666667,49.6666666666667,24.25,"Southern",2778
"171",1055,1055,1055,1055,1055,"JB","K17Sa10",2017,"Salix arctica","Kluane","2018-08-18",8,18,2018,2.2,NA,NA,NA,10.02,15.72,10.2,4.98,1.64,1.68,"K17SA10",1,2.76666666666667,11.98,NA,"Southern",NA
"172",2779,2779,2779,2779,2779,"JA","K17Sa5",2017,"Salix arctica","Kluane","2021-08-11",8,11,2021,2.5,7.5,5.5,4,22,19,18,5,3,2,"K17SA5",4,3.33333333333333,19.6666666666667,6.5,"Southern",2779
"173",2355,2355,2355,2355,2355,"LB","K17Sr6",2017,"Salix richardsonii","Kluane","2020-08-19",8,19,2020,20.1,NA,NA,NA,64,61,48,109,51,38,"K17SR6",3,66,57.6666666666667,NA,"Southern",NA
"174",1067,1067,1067,1067,1067,"LB","K17Sr9",2017,"Salix richardsonii","Kluane","2018-08-18",8,18,2018,5.7,NA,NA,NA,15.64,18.99,17.91,2.85,NA,NA,"K17SR9",1,NA,17.5133333333333,NA,"Southern",NA
"175",1704,1704,1704,1704,1704,"IMS","KLSPC1",2013,"Salix pulchra","Kluane","2019-08-23",8,23,2019,45.4,NA,NA,NA,49.5,44.55,39.65,29.55,20.36,36.01,"KLSPC1",6,28.64,44.5666666666667,NA,"Southern",NA
"176",214,214,214,214,214,"MG","KLSPC10",2013,"Salix pulchra","Kluane","2016-08-11",8,11,2016,33,NA,NA,NA,46,48,47,43,41,28,"KLSPC10",3,37.3333333333333,47,NA,"Southern",NA
"177",1070,1070,1070,1070,1070,"AB","KLSPC13",2013,"Salix pulchra","Kluane","2018-08-18",8,18,2018,49.1,NA,NA,NA,47.67,46.6,41.15,6.69,4.84,3.71,"KLSPC13",5,5.08,45.14,NA,"Southern",NA
"178",504,504,504,504,504,"IMS","KLSPC2",2013,"Salix pulchra","Kluane","2017-08-13",8,13,2017,31,NA,NA,NA,47,56,51,90,75,60,"KLSPC2",4,75,51.3333333333333,NA,"Southern",NA
"179",505,505,505,505,505,"IMS","KLSPC3",2013,"Salix pulchra","Kluane","2017-08-13",8,13,2017,31,NA,NA,NA,47,54,55,110,112,80,"KLSPC3",4,100.666666666667,52,NA,"Southern",NA
"180",218,218,218,218,218,"MG","KLSPC8",2013,"Salix pulchra","Kluane","2016-08-11",8,11,2016,16.1,NA,NA,NA,74,65,75,314,317,275,"KLSPC8",3,302,71.3333333333333,NA,"Southern",NA
"181",1074,1074,1074,1074,1074,"MG","KLSPC9",2013,"Salix pulchra","Kluane","2018-08-18",8,18,2018,44.1,NA,NA,NA,18.19,21.84,24.22,53.66,83.52,54.71,"KLSPC9",5,63.9633333333333,21.4166666666667,NA,"Southern",NA
"182",1075,1075,1075,1075,1075,"IMS","KLSpE1",2013,"Salix pulchra","Kluane","2018-08-18",8,18,2018,74.9,NA,NA,NA,31.63,37.79,40.93,6.26,7.49,6.6,"KLSPE1",5,6.78333333333333,36.7833333333333,NA,"Southern",NA
"183",1712,1712,1712,1712,1712,"CF","KLSpE10",2013,"Salix pulchra","Kluane","2019-08-23",8,23,2019,37.8,NA,NA,NA,33.02,37.53,36.55,156,61,40,"KLSPE10",6,85.6666666666667,35.7,NA,"Southern",NA
"184",1713,1713,1713,1713,1713,"MG","KLSpE11",2013,"Salix pulchra","Kluane","2019-08-23",8,23,2019,40.3,NA,NA,NA,38.16,40.9,41.41,17.53,18.91,24.95,"KLSPE11",6,20.4633333333333,40.1566666666667,NA,"Southern",NA
"185",511,511,511,511,511,"MG","KLSpE12",2013,"Salix pulchra","Kluane","2017-08-14",8,14,2017,50,NA,NA,NA,55,39,34,170,190,210,"KLSPE12",4,190,42.6666666666667,NA,"Southern",NA
"186",3060,3060,3060,3060,3060,"MG","KLSpE14",2013,"Salix pulchra","Kluane","2022-08-16",8,17,2022,54,85,72,16,72,64,73,230,300,450,"KLSPE14",9,326.666666666667,69.6666666666667,78.5,"Southern",3060
"187",513,513,513,513,513,"MG","KLSpE15",2013,"Salix pulchra","Kluane","2017-08-14",8,14,2017,20,NA,NA,NA,34,33,37,145,200,90,"KLSPE15",4,145,34.6666666666667,NA,"Southern",NA
"188",514,514,514,514,514,"IMS","KLSpE2",2013,"Salix pulchra","Kluane","2017-08-13",8,13,2017,61,NA,NA,NA,51,50,48,222,357,286,"KLSPE2",4,288.333333333333,49.6666666666667,NA,"Southern",NA
"189",2795,2795,2795,2795,2795,"IMS","KLSpE3",2013,"Salix pulchra","Kluane","2021-08-09",8,9,2021,10.6,9,6.8,5,21,24,26,11,12,7,"KLSPE3",8,10,23.6666666666667,7.9,"Southern",2795
"190",516,516,516,516,516,"IMS","KLSpE4",2013,"Salix pulchra","Kluane","2017-08-13",8,13,2017,83.5,NA,NA,NA,70,62,65,280,235,170,"KLSPE4",4,228.333333333333,65.6666666666667,NA,"Southern",NA
"191",517,517,517,517,517,"IMS","KLSpE5",2013,"Salix pulchra","Kluane","2017-08-13",8,13,2017,31,NA,NA,NA,50,55,37,55,60,85,"KLSPE5",4,66.6666666666667,47.3333333333333,NA,"Southern",NA
"192",1085,1085,1085,1085,1085,"CF","KLSpE6",2013,"Salix pulchra","Kluane","2018-08-18",8,18,2018,101,NA,NA,NA,64.45,68.7,68.1,319,170,225,"KLSPE6",5,238,67.0833333333333,NA,"Southern",NA
"193",519,519,519,519,519,"CF","KLSpE7",2013,"Salix pulchra","Kluane","2017-08-13",8,13,2017,87,NA,NA,NA,60,65,59,595,430,495,"KLSPE7",4,506.666666666667,61.3333333333333,NA,"Southern",NA
"194",1723,1723,1723,1723,1723,"CF","KLSpE8",2013,"Salix pulchra","Kluane","2019-08-23",8,23,2019,73.2,NA,NA,NA,38.62,39.66,38.31,65.24,61.39,45.14,"KLSPE8",6,57.2566666666667,38.8633333333333,NA,"Southern",NA
"195",521,521,521,521,521,"CF","KLSpE9",2013,"Salix pulchra","Kluane","2017-08-13",8,13,2017,49,NA,NA,NA,80,70,65,270,350,270,"KLSPE9",4,296.666666666667,71.6666666666667,NA,"Southern",NA
"196",2802,2802,2802,2802,2802,"IR","KLSrC10",2013,"Salix richardsonii","Kluane","2021-08-11",8,11,2021,110.6,145.3,124.8,81,58,48,52,40,61,109,"KLSRC10",8,70,52.6666666666667,135.05,"Southern",2802
"197",1090,1090,1090,1090,1090,"AC","KLSrC11",2013,"Salix richardsonii","Kluane","2018-08-18",8,18,2018,41.6,NA,NA,NA,40.45,35.87,36.11,31.54,106.01,83.64,"KLSRC11",5,73.73,37.4766666666667,NA,"Southern",NA
"198",2803,2803,2803,2803,2803,"AC","KLSrC13",2013,"Salix richardsonii","Kluane","2021-08-11",8,11,2021,85,115,114,88,47,52,48,120,39,112,"KLSRC13",8,90.3333333333333,49,114.5,"Southern",2803
"199",2935,2935,2935,2935,2935,"LB","KLSrC2",2013,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,127,140,110,60,52,40,45,90,80,80,"KLSRC2",9,83.3333333333333,45.6666666666667,125,"Southern",2935
"200",2384,2384,2384,2384,2384,"IR","KLSrC6",2013,"Salix richardsonii","Kluane","2020-08-19",8,19,2020,115,NA,NA,NA,42,41,48,137,122,84,"KLSRC6",7,114.333333333333,43.6666666666667,NA,"Southern",NA
"201",527,527,527,527,527,"IR","KLSrC7",2013,"Salix richardsonii","Kluane","2017-08-14",8,14,2017,82,NA,NA,NA,31,32,30,175,240,220,"KLSRC7",4,211.666666666667,31,NA,"Southern",NA
"202",2807,2807,2807,2807,2807,"SW","KLSrE10",2013,"Salix richardsonii","Kluane","2021-08-11",8,11,2021,122,147,117,39,34,46,41,53,106,35,"KLSRE10",8,64.6666666666667,40.3333333333333,132,"Southern",2807
"203",2387,2387,2387,2387,2387,"IR","KLSrE11",2013,"Salix richardsonii","Kluane","2020-08-19",8,19,2020,100.4,NA,NA,NA,52,57,59,79,96,98,"KLSRE11",7,91,56,NA,"Southern",NA
"204",3073,3073,3073,3073,3073,"IR","KLSrE13",2013,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,105,138,98,53,36,42,35,39,45,55,"KLSRE13",9,46.3333333333333,37.6666666666667,118,"Southern",3073
"205",1734,1734,1734,1734,1734,"IR","KLSrE14",2013,"Salix richardsonii","Kluane","2019-08-23",8,23,2019,60.5,NA,NA,NA,47.49,57.18,61.54,146,125,121,"KLSRE14",6,130.666666666667,55.4033333333333,NA,"Southern",NA
"206",1735,1735,1735,1735,1735,"IR","KLSrE15",2013,"Salix richardsonii","Kluane","2019-08-23",8,23,2019,112.2,NA,NA,NA,49.66,51.06,45.09,106,125,112,"KLSRE15",6,114.333333333333,48.6033333333333,NA,"Southern",NA
"207",2934,2934,2934,2934,2934,"LB","KLSrE4",2013,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,113,245,235,120,48,45,34,60,60,100,"KLSRE4",9,73.3333333333333,42.3333333333333,240,"Southern",2934
"208",2813,2813,2813,2813,2813,"SW","KLSrE6",2013,"Salix richardsonii","Kluane","2021-08-11",8,11,2021,85,98,87,35,43,49,53,54,33,69,"KLSRE6",8,52,48.3333333333333,92.5,"Southern",2813
"209",2814,2814,2814,2814,2814,"SW","KLSrE7",2013,"Salix richardsonii","Kluane","2021-08-11",8,11,2021,68,87,68,58,52,42,43,136,73,68,"KLSRE7",8,92.3333333333333,45.6666666666667,77.5,"Southern",2814
"210",2394,2394,2394,2394,2394,"SW","KLSrE9",2013,"Salix richardsonii","Kluane","2020-08-19",8,19,2020,83.8,NA,NA,NA,52,46,64,102,88,106,"KLSRE9",7,98.6666666666667,54,NA,"Southern",NA
"211",1116,1116,1116,1116,1116,"JA","KP16Sa5",2016,"Salix arctica","Kluane","2018-08-18",8,18,2018,1.9,NA,NA,NA,11.87,16.86,15.81,1.64,2.22,2.01,"KP16SA5",2,1.95666666666667,14.8466666666667,NA,"Southern",NA
"212",3089,3089,3089,3089,3089,"SAB","KP16Sa6",2016,"Salix arctica","Kluane","2022-08-16",8,17,2022,5.5,11,9.5,7,22,30,28,8,6,NA,"KP16SA6",6,NA,26.6666666666667,10.25,"Southern",3089
"213",1756,1756,1756,1756,1756,"SL","KP16Sp11",2016,"Salix pulchra","Kluane","2019-08-23",8,23,2019,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP11",3,NA,NA,NA,"Southern",NA
"214",2420,2420,2420,2420,2420,"SL","KP16Sp22",2016,"Salix pulchra","Kluane","2020-08-19",8,19,2020,21.8,NA,NA,NA,28,31,33,81,52,88,"KP16SP22",4,73.6666666666667,30.6666666666667,NA,"Southern",NA
"215",1766,1766,1766,1766,1766,"SL","KP16Sp23",2016,"Salix pulchra","Kluane","2019-08-23",8,23,2019,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP23",3,NA,NA,NA,"Southern",NA
"216",2422,2422,2422,2422,2422,"SL","KP16Sp24",2016,"Salix pulchra","Kluane","2020-08-19",8,19,2020,26.1,NA,NA,NA,42,31,33,46,56,45,"KP16SP24",4,49,35.3333333333333,NA,"Southern",NA
"217",2820,2820,2820,2820,2820,"AB","KP16Sp33",2016,"Salix pulchra","Kluane","2021-08-11",8,11,2021,42.2,58.4,38,34,36,37,28,22,9,5,"KP16SP33",5,12,33.6666666666667,48.2,"Southern",2820
"218",584,584,584,584,584,"AB","KP16Sp34",2016,"Salix pulchra","Kluane","2017-08-14",8,14,2017,17,NA,NA,NA,46,60,61,150,27,26,"KP16SP34",1,67.6666666666667,55.6666666666667,NA,"Southern",NA
"219",3035,3035,3035,3035,3035,"JG","KP16Sp39",2016,"Salix pulchra","Kluane","2022-08-16",8,17,2022,4.5,9.5,8,9,32,21,22,22,10,19,"KP16SP39",6,17,25,8.75,"Southern",3035
"220",2438,2438,2438,2438,2438,"IMS","KP16Sp41",2016,"Salix pulchra","Kluane","2020-08-19",8,19,2020,11.3,NA,NA,NA,28,30,30,18,17,14,"KP16SP41",4,16.3333333333333,29.3333333333333,NA,"Southern",NA
"221",594,594,594,594,594,"CF","KP16Sp43",2016,"Salix pulchra","Kluane","2017-08-13",8,13,2017,24.5,NA,NA,NA,26,26,32,32,13,10,"KP16SP43",1,18.3333333333333,28,NA,"Southern",NA
"222",596,596,596,596,596,"CF","KP16Sp45",2016,"Salix pulchra","Kluane","2017-08-13",8,13,2017,25.5,NA,NA,NA,5,5,5,26,6,14,"KP16SP45",1,15.3333333333333,5,NA,"Southern",NA
"223",597,597,597,597,597,"CF","KP16Sp46",2016,"Salix pulchra","Kluane","2017-08-13",8,13,2017,27.5,NA,NA,NA,27,30,28,12,11,11,"KP16SP46",1,11.3333333333333,28.3333333333333,NA,"Southern",NA
