"","X.5","X.4","X.3","X.2","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","max_canopy_height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.1"
"37",90,90,90,90,90,"CF","H15Sp9",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,31.3,NA,NA,NA,33,36,42,27,9,NA,"H15SP9",1,NA,37,NA,"Northern",NA
"38",307,307,307,307,307,"SW","H15Sr12",2015,"Salix richardsonii","Qikiqtaruk","2017-08-13",8,13,2017,1,NA,NA,NA,NA,NA,NA,31,15,NA,"H15SR12",2,NA,NA,NA,"Northern",NA
"39",830,830,830,830,830,"SW","H15Sr13",2015,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,4.3,NA,NA,NA,NA,NA,NA,6.55,NA,NA,"H15SR13",3,NA,NA,NA,"Northern",NA
"40",2674,2674,2674,2674,2674,"SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,7.5,12,9.4,9,18,21,19,17,21,10,"H15SR19",6,16,19.3333333333333,10.7,"Northern",2674
"41",837,837,837,837,837,"SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,9.2,NA,NA,NA,12.55,11.85,12.9,9.42,5.84,7.09,"H15SR20",3,7.45,12.4333333333333,NA,"Northern",NA
"42",3099,3099,3099,3099,3099,"AC","H15Sr29",2015,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,6.4,9,6.5,5,26,20,21,11,16,20,"H15SR29",7,15.6666666666667,22.3333333333333,7.75,"Northern",3099
"43",110,110,110,110,110,"LB","H15Sr3",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,1.7,NA,NA,NA,11,16,NA,14,NA,NA,"H15SR3",1,NA,NA,NA,"Northern",NA
"44",2939,2939,2939,2939,2939,"LB","H15Sr5",2015,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,18,17,14,12,30,22,15,17,10,NA,"H15SR5",7,NA,22.3333333333333,15.5,"Northern",2939
"45",3030,3030,3030,3030,3030,"JA","H17Sa10",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,6,17.5,17,12,36,41,33,22,10,27,"H17SA10",5,19.6666666666667,36.6666666666667,17.25,"Northern",3030
"46",1409,1409,1409,1409,1409,"SAB","H17Sa12",2017,"Salix arctica","Qikiqtaruk","2019-08-23",8,23,2019,4.2,NA,NA,NA,29.21,24.92,19.79,17.42,6.76,NA,"H17SA12",2,NA,24.64,NA,"Northern",NA
"47",1411,1411,1411,1411,1411,"SAB","H17Sa14",2017,"Salix arctica","Qikiqtaruk","2019-08-23",8,23,2019,3.2,NA,NA,NA,24.59,NA,NA,15.3,8.92,NA,"H17SA14",2,NA,NA,NA,"Northern",NA
"48",3092,3092,3092,3092,3092,"SAB","H17Sa15",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,7,18.5,14,9,38,31,34,13,27,25,"H17SA15",5,21.6666666666667,34.3333333333333,16.25,"Northern",3092
"49",859,859,859,859,859,"JB","H17Sa17",2017,"Salix arctica","Qikiqtaruk","2018-08-18",8,18,2018,3.4,NA,NA,NA,27.34,16.27,14.65,3.89,2.39,3.89,"H17SA17",1,3.39,19.42,NA,"Northern",NA
"50",3146,3146,3146,3146,3146,"JB","H17Sa18",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,10,47,25,16,49,32,36,40,28,26,"H17SA18",5,31.3333333333333,39,36,"Northern",3146
