"","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"67",67,"CF","H15Sp16",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,17.8,NA,NA,NA,33,32,32,16,14,6,"H15SP16",NA,1,12,32.3333333333333,NA,"Northern"
"68",68,"CF","H15Sp17",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,19,NA,NA,NA,27,24,16,18,15,8,"H15SP17",NA,1,13.6666666666667,22.3333333333333,NA,"Northern"
"69",69,"CF","H15Sp18",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,10.6,NA,NA,NA,46,44,35,40,NA,NA,"H15SP18",NA,1,NA,41.6666666666667,NA,"Northern"
"70",70,"CF","H15Sp19",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,5.3,NA,NA,NA,35,27,30,42,NA,NA,"H15SP19",NA,1,NA,30.6666666666667,NA,"Northern"
"71",71,"IMS","H15Sp2",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,31,NA,NA,NA,17,21,14,23,22,18,"H15SP2",NA,1,21,17.3333333333333,NA,"Northern"
"72",72,"CF","H15Sp20",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,3.2,NA,NA,NA,33,NA,NA,29,NA,NA,"H15SP20",NA,1,NA,NA,NA,"Northern"
"73",73,"MG","H15Sp21",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP21",NA,1,NA,NA,NA,"Northern"
"74",74,"MG","H15Sp22",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP22",NA,1,NA,NA,NA,"Northern"
"75",75,"MG","H15Sp23",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,9.5,NA,NA,NA,NA,NA,NA,19,16,NA,"H15SP23",NA,1,NA,NA,NA,"Northern"
"76",76,"MG","H15Sp24",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP24",NA,1,NA,NA,NA,"Northern"
"77",77,"AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,3.6,NA,NA,NA,23,21,19,22,NA,NA,"H15SP25",NA,1,NA,21,NA,"Northern"
"78",78,"AB","H15Sp26",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP26",NA,1,NA,NA,NA,"Northern"
"79",79,"AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,19,NA,NA,NA,21,17,15,18,13,NA,"H15SP27",NA,1,NA,17.6666666666667,NA,"Northern"
"80",80,"AB","H15Sp28",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP28",NA,1,NA,NA,NA,"Northern"
"81",81,"AB","H15Sp29",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,4.3,NA,NA,NA,22,17,21,20,NA,NA,"H15SP29",NA,1,NA,20,NA,"Northern"
"82",82,"AB","H15Sp29",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,5.7,NA,NA,NA,24,23,10,23,NA,NA,"H15SP29",NA,1,NA,19,NA,"Northern"
"83",83,"IMS","H15Sp3",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP3",NA,1,NA,NA,NA,"Northern"
"84",84,"AB","H15Sp30",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP30",NA,1,NA,NA,NA,"Northern"
"85",85,"IMS","H15Sp4",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP4",NA,1,NA,NA,NA,"Northern"
"86",86,"IMS","H15Sp5",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,1,NA,NA,NA,11,NA,NA,16,NA,NA,"H15SP5",NA,1,NA,NA,NA,"Northern"
"87",87,"IMS","H15Sp6",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP6",NA,1,NA,NA,NA,"Northern"
"88",88,"IMS","H15Sp7",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP7",NA,1,NA,NA,NA,"Northern"
"89",89,"IMS","H15Sp8",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,17,NA,NA,NA,30,28,21,11,9,12,"H15SP8",NA,1,10.6666666666667,26.3333333333333,NA,"Northern"
"90",90,"CF","H15Sp9",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,31.3,NA,NA,NA,33,36,42,27,9,NA,"H15SP9",NA,1,NA,37,NA,"Northern"
"91",91,"LB","H15Sr1",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"H15SR1",NA,1,NA,NA,NA,"Northern"
"92",92,"LB","H15Sr10",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR10",NA,1,NA,NA,NA,"Northern"
"93",93,"LB","H15Sr11",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR11",NA,1,NA,NA,NA,"Northern"
"94",94,"SW","H15Sr12",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR12",NA,1,NA,NA,NA,"Northern"
"95",95,"SW","H15Sr13",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR13",NA,1,NA,NA,NA,"Northern"
"96",96,"SW","H15Sr14",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR14",NA,1,NA,NA,NA,"Northern"
"97",97,"SW","H15Sr15",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR15",NA,1,NA,NA,NA,"Northern"
"98",98,"SW","H15Sr16",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR16",NA,1,NA,NA,NA,"Northern"
"99",99,"SW","H15Sr17",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR17",NA,1,NA,NA,NA,"Northern"
"100",100,"SW","H15Sr18",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR18",NA,1,NA,NA,NA,"Northern"
"101",101,"SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,5.4,NA,NA,NA,29,31,10,15,NA,NA,"H15SR19",NA,1,NA,23.3333333333333,NA,"Northern"
"102",102,"LB","H15Sr2",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR2",NA,1,NA,NA,NA,"Northern"
"103",103,"SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,5.4,NA,NA,NA,21,25,19,7,NA,NA,"H15SR20",NA,1,NA,21.6666666666667,NA,"Northern"
"104",104,"IR","H15Sr21",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR21",NA,1,NA,NA,NA,"Northern"
"105",105,"IR","H15Sr22",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR22",NA,1,NA,NA,NA,"Northern"
"106",106,"IR","H15Sr23",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR23",NA,1,NA,NA,NA,"Northern"
"107",107,"IR","H15Sr24",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR24",NA,1,NA,NA,NA,"Northern"
"108",108,"AC","H15Sr25",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR25",NA,1,NA,NA,NA,"Northern"
