"Plot Title: QHI_HOBO_1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21419291, SEN S/N: 21414491)","Temp, °C (LGR S/N: 21419291, SEN S/N: 21414493)","Temp, °C (LGR S/N: 21419291, SEN S/N: 21420852)","RH, % (LGR S/N: 21419291, SEN S/N: 21420852)","Temp, °C (LGR S/N: 21419291, SEN S/N: 21420923)"
45,07/20/22 10:25:02 AM,20.936,20.936,20.990,47.546,20.889
46,07/20/22 10:55:02 AM,20.507,20.603,20.647,47.456,20.555
47,07/20/22 11:25:02 AM,20.960,20.984,20.904,47.253,20.841
48,07/20/22 11:55:02 AM,21.056,20.960,20.840,46.096,20.984
49,07/20/22 12:25:02 PM,21.342,21.199,21.161,45.286,21.246
50,07/20/22 12:55:02 PM,21.987,21.891,21.783,46.206,21.772
51,07/20/22 01:25:02 PM,21.175,22.585,21.719,46.027,22.705
52,07/20/22 01:55:02 PM,21.366,22.274,21.354,38.863,21.724
53,07/20/22 02:25:02 PM,16.177,16.844,14.963,54.064,13.642
54,07/20/22 02:55:02 PM,14.218,13.353,13.054,57.566,12.703
55,07/20/22 03:25:02 PM,17.962,17.891,17.000,73.286,18.580
56,07/20/22 03:55:02 PM,20.031,18.985,17.815,60.475,20.603
57,07/20/22 04:25:02 PM,21.294,21.342,20.454,63.224,22.705
58,07/20/22 04:55:02 PM,21.700,22.441,22.084,60.909,23.833
59,07/20/22 05:25:02 PM,19.841,22.657,21.569,47.973,23.160
60,07/20/22 05:55:02 PM,18.675,20.603,19.231,44.520,19.436
61,07/20/22 06:25:02 PM,19.294,19.318,18.781,43.056,18.366
62,07/20/22 06:55:02 PM,11.370,10.663,13.998,52.522,11.005
63,07/20/22 07:25:02 PM,6.179,9.879,9.258,72.042,2.316
64,07/20/22 07:55:02 PM,5.949,9.064,7.799,78.772,2.343
65,07/20/22 08:25:02 PM,5.693,8.742,7.628,80.507,2.343
66,07/20/22 08:55:02 PM,5.437,8.245,7.349,81.807,2.316
67,07/20/22 09:25:02 PM,5.257,8.295,6.534,85.686,2.316
68,07/20/22 09:55:02 PM,5.024,5.770,5.140,93.046,2.316
69,07/20/22 10:25:02 PM,4.792,6.864,5.183,93.507,2.289
70,07/20/22 10:55:02 PM,4.558,6.357,5.118,92.479,2.262
71,07/20/22 11:25:02 PM,4.350,4.766,4.389,94.464,2.236
72,07/20/22 11:55:02 PM,4.115,4.246,3.874,95.940,2.209
73,07/21/22 12:25:02 AM,3.906,4.532,4.368,97.407,2.155
74,07/21/22 12:55:02 AM,3.749,4.584,4.432,98.119,2.128
75,07/21/22 01:25:02 AM,3.643,4.584,4.453,98.227,2.074
76,07/21/22 01:55:02 AM,3.512,4.506,4.410,98.366,2.047
77,07/21/22 02:25:02 AM,3.406,4.792,4.711,98.598,1.994
78,07/21/22 02:55:02 AM,3.327,4.610,4.475,99.532,1.967
79,07/21/22 03:25:02 AM,3.248,4.454,4.346,99.422,1.913
80,07/21/22 03:55:02 AM,3.142,4.584,4.475,99.556,1.886
81,07/21/22 04:25:02 AM,3.089,4.869,4.797,99.997,1.859
82,07/21/22 04:55:02 AM,3.063,5.024,4.947,99.884,1.832
83,07/21/22 05:25:02 AM,3.036,5.334,5.311,99.403,1.778
84,07/21/22 05:55:02 AM,3.036,5.616,5.547,99.997,1.751
85,07/21/22 06:25:02 AM,3.036,6.357,6.298,99.997,1.724
86,07/21/22 06:55:02 AM,3.063,6.813,6.727,99.997,1.724
87,07/21/22 07:25:02 AM,3.089,7.167,7.049,99.997,1.697
88,07/21/22 07:55:02 AM,3.142,7.920,7.756,99.774,1.670
89,07/21/22 08:25:02 AM,3.195,8.444,8.314,99.564,1.670
90,07/21/22 08:55:02 AM,3.248,8.494,8.314,99.968,1.670
91,07/21/22 09:25:02 AM,3.301,8.841,8.722,99.997,1.670
92,07/21/22 09:55:02 AM,3.380,10.614,10.394,97.508,1.670
93,07/21/22 10:25:02 AM,3.512,11.321,11.209,93.825,1.670
94,07/21/22 10:55:02 AM,3.643,11.370,11.488,90.871,1.697
95,07/21/22 11:25:02 AM,3.801,12.122,12.582,84.514,1.697
96,07/21/22 11:55:02 AM,3.958,11.783,11.789,89.946,1.724
97,07/21/22 12:25:02 PM,4.141,13.088,13.268,85.370,1.751
98,07/21/22 12:55:02 PM,4.350,14.361,14.813,79.268,1.778
99,07/21/22 01:25:02 PM,4.610,15.055,15.306,77.047,1.832
100,07/21/22 01:55:02 PM,4.869,15.414,15.778,75.015,1.886
101,07/21/22 02:25:02 PM,5.154,16.796,15.992,77.389,1.913
102,07/21/22 02:55:02 PM,5.385,16.987,15.907,75.766,1.967
103,07/21/22 03:25:02 PM,5.616,17.415,16.271,75.531,2.021
104,07/21/22 03:55:02 PM,5.796,17.058,15.992,75.340,2.074
105,07/21/22 04:25:02 PM,5.949,17.391,16.443,73.703,2.101
106,07/21/22 04:55:02 PM,6.051,16.272,15.370,75.679,2.155
107,07/21/22 05:25:02 PM,6.102,17.106,15.992,75.595,2.209
108,07/21/22 05:55:02 PM,6.153,16.344,15.756,73.295,2.236
109,07/21/22 06:25:02 PM,6.179,16.844,16.250,72.943,2.289
110,07/21/22 06:55:02 PM,6.204,16.439,16.121,72.541,2.316
111,07/21/22 07:25:02 PM,6.128,15.819,15.263,76.364,2.343
112,07/21/22 07:55:02 PM,6.077,15.127,14.791,79.075,2.370
113,07/21/22 08:25:02 PM,5.949,15.963,15.306,78.424,2.396
114,07/21/22 08:55:02 PM,5.796,15.557,15.006,78.685,2.423
115,07/21/22 09:25:02 PM,5.668,14.649,14.277,81.157,2.450
116,07/21/22 09:55:02 PM,5.539,12.799,12.625,86.952,2.477
117,07/21/22 10:25:02 PM,5.411,12.751,12.625,88.656,2.477
118,07/21/22 10:55:02 PM,5.308,14.026,13.976,85.141,2.477
119,07/21/22 11:25:02 PM,5.231,14.768,14.684,83.867,2.503
120,07/21/22 11:55:02 PM,5.179,14.170,14.148,85.872,2.503
121,07/22/22 12:25:02 AM,5.128,14.218,14.212,86.050,2.503
122,07/22/22 12:55:02 AM,5.102,13.882,13.869,88.505,2.503
123,07/22/22 01:25:02 AM,5.050,12.823,12.754,91.278,2.530
124,07/22/22 01:55:02 AM,4.973,12.340,12.260,92.985,2.530
125,07/22/22 02:25:02 AM,4.921,12.364,12.368,92.262,2.530
126,07/22/22 02:55:02 AM,4.869,11.492,11.424,95.358,2.503
127,07/22/22 03:25:02 AM,4.792,12.001,12.025,90.254,2.503
128,07/22/22 03:55:02 AM,4.714,11.175,10.995,92.450,2.477
129,07/22/22 04:25:02 AM,4.662,9.163,9.150,92.557,2.477
130,07/22/22 04:55:02 AM,4.610,8.965,8.957,92.882,2.477
131,07/22/22 05:25:02 AM,4.558,8.568,8.614,92.227,2.477
132,07/22/22 05:55:02 AM,4.506,7.795,7.821,93.925,2.477
133,07/22/22 06:25:02 AM,4.428,8.295,8.314,92.322,2.477
134,07/22/22 06:55:02 AM,4.376,8.369,8.528,90.703,2.477
135,07/22/22 07:25:02 AM,4.350,8.643,8.850,88.609,2.477
136,07/22/22 07:55:02 AM,4.350,8.668,9.000,86.610,2.450
137,07/22/22 08:25:02 AM,4.324,8.866,9.150,86.958,2.450
138,07/22/22 08:55:02 AM,4.324,9.534,10.008,84.439,2.450
139,07/22/22 09:25:02 AM,4.350,10.075,10.352,84.201,2.450
140,07/22/22 09:55:02 AM,4.402,9.435,9.794,84.248,2.450
141,07/22/22 10:25:02 AM,4.402,9.336,9.687,85.039,2.450
142,07/22/22 10:55:02 AM,4.402,9.534,9.966,84.106,2.450
143,07/22/22 11:25:02 AM,4.428,9.854,10.502,81.950,2.450
144,07/22/22 11:55:02 AM,4.480,9.854,10.180,83.468,2.477
145,07/22/22 12:25:02 PM,4.506,10.320,10.802,80.575,2.477
146,07/22/22 12:55:02 PM,4.558,11.224,11.531,79.953,2.477
147,07/22/22 01:25:02 PM,4.662,12.340,12.904,75.125,2.503
148,07/22/22 01:55:02 PM,4.766,12.074,12.604,74.691,2.503
149,07/22/22 02:25:02 PM,4.869,12.896,13.011,75.842,2.530
150,07/22/22 02:55:02 PM,4.973,13.040,13.204,74.536,2.530
151,07/22/22 03:25:02 PM,5.076,13.473,13.569,73.552,2.557
152,07/22/22 03:55:02 PM,5.179,13.401,13.762,72.116,2.557
153,07/22/22 04:25:02 PM,5.231,13.112,13.118,74.829,2.584
154,07/22/22 04:55:02 PM,5.257,12.340,12.389,76.712,2.610
155,07/22/22 05:25:02 PM,5.257,11.637,11.810,77.665,2.637
156,07/22/22 05:55:02 PM,5.257,12.968,12.990,74.023,2.637
157,07/22/22 06:25:02 PM,5.282,11.904,12.089,76.597,2.664
158,07/22/22 06:55:02 PM,5.282,11.394,11.424,78.627,2.690
159,07/22/22 07:25:02 PM,5.231,10.051,9.901,82.330,2.690
160,07/22/22 07:55:02 PM,5.231,9.632,9.537,84.398,2.690
161,07/22/22 08:25:02 PM,5.128,8.941,9.022,88.171,2.690
162,07/22/22 08:55:02 PM,4.973,8.494,8.507,90.230,2.664
163,07/22/22 09:25:02 PM,4.844,8.070,8.121,90.285,2.664
164,07/22/22 09:55:02 PM,4.714,7.393,7.435,92.093,2.637
165,07/22/22 10:25:02 PM,4.584,6.990,6.941,94.388,2.610
166,07/22/22 10:55:02 PM,4.454,6.535,6.491,94.987,2.584
167,07/22/22 11:25:02 PM,4.324,6.763,6.684,95.120,2.557
168,07/22/22 11:55:02 PM,4.220,6.281,6.212,96.526,2.530
169,07/23/22 12:25:02 AM,4.115,5.821,5.805,96.474,2.503
170,07/23/22 12:55:02 AM,4.011,6.000,5.955,96.153,2.450
171,07/23/22 01:25:02 AM,3.932,6.433,6.384,95.668,2.423
172,07/23/22 01:55:02 AM,3.854,6.281,6.234,95.953,2.370
173,07/23/22 02:25:02 AM,3.801,5.770,5.740,97.389,2.343
174,07/23/22 02:55:02 AM,3.749,5.847,5.826,97.144,2.316
175,07/23/22 03:25:02 AM,3.670,5.745,5.762,96.378,2.262
176,07/23/22 03:55:02 AM,3.617,5.514,5.483,97.330,2.262
177,07/23/22 04:25:02 AM,3.564,5.282,5.290,97.897,2.209
178,07/23/22 04:55:02 AM,3.485,5.308,5.290,98.039,2.182
179,07/23/22 05:25:02 AM,3.459,5.360,5.354,98.163,2.128
180,07/23/22 05:55:02 AM,3.433,5.565,5.590,97.272,2.101
181,07/23/22 06:25:02 AM,3.406,5.462,5.483,97.684,2.074
182,07/23/22 06:55:02 AM,3.380,5.668,5.805,96.425,2.047
183,07/23/22 07:25:02 AM,3.354,5.770,5.805,95.601,2.021
184,07/23/22 07:55:02 AM,3.354,5.719,5.826,94.665,1.994
185,07/23/22 08:25:02 AM,3.354,5.591,5.633,97.824,1.967
186,07/23/22 08:55:02 AM,3.327,5.616,5.633,97.957,1.940
187,07/23/22 09:25:02 AM,3.301,5.745,5.783,98.732,1.940
188,07/23/22 09:55:02 AM,3.301,5.693,5.719,96.446,1.913
189,07/23/22 10:25:02 AM,3.274,5.616,5.676,96.071,1.886
190,07/23/22 10:55:02 AM,3.248,5.514,5.504,96.878,1.886
191,07/23/22 11:25:02 AM,3.221,5.565,5.612,97.194,1.859
192,07/23/22 11:55:02 AM,3.221,5.539,5.569,97.719,1.832
193,07/23/22 12:25:02 PM,3.195,5.411,5.419,97.760,1.832
194,07/23/22 12:55:02 PM,3.195,5.539,5.719,95.718,1.832
195,07/23/22 01:25:02 PM,3.195,5.385,5.526,96.475,1.805
196,07/23/22 01:55:02 PM,3.168,5.257,5.376,97.014,1.778
197,07/23/22 02:25:02 PM,3.142,5.565,5.762,97.000,1.778
198,07/23/22 02:55:02 PM,3.116,5.539,5.697,95.601,1.778
199,07/23/22 03:25:02 PM,3.116,5.770,6.019,95.459,1.751
200,07/23/22 03:55:02 PM,3.116,5.872,6.062,96.616,1.751
201,07/23/22 04:25:02 PM,3.116,5.796,5.912,97.966,1.751
202,07/23/22 04:55:02 PM,3.116,5.745,5.869,97.087,1.751
203,07/23/22 05:25:02 PM,3.089,5.360,5.483,97.247,1.724
204,07/23/22 05:55:02 PM,3.063,5.360,5.440,97.165,1.724
205,07/23/22 06:25:02 PM,3.009,5.334,5.461,97.125,1.724
206,07/23/22 06:55:02 PM,2.983,5.334,5.461,96.442,1.724
207,07/23/22 07:25:02 PM,2.956,5.282,5.483,96.892,1.697
208,07/23/22 07:55:02 PM,2.930,5.385,5.654,95.586,1.697
209,07/23/22 08:25:02 PM,2.930,5.539,5.762,96.643,1.670
210,07/23/22 08:55:02 PM,2.930,5.411,5.654,95.926,1.670
211,07/23/22 09:25:02 PM,2.903,5.539,5.719,96.094,1.643
212,07/23/22 09:55:02 PM,2.903,5.102,5.204,97.130,1.643
213,07/23/22 10:25:02 PM,2.877,5.102,5.183,97.784,1.643
214,07/23/22 10:55:02 PM,2.823,4.947,5.054,97.668,1.615
215,07/23/22 11:25:02 PM,2.770,4.895,4.968,98.360,1.615
216,07/23/22 11:55:02 PM,2.717,4.895,4.947,99.023,1.588
217,07/24/22 12:25:02 AM,2.690,4.766,4.775,99.477,1.561
218,07/24/22 12:55:02 AM,2.664,4.766,4.797,99.902,1.561
219,07/24/22 01:25:02 AM,2.637,4.792,4.797,99.997,1.534
220,07/24/22 01:55:02 AM,2.584,4.740,4.754,99.997,1.507
221,07/24/22 02:25:02 AM,2.557,4.714,4.732,99.997,1.507
222,07/24/22 02:55:02 AM,2.530,4.688,4.668,99.997,1.480
223,07/24/22 03:25:02 AM,2.477,4.662,4.711,99.997,1.453
224,07/24/22 03:55:02 AM,2.450,4.688,4.732,99.997,1.453
225,07/24/22 04:25:02 AM,2.423,4.792,4.818,99.997,1.425
226,07/24/22 04:55:02 AM,2.396,4.947,5.011,99.376,1.398
227,07/24/22 05:25:02 AM,2.370,5.154,5.204,99.057,1.398
228,07/24/22 05:55:02 AM,2.370,5.308,5.376,98.531,1.398
229,07/24/22 06:25:02 AM,2.370,5.411,5.526,97.765,1.344
230,07/24/22 06:55:02 AM,2.370,5.514,5.612,97.874,1.344
231,07/24/22 07:25:02 AM,2.396,5.770,5.933,95.782,1.344
232,07/24/22 07:55:02 AM,2.423,5.847,6.041,94.226,1.344
233,07/24/22 08:25:02 AM,2.477,6.281,6.598,91.554,1.317
234,07/24/22 08:55:02 AM,2.557,6.611,6.920,91.801,1.317
235,07/24/22 09:25:02 AM,2.637,7.494,7.992,88.029,1.317
236,07/24/22 09:55:02 AM,2.770,7.870,8.550,86.697,1.317
237,07/24/22 10:25:02 AM,2.877,7.945,8.571,83.996,1.344
238,07/24/22 10:55:02 AM,3.036,9.977,11.853,69.433,1.371
239,07/24/22 11:25:02 AM,3.221,8.891,9.494,78.589,1.398
240,07/24/22 11:55:02 AM,3.380,7.945,8.057,86.070,1.398
241,07/24/22 12:25:02 PM,3.459,9.386,9.687,83.510,1.425
242,07/24/22 12:55:02 PM,3.564,8.419,8.829,83.793,1.453
243,07/24/22 01:25:02 PM,3.643,8.195,8.357,85.512,1.480
244,07/24/22 01:55:02 PM,3.696,8.319,8.528,82.974,1.507
245,07/24/22 02:25:02 PM,3.801,9.706,9.923,76.960,1.534
246,07/24/22 02:55:02 PM,3.985,11.321,10.695,73.272,1.561
247,07/24/22 03:25:02 PM,4.272,12.001,10.673,71.054,1.588
248,07/24/22 03:55:02 PM,4.532,9.435,9.065,77.243,1.615
249,07/24/22 04:25:02 PM,4.610,8.344,8.271,78.676,1.643
250,07/24/22 04:55:02 PM,4.558,8.519,8.550,78.831,1.670
251,07/24/22 05:25:02 PM,4.454,8.095,8.185,79.806,1.697
252,07/24/22 05:55:02 PM,4.350,7.770,7.778,81.035,1.724
253,07/24/22 06:25:02 PM,4.220,7.895,7.928,81.770,1.724
254,07/24/22 06:55:02 PM,4.115,7.820,7.735,84.111,1.751
255,07/24/22 07:25:02 PM,4.011,8.120,8.078,82.054,1.751
256,07/24/22 07:55:02 PM,3.932,7.695,7.563,84.768,1.751
257,07/24/22 08:25:02 PM,3.827,7.318,7.242,86.238,1.751
258,07/24/22 08:55:02 PM,3.722,7.268,7.220,86.146,1.751
259,07/24/22 09:25:02 PM,3.617,7.217,7.220,84.443,1.751
260,07/24/22 09:55:02 PM,3.538,6.965,6.920,86.079,1.751
261,07/24/22 10:25:02 PM,3.433,6.889,6.877,85.795,1.751
262,07/24/22 10:55:02 PM,3.354,6.839,6.791,88.190,1.724
263,07/24/22 11:25:02 PM,3.274,6.788,6.791,90.236,1.724
264,07/24/22 11:55:02 PM,3.221,6.788,6.748,91.553,1.697
265,07/25/22 12:25:02 AM,3.142,6.839,6.813,92.410,1.697
266,07/25/22 12:55:02 AM,3.116,6.940,6.941,91.769,1.670
267,07/25/22 01:25:02 AM,3.063,7.041,7.006,92.630,1.670
268,07/25/22 01:55:02 AM,3.036,7.167,7.134,93.906,1.670
269,07/25/22 02:25:02 AM,3.009,7.318,7.306,94.067,1.643
270,07/25/22 02:55:02 AM,2.983,7.444,7.392,94.177,1.643
271,07/25/22 03:25:02 AM,2.983,7.519,7.520,94.226,1.615
272,07/25/22 03:55:02 AM,2.956,7.745,7.671,94.356,1.615
273,07/25/22 04:25:02 AM,2.956,8.020,7.949,95.056,1.615
274,07/25/22 04:55:02 AM,2.983,7.945,7.907,95.041,1.615
275,07/25/22 05:25:02 AM,2.983,7.970,7.885,94.862,1.615
276,07/25/22 05:55:02 AM,2.983,7.895,7.756,96.059,1.615
277,07/25/22 06:25:02 AM,2.983,7.970,7.799,97.459,1.615
278,07/25/22 06:55:02 AM,2.983,8.070,7.885,98.274,1.615
279,07/25/22 07:25:02 AM,3.036,8.965,8.807,97.560,1.615
280,07/25/22 07:55:02 AM,3.089,8.742,8.636,98.444,1.615
281,07/25/22 08:25:02 AM,3.142,8.693,8.528,99.236,1.615
282,07/25/22 08:55:02 AM,3.168,8.568,8.464,99.637,1.615
283,07/25/22 09:25:02 AM,3.195,8.792,8.657,98.790,1.615
284,07/25/22 09:55:02 AM,3.221,9.213,9.000,97.455,1.643
285,07/25/22 10:25:02 AM,3.274,9.657,9.494,95.650,1.643
286,07/25/22 10:55:02 AM,3.327,9.657,9.515,95.210,1.643
287,07/25/22 11:25:02 AM,3.380,9.657,9.472,95.903,1.670
288,07/25/22 11:55:02 AM,3.433,9.805,9.622,96.588,1.670
289,07/25/22 12:25:02 PM,3.485,10.320,10.051,95.595,1.697
290,07/25/22 12:55:02 PM,3.564,11.053,10.845,91.987,1.724
291,07/25/22 01:25:02 PM,3.643,11.540,11.360,90.057,1.724
292,07/25/22 01:55:02 PM,3.749,11.929,11.917,87.410,1.751
293,07/25/22 02:25:02 PM,3.854,12.195,12.089,86.931,1.778
294,07/25/22 02:55:02 PM,4.011,14.721,13.655,80.003,1.805
295,07/25/22 03:25:02 PM,4.246,14.840,13.848,79.976,1.832
296,07/25/22 03:55:02 PM,4.532,13.930,13.462,81.289,1.859
297,07/25/22 04:25:02 PM,4.714,14.864,14.405,79.930,1.886
298,07/25/22 04:55:02 PM,4.818,14.673,14.169,80.755,1.913
299,07/25/22 05:25:02 PM,4.947,15.605,14.941,78.328,1.940
300,07/25/22 05:55:02 PM,5.154,14.481,14.148,81.534,1.994
301,07/25/22 06:25:02 PM,5.179,14.337,14.126,80.737,2.021
302,07/25/22 06:55:02 PM,5.205,13.810,13.697,82.269,2.047
303,07/25/22 07:25:02 PM,5.205,14.505,13.912,82.557,2.074
304,07/25/22 07:55:02 PM,5.205,15.127,14.470,81.518,2.101
305,07/25/22 08:25:02 PM,5.154,14.314,13.547,83.890,2.128
306,07/25/22 08:55:02 PM,5.076,15.270,14.941,80.856,2.155
307,07/25/22 09:25:02 PM,4.999,14.361,14.105,84.431,2.182
308,07/25/22 09:55:02 PM,4.921,14.002,13.848,85.185,2.209
309,07/25/22 10:25:02 PM,4.844,13.882,13.890,84.546,2.236
310,07/25/22 10:55:02 PM,4.818,13.810,13.783,85.382,2.262
311,07/25/22 11:25:02 PM,4.766,13.522,13.483,87.350,2.262
312,07/25/22 11:55:02 PM,4.740,13.137,13.140,88.641,2.289
313,07/26/22 12:25:02 AM,4.714,12.558,12.475,90.486,2.316
314,07/26/22 12:55:02 AM,4.662,12.847,12.775,91.424,2.316
315,07/26/22 01:25:02 AM,4.610,12.823,12.797,90.671,2.343
316,07/26/22 01:55:02 AM,4.610,12.389,12.389,91.736,2.343
317,07/26/22 02:25:02 AM,4.610,11.807,11.703,93.738,2.343
318,07/26/22 02:55:02 AM,4.558,11.686,11.617,92.578,2.370
319,07/26/22 03:25:02 AM,4.506,11.589,11.510,90.767,2.370
320,07/26/22 03:55:02 AM,4.428,12.074,11.982,89.461,2.370
321,07/26/22 04:25:02 AM,4.454,12.025,11.960,88.396,2.370
322,07/26/22 04:55:02 AM,4.454,13.233,13.247,83.175,2.343
323,07/26/22 05:25:02 AM,4.454,14.002,14.041,81.276,2.343
324,07/26/22 05:55:02 AM,4.428,14.745,14.834,77.423,2.343
325,07/26/22 06:25:02 AM,4.402,14.864,15.006,77.803,2.343
326,07/26/22 06:55:02 AM,4.428,14.433,14.384,79.638,2.343
327,07/26/22 07:25:02 AM,4.428,9.952,10.137,92.313,2.343
328,07/26/22 07:55:02 AM,4.402,10.565,10.738,91.266,2.343
329,07/26/22 08:25:02 AM,4.428,12.340,14.191,80.520,2.370
330,07/26/22 08:55:02 AM,4.480,10.907,10.995,90.541,2.396
331,07/26/22 09:25:02 AM,4.532,14.002,17.172,72.128,2.423
332,07/26/22 09:55:02 AM,4.636,17.772,21.590,55.384,2.450
333,07/26/22 10:25:02 AM,4.869,18.794,24.250,48.504,2.477
334,07/26/22 10:55:02 AM,5.102,13.906,15.113,73.414,2.503
335,07/26/22 11:25:02 AM,5.231,15.438,16.164,66.911,2.530
336,07/26/22 11:55:02 AM,5.437,14.337,14.920,71.246,2.557
337,07/26/22 12:25:02 PM,5.565,14.577,15.671,69.725,2.584
338,07/26/22 12:55:02 PM,5.668,18.699,19.832,56.840,2.637
339,07/26/22 01:25:02 PM,6.051,15.342,15.113,69.569,2.690
340,07/26/22 01:55:02 PM,6.153,17.320,17.344,61.466,2.717
341,07/26/22 02:25:02 PM,6.204,20.388,20.411,53.556,2.770
342,07/26/22 02:55:02 PM,6.382,16.892,17.279,59.068,2.797
343,07/26/22 03:25:02 PM,6.306,18.319,18.545,49.145,2.823
344,07/26/22 03:55:02 PM,6.331,18.747,19.124,45.930,2.877
345,07/26/22 04:25:02 PM,6.382,18.699,18.888,44.512,2.903
346,07/26/22 04:55:02 PM,6.509,20.722,20.025,42.351,2.956
347,07/26/22 05:25:02 PM,6.712,18.105,18.266,45.048,2.983
348,07/26/22 05:55:02 PM,6.661,18.533,17.923,48.649,3.009
349,07/26/22 06:25:02 PM,6.560,15.963,15.949,52.618,3.036
350,07/26/22 06:55:02 PM,6.408,19.032,17.880,47.665,3.063
351,07/26/22 07:25:02 PM,6.331,18.390,17.622,48.550,3.063
352,07/26/22 07:55:02 PM,6.331,16.987,16.614,52.404,3.063
353,07/26/22 08:25:02 PM,6.204,14.673,14.277,61.999,3.063
354,07/26/22 08:55:02 PM,6.026,15.700,14.877,58.021,3.036
355,07/26/22 09:25:02 PM,5.898,13.738,13.504,70.330,3.036
356,07/26/22 09:55:02 PM,5.745,12.050,11.724,74.069,3.036
357,07/26/22 10:25:02 PM,5.539,11.540,11.274,76.286,3.009
358,07/26/22 10:55:02 PM,5.334,11.540,11.338,77.023,2.983
359,07/26/22 11:25:02 PM,5.179,11.053,10.888,77.816,2.930
360,07/26/22 11:55:02 PM,5.024,10.956,10.759,76.855,2.903
361,07/27/22 12:25:02 AM,4.869,10.541,10.352,80.563,2.877
362,07/27/22 12:55:02 AM,4.766,10.736,10.673,76.970,2.823
363,07/27/22 01:25:02 AM,4.662,10.149,9.987,79.829,2.797
364,07/27/22 01:55:02 AM,4.558,9.583,9.515,82.779,2.744
365,07/27/22 02:25:02 AM,4.454,9.706,9.601,82.719,2.717
366,07/27/22 02:55:02 AM,4.376,10.541,10.545,76.292,2.664
367,07/27/22 03:25:02 AM,4.298,10.051,9.923,76.716,2.637
