Sample_ID,Match,Species,Sample_location,Sample_location_full,Year_planted
HEFSr16,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr17,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr18,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr19,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr2,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr20,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr21,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr22,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr24,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr25,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr26,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr27,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr28,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr29,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr3,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr30,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr4,HEF-SR 4,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr4B_clone,HEF-SR 4B,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr5,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr6,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr7,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr8,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr9,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HERSp1,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp10,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp11,HER-SP 11,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp12,HER-SP 12,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp13,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp14,HER-SP 14,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp15,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp16,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp17,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp18,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp19,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp2,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp20,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp21,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp22,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp23,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp24,HER-SP 24,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp25,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp26,HER-SP 26,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp27,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp28,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp29,HER-SP 29,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp3,HER-SP 3,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp30,HER-SP 30,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp4,HER-SP 4,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp5,HER-SP 5,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp6,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp7,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp8,NA,Salix pulchra,Qikiqtaruk,QHI,2014
HERSp9,HER-SP 9,Salix pulchra,Qikiqtaruk,QHI,2014
KLSpS1,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS10,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS11,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS12,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS13,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS14,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS15,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS16,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS17,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS18,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS19,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS2,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS20,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS3,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS4,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS5,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS6,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS7,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS8,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSpS9,NA,Salix pulchra,Kluane,Pika Camp,2014
KLSrS1,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS10,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS11,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS12,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS13,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS14,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS15,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS16,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS17,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS18,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS19,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS2,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS20,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS3,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS4,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS5,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS6,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS7,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS8,NA,Salix richardsonii,Kluane,Pika Camp,2014
KLSrS9,NA,Salix richardsonii,Kluane,Pika Camp,2014
KPSr1,NA,Salix richardsonii,Kluane,Kluane Plateau,2014
KPSr10,NA,Salix richardsonii,Kluane,Kluane Plateau,2014
KPSr2,NA,Salix richardsonii,Kluane,Kluane Plateau,2014
KPSr3,NA,Salix richardsonii,Kluane,Kluane Plateau,2014
KPSr4,NA,Salix richardsonii,Kluane,Kluane Plateau,2014
KPSr5,KP-SR 5,Salix richardsonii,Kluane,Kluane Plateau,2014
KPSr6,NA,Salix richardsonii,Kluane,Kluane Plateau,2014
KPSr7,NA,Salix richardsonii,Kluane,Kluane Plateau,2014
KPSr8,NA,Salix richardsonii,Kluane,Kluane Plateau,2014
KPSr9,NA,Salix richardsonii,Kluane,Kluane Plateau,2014
H15BN1,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN10,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN11,H15Bn11,Betula nana,Qikiqtaruk,QHI,2015
H15BN12,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN13,H15BN13,Betula nana,Qikiqtaruk,QHI,2015
H15BN14,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN15,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN16,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN17,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN18,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN19,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN2,H15Bn2,Betula nana,Qikiqtaruk,QHI,2015
H15BN20,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN21,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN22,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN23,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN24,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN25,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN26,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN27,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN28,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN29,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN3,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN30,H15Bn30,Betula nana,Qikiqtaruk,QHI,2015
H15BN4,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN5,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN6,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN7,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN8,NA,Betula nana,Qikiqtaruk,QHI,2015
H15BN9,NA,Betula nana,Qikiqtaruk,QHI,2015
H15Sa1,H15Sa1,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa10,H15Sa10,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa11,H15Sa11,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa12,H15Sa12,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa13,H15Sa13,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa14,H15Sa14,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa15,H15Sa15,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa16,H15Sa16,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa17,H15Sa17,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa18,H15Sa18,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa19,H15Sa19,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa2,H15Sa2,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa20,H15Sa20,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa3,H15Sa3,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa4,H15Sa4,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa5,H15Sa5,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa6,H15Sa6,Salix arctica,Qikiqtaruk,QHI,2015
