"","Match","Species","Sample_location","Sample_location_full","Date_sampled","Date_propagated","Date_planted","Year_planted","Mother_height","Mother_CW_1","Mother_CW_2","Mother_LS","Mother_LL1","Mother_LL2","Mother_LL3","Mother_SE1","Mother_SE2","Mother_SE3","Mother_Sex","Cutting_length","Cutting_diameter","Cutting_age","Year_dead","Survived_2014","Survived_2015","Survived_2016","Survived_2017","Survived_2018","Survived_2019","Survived_2020","Survived_2021","Bed","Row","Column","Notes","Field_notes","Data_notes","SampleID","SampleID_standard","population","Survived_2023","Survived_2022"
"10030",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,38.5,NA,NA,NA,54,68,65,58,121,"73","Female",42.8,"12.41",13,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr23","H18SR23",NA,NA,NA
"10031",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,33.4,NA,NA,NA,33,45,38,39,112,"31","Female",26.9,"10.98",11,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr25","H18SR25","Northern","0","0"
"10032",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,33.4,NA,NA,NA,33,45,38,39,112,"31","Female",26.9,"10.98",11,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr25","H18SR25","Northern","0","0"
"10033",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,33.4,NA,NA,NA,33,45,38,39,112,"31","Female",26.9,"10.98",11,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr25","H18SR25","Northern","0","0"
"10034",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,33.4,NA,NA,NA,33,45,38,39,112,"31","Female",26.9,"10.98",11,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr25","H18SR25","Northern","0","0"
"10035",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,33.4,NA,NA,NA,33,45,38,39,112,"31","Female",26.9,"10.98",11,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr25","H18SR25","Northern","0","0"
"10036",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,37.2,NA,NA,NA,34,48,51,30,52,"43","Female",41.2,"12.79",16,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","H18Sr26","H18SR26",NA,NA,NA
"10037",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,37.2,NA,NA,NA,34,48,51,30,52,"43","Female",41.2,"12.79",16,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","H18Sr26","H18SR26",NA,NA,NA
"10038",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,37.2,NA,NA,NA,34,48,51,30,52,"43","Female",41.2,"12.79",16,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","H18Sr26","H18SR26",NA,NA,NA
"10039",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,37.2,NA,NA,NA,34,48,51,30,52,"43","Female",41.2,"12.79",16,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","H18Sr26","H18SR26",NA,NA,NA
"10040",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,32.2,NA,NA,NA,44,51,50,22,28,"61","Male",28.7,"8.79",12,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","H18Sr28","H18SR28",NA,NA,NA
"10041",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,32.2,NA,NA,NA,44,51,50,22,28,"61","Male",28.7,"8.79",12,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","H18Sr28","H18SR28",NA,NA,NA
"10042",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,32.2,NA,NA,NA,44,51,50,22,28,"61","Male",28.7,"8.79",12,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","H18Sr28","H18SR28",NA,NA,NA
"10043",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,32.2,NA,NA,NA,44,51,50,22,28,"61","Male",28.7,"8.79",12,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","H18Sr28","H18SR28",NA,NA,NA
"10044",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,43.3,NA,NA,NA,46,44,43,35,26,"41","Female",44.2,"12.35",14,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr4","H18SR4",NA,NA,NA
"10045",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,43.3,NA,NA,NA,46,44,43,35,26,"41","Female",44.2,"12.35",14,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr4","H18SR4",NA,NA,NA
"10046",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,43.3,NA,NA,NA,46,44,43,35,26,"41","Female",44.2,"12.35",14,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr4","H18SR4",NA,NA,NA
