"","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","mean_stem_elong","mean_leaf_length","mean_width","population","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","Sample_ID","July_2023_notes","Sample_age"
"757","SW",2016,"Salix richardsonii","Common_garden",NA,8,13,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC16PVSR9",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"758","JA",2016,"Salix arctica","Common_garden",NA,8,13,2017,1.3,NA,NA,NA,11,16,NA,6,NA,NA,"PP16MSA1",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"759","JA",2016,"Salix arctica","Common_garden",NA,8,13,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16MSA2",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"760","JA",2016,"Salix arctica","Common_garden",NA,8,13,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16MSA3",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"761","JA",2016,"Salix arctica","Common_garden",NA,8,13,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16MSA4",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"762","JA",2016,"Salix arctica","Common_garden",NA,8,13,2017,4.2,NA,NA,NA,23,15,18,8,6,NA,"PP16MSA5",NA,NA,18.66666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"763","MG",2016,"Salix pulchra","Common_garden",NA,8,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSP1",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"764","MG",2016,"Salix pulchra","Common_garden",NA,8,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSP10",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"765","MG",2016,"Salix pulchra","Common_garden",NA,8,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSP2",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"766","MG",2016,"Salix pulchra","Common_garden",NA,8,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSP3",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"767","MG",2016,"Salix pulchra","Common_garden",NA,8,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSP4",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"768","MG",2016,"Salix pulchra","Common_garden",NA,8,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSP5",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"769","MG",2016,"Salix pulchra","Common_garden",NA,8,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSP6",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"770","MG",2016,"Salix pulchra","Common_garden",NA,8,14,2017,23,NA,NA,NA,35,30,23,26,16,26,"PP16TSP7",NA,22.66666667,29.33333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"771","MG",2016,"Salix pulchra","Common_garden",NA,8,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSP8",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"772","MG",2016,"Salix pulchra","Common_garden",NA,8,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSP9",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"773","GD",2016,"Salix richardsonii","Common_garden",NA,8,13,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR1",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"774","AC",2016,"Salix richardsonii","Common_garden",NA,8,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR10",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"775","GD",2016,"Salix richardsonii","Common_garden",NA,8,13,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR2",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"776","GD",2016,"Salix richardsonii","Common_garden",NA,8,13,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR3",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"777","GD",2016,"Salix richardsonii","Common_garden",NA,8,13,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR4",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"778","GD",2016,"Salix richardsonii","Common_garden",NA,8,13,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR5",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"779","AC",2016,"Salix richardsonii","Common_garden",NA,8,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR6",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"780","AC",2016,"Salix richardsonii","Common_garden",NA,8,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR7",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"781","AC",2016,"Salix richardsonii","Common_garden",NA,8,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR8",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"782","AC",2016,"Salix richardsonii","Common_garden",NA,8,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR9",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"783","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA1",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"784","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,3.6,NA,NA,NA,36.35,28.65,31.8,15.63,24.17,9.05,"H15SA10",NA,16.28333333,32.26666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"785","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,0.5,NA,NA,NA,7.65,8.3,9.54,1.96,1.44,1.15,"H15SA11",NA,1.516666667,8.496666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"786","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,3.6,NA,NA,NA,27.82,25.01,21.86,3.48,4.77,3.59,"H15SA12",NA,3.946666667,24.89666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"787","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,4.1,NA,NA,NA,22.02,19.37,18.8,4.67,4.29,3.29,"H15SA14",NA,4.083333333,20.06333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"788","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA16",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"789","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA17",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"790","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,2.8,NA,NA,NA,2.98,3.1,1.99,0.88,0.76,0.92,"H15SA18",NA,0.853333333,2.69,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"791","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,3,NA,NA,NA,31.91,16.48,13.78,3.32,2.28,1.57,"H15SA19",NA,2.39,20.72333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"792","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,5.8,NA,NA,NA,17.3,19.6,24.61,4.59,5.23,3.03,"H15SA20",NA,4.283333333,20.50333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"793","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,1.7,NA,NA,NA,15.95,11.31,10.65,2.47,2.06,2.63,"H15SA20",NA,2.386666667,12.63666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"794","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,3.4,NA,NA,NA,35.27,11,20.44,4.65,5.49,2.7,"H15SA3",NA,4.28,22.23666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"795","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA4",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"796","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA5",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"797","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,3.8,NA,NA,NA,40.7,36.02,30.78,8.13,5.38,6.01,"H15SA7",NA,6.506666667,35.83333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"798","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA8",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"799","JB",2015,"Salix arctica","Common_garden",NA,8,18,2018,1.5,NA,NA,NA,14.12,17.47,10.84,2.77,1.82,1.19,"H15SA9",NA,1.926666667,14.14333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"800","IMS",2015,"Salix pulchra","Common_garden",NA,8,18,2018,6.2,NA,NA,NA,19.02,13.11,16.06,4.39,7.79,4.95,"H15SP1",NA,5.71,16.06333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"801","CF",2015,"Salix pulchra","Common_garden",NA,8,18,2018,4.4,NA,NA,NA,16.27,17.57,22.19,4.47,3.43,2.16,"H15SP10",NA,3.353333333,18.67666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"802","CF",2015,"Salix pulchra","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP11",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"803","CF",2015,"Salix pulchra","Common_garden",NA,8,18,2018,1.5,NA,NA,NA,7.47,6.71,4.84,1.97,1.31,1.32,"H15SP12",NA,1.533333333,6.34,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"804","CF",2015,"Salix pulchra","Common_garden",NA,8,18,2018,9.6,NA,NA,NA,22.9,25.06,20.37,4.86,2.71,2.65,"H15SP13",NA,3.406666667,22.77666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"805","CF",2015,"Salix pulchra","Common_garden",NA,8,18,2018,10.7,NA,NA,NA,21.84,19.41,17.44,4.05,3.42,2.3,"H15SP14",NA,3.256666667,19.56333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"806","CF",2015,"Salix pulchra","Common_garden",NA,8,18,2018,7.9,NA,NA,NA,21.51,18.84,22.2,4.56,4.24,3.53,"H15SP15",NA,4.11,20.85,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"807","CF",2015,"Salix pulchra","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP16",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"808","CF",2015,"Salix pulchra","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP17",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"809","CF",2015,"Salix pulchra","Common_garden",NA,8,18,2018,17.1,NA,NA,NA,23.04,24.84,25.72,8.13,5.09,3.54,"H15SP18",NA,5.586666667,24.53333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"810","CF",2015,"Salix pulchra","Common_garden",NA,8,18,2018,8.3,NA,NA,NA,20.34,18.64,16.2,6.04,4.38,4.18,"H15SP19",NA,4.866666667,18.39333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"811","IMS",2015,"Salix pulchra","Common_garden",NA,8,18,2018,2.6,NA,NA,NA,15.68,9.91,8.08,3.17,2.54,1.75,"H15SP2",NA,2.486666667,11.22333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"812","CF",2015,"Salix pulchra","Common_garden",NA,8,18,2018,5.7,NA,NA,NA,15.78,13.51,11.27,3.75,2.57,1.4,"H15SP20",NA,2.573333333,13.52,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"813","MG",2015,"Salix pulchra","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP21",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"814","MG",2015,"Salix pulchra","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP22",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"815","MG",2015,"Salix pulchra","Common_garden",NA,8,18,2018,3.7,NA,NA,NA,11.77,11.28,12.64,3.14,1.95,1.43,"H15SP23",NA,2.173333333,11.89666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"816","MG",2015,"Salix pulchra","Common_garden",NA,8,18,2018,11.3,NA,NA,NA,21.14,23.09,20.79,22.79,24.78,15.4,"H15SP24",NA,20.99,21.67333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"817","AB",2015,"Salix pulchra","Common_garden",NA,8,18,2018,5.3,NA,NA,NA,20.22,14.64,15.28,3.93,1.93,2.22,"H15SP25",NA,2.693333333,16.71333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"818","AB",2015,"Salix pulchra","Common_garden",NA,8,18,2018,10.4,NA,NA,NA,24.44,24.24,24.57,4.45,3.24,3.76,"H15SP27",NA,3.816666667,24.41666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"819","AB",2015,"Salix pulchra","Common_garden",NA,8,18,2018,9.6,NA,NA,NA,20.39,22.97,22.34,3.53,3.17,1.4,"H15SP29",NA,2.7,21.9,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"820","IMS",2015,"Salix pulchra","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP3",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"821","AB",2015,"Salix pulchra","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP30",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"822","IMS",2015,"Salix pulchra","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP4",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"823","IMS",2015,"Salix pulchra","Common_garden",NA,8,18,2018,7.4,NA,NA,NA,17.14,20.69,16.68,4.83,4.29,2.75,"H15SP5",NA,3.956666667,18.17,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"824","IMS",2015,"Salix pulchra","Common_garden",NA,8,18,2018,3.5,NA,NA,NA,5.95,2.99,2.75,1,0.97,0.96,"H15SP6",NA,0.976666667,3.896666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"825","IMS",2015,"Salix pulchra","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP7",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"826","IMS",2015,"Salix pulchra","Common_garden",NA,8,18,2018,7.3,NA,NA,NA,21.63,20.96,22.23,4.79,2.69,2.13,"H15SP8",NA,3.203333333,21.60666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"827","CF",2015,"Salix pulchra","Common_garden",NA,8,18,2018,15.1,NA,NA,NA,26.48,17.84,23.13,3.57,2.87,2.49,"H15SP9",NA,2.976666667,22.48333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"828","LB",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR11",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"829","SW",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR12",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"830","SW",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,4.3,NA,NA,NA,NA,NA,NA,6.55,NA,NA,"H15SR13",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"831","SW",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR14",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"832","SW",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR15",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"833","SW",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR16",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"834","SW",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR17",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"835","SW",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR18",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"836","SW",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,6.3,NA,NA,NA,17.29,19.58,21.54,18.37,22.19,10.78,"H15SR19",NA,17.11333333,19.47,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"837","SW",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,9.2,NA,NA,NA,12.55,11.85,12.9,9.42,5.84,7.09,"H15SR20",NA,7.45,12.43333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"838","IR",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR22",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"839","IR",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR23",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"840","IR",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR24",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"841","AC",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR25",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"842","AC",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR26",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"843","AC",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,3.4,NA,NA,NA,NA,NA,NA,27.51,25.41,16.41,"H15SR29",NA,23.11,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"844","LB",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR3",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"845","AC",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR30",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"846","LB",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR4",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"847","LB",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,9.5,NA,NA,NA,26.83,24.64,23.14,13.45,23.62,12.05,"H15SR5",NA,16.37333333,24.87,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"848","LB",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR6",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"849","LB",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR8",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"850","LB",2015,"Salix richardsonii","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR9",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"851","JA",2017,"Salix arctica","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA1",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"852","JA",2017,"Salix arctica","Common_garden",NA,8,18,2018,2,NA,NA,NA,13.38,14.31,9.36,5.51,4.28,1.89,"H17SA10",NA,3.893333333,12.35,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"853","JA",2017,"Salix arctica","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA11",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"854","SAB",2017,"Salix arctica","Common_garden",NA,8,18,2018,2.3,NA,NA,NA,21.88,27.95,16.02,4,3.45,4,"H17SA12",NA,3.816666667,21.95,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"855","SAB",2017,"Salix arctica","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA13",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"856","SAB",2017,"Salix arctica","Common_garden",NA,8,18,2018,3.1,NA,NA,NA,19.64,16.67,15.56,7.45,5.73,5.2,"H17SA14",NA,6.126666667,17.29,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"857","SAB",2017,"Salix arctica","Common_garden",NA,8,18,2018,2.2,NA,NA,NA,15.08,9.93,12.33,3.72,2.8,2.43,"H17SA15",NA,2.983333333,12.44666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"858","SAB",2017,"Salix arctica","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA16",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"859","JB",2017,"Salix arctica","Common_garden",NA,8,18,2018,3.4,NA,NA,NA,27.34,16.27,14.65,3.89,2.39,3.89,"H17SA17",NA,3.39,19.42,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"860","JB",2017,"Salix arctica","Common_garden",NA,8,18,2018,9.6,NA,NA,NA,22.8,24.27,16.01,5.85,4.72,6.8,"H17SA18",NA,5.79,21.02666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"861","JB",2017,"Salix arctica","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA19",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"862","JA",2017,"Salix arctica","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA2",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"863","JA",2017,"Salix arctica","Common_garden",NA,8,18,2018,1.8,NA,NA,NA,22.18,11.43,NA,6.07,3.42,NA,"H17SA3",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"864","JA",2017,"Salix arctica","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA4",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"865","JA",2017,"Salix arctica","Common_garden",NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA5",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"866","JA",2017,"Salix arctica","Common_garden",NA,8,18,2018,4.9,NA,NA,NA,22.74,18.93,23.89,4.41,5.11,4.05,"H17SA6",NA,4.523333333,21.85333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
