,X,Bed,Year_planted,Species,Site,Sample_Date,Month,Day,Year,Canopy_Height_cm,Width_cm,Width_2_cm,Stem_diameter,Length_1_mm,Length_2_mm,Length_3_mm,Stem_Elongation_1_mm,Stem_Elongation_2_mm,Stem_Elongation_3_mm,SampleID_standard,biovolume,mean_stem_elong,mean_leaf_length,mean_width,population,Latitude,Longitude,Elevation,Date_propagated,Date_planted,Mother_LS,Cutting_length,Cutting_diameter,Sample_ID,July_2023_notes,Sample_age
46,46,CF,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,12,11,10,NA,NA,NA,KLSPE8,NA,NA,11,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
47,47,CF,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,19,20,23,NA,NA,NA,KLSPE9,NA,NA,20.66666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
48,48,IR,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,KLSRC10,NA,NA,9.666666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
49,49,LB,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,22,14,15,NA,NA,NA,KLSRC2,NA,NA,17,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
50,50,IR,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,11,15,15,NA,NA,NA,KLSRC6,NA,NA,13.66666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
51,51,SW,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,15,13,13,NA,NA,NA,KLSRE10,NA,NA,13.66666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
52,52,IR,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,13,15,10,NA,NA,NA,KLSRE11,NA,NA,12.66666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
53,53,IR,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,13,15,14,NA,NA,NA,KLSRE13,NA,NA,14,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
54,54,IR,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,16,17,8,NA,NA,NA,KLSRE14,NA,NA,13.66666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
55,55,IR,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,12,13,14,NA,NA,NA,KLSRE15,NA,NA,13,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
56,56,LB,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,10,12,12,NA,NA,NA,KLSRE4,NA,NA,11.33333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
57,57,SW,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,17,15,17,NA,NA,NA,KLSRE6,NA,NA,16.33333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
58,58,SW,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,18,15,14,NA,NA,NA,KLSRE7,NA,NA,15.66666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
59,59,SW,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,15,14,16,NA,NA,NA,KLSRE9,NA,NA,15,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
60,60,IMS,2015,Salix pulchra,Common_garden,NA,8,11,2016,5.5,NA,NA,NA,26,21,22,13,6,NA,H15SP1,NA,NA,23,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
61,61,CF,2015,Salix pulchra,Common_garden,NA,8,11,2016,5,NA,NA,NA,38,30,25,29,NA,NA,H15SP10,NA,NA,31,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62,62,CF,2015,Salix pulchra,Common_garden,NA,8,11,2016,1.6,NA,NA,NA,26,19,14,11,NA,NA,H15SP11,NA,NA,19.66666667,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
63,63,CF,2015,Salix pulchra,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SP12,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
64,64,CF,2015,Salix pulchra,Common_garden,NA,8,11,2016,13.8,NA,NA,NA,37,42,44,53,47,10,H15SP13,NA,36.66666667,41,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
65,65,CF,2015,Salix pulchra,Common_garden,NA,8,11,2016,16.3,NA,NA,NA,48,19,18,19,15,NA,H15SP14,NA,NA,28.33333333,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
66,66,CF,2015,Salix pulchra,Common_garden,NA,8,11,2016,21.3,NA,NA,NA,31,41,40,46,30,NA,H15SP15,NA,NA,37.33333333,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
67,67,CF,2015,Salix pulchra,Common_garden,NA,8,11,2016,17.8,NA,NA,NA,33,32,32,16,14,6,H15SP16,NA,12,32.33333333,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
68,68,CF,2015,Salix pulchra,Common_garden,NA,8,11,2016,19,NA,NA,NA,27,24,16,18,15,8,H15SP17,NA,13.66666667,22.33333333,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
