"","max_canopy_height_cm","SampleID_standard","Year","Site","population","Species"
"124",2.9,"HE16SA8",2017,"Common_garden","Northern","Salix arctica"
"125",6.5,"HE16SP11",2017,"Common_garden","Northern","Salix pulchra"
"126",6.2,"HE16SP15",2021,"Common_garden","Northern","Salix pulchra"
"127",1.9,"HE16SP16",2017,"Common_garden","Northern","Salix pulchra"
"128",6.3,"HE16SP17",2023,"Common_garden","Northern","Salix pulchra"
"129",9,"HE16SP19",2017,"Common_garden","Northern","Salix pulchra"
"130",24,"HE16SP25",2017,"Common_garden","Northern","Salix pulchra"
"131",28.8,"HE16SP4",2019,"Common_garden","Northern","Salix pulchra"
"132",4.6,"HE16SR23",2017,"Common_garden","Northern","Salix richardsonii"
"133",15.9,"HERSP11",2023,"Common_garden","Northern","Salix pulchra"
"134",21,"HERSP12",2023,"Common_garden","Northern","Salix pulchra"
"135",3.3,"HERSP14",2023,"Common_garden","Northern","Salix pulchra"
"136",10.6,"HERSP24",2023,"Common_garden","Northern","Salix pulchra"
"137",12.9,"HERSP29",2023,"Common_garden","Northern","Salix pulchra"
"138",16.8,"HERSP3",2023,"Common_garden","Northern","Salix pulchra"
"139",7.7,"HERSP4",2023,"Common_garden","Northern","Salix pulchra"
"140",7.5,"HERSR4",2023,"Common_garden","Northern",NA
"141",26.6,"HESP11",2016,"Common_garden","Northern","Salix pulchra"
"142",30.5,"HESP12",2018,"Common_garden","Northern","Salix pulchra"
"143",5.9,"HESP14",2016,"Common_garden","Northern","Salix pulchra"
"144",13.2,"HESP17",2018,"Common_garden","Northern","Salix pulchra"
"145",8.3,"HESP18",2016,"Common_garden","Northern","Salix pulchra"
"146",12.3,"HESP2",2016,"Common_garden","Northern","Salix pulchra"
"147",12,"HESP20",2016,"Common_garden","Northern","Salix pulchra"
"148",7.7,"HESP23",2017,"Common_garden","Northern","Salix pulchra"
"149",25.4,"HESP24",2018,"Common_garden","Northern","Salix pulchra"
"150",2.2,"HESP26",2017,"Common_garden","Northern","Salix pulchra"
"151",12,"HESP29",2022,"Common_garden","Northern","Salix pulchra"
"152",37.2,"HESP3",2016,"Common_garden","Northern","Salix pulchra"
"153",87,"HESP4",2017,"Common_garden","Northern","Salix pulchra"
"154",18.2,"HESP6",2019,"Common_garden","Northern","Salix pulchra"
"155",14.4,"HESR13",2023,"Common_garden","Northern","Salix richardsonii"
"156",2.2,"HESR17",2016,"Common_garden","Northern","Salix richardsonii"
"157",12.3,"HESR2",2023,"Common_garden","Northern","Salix richardsonii"
"158",23.5,"HESR21",2017,"Common_garden","Northern","Salix richardsonii"
"159",9,"HESR23",2023,"Common_garden","Northern","Salix richardsonii"
"160",14.5,"HESR26",2017,"Common_garden","Northern","Salix richardsonii"
"161",8.8,"HESR27",2018,"Common_garden","Northern","Salix richardsonii"
"162",15.6,"HESR3",2023,"Common_garden","Northern","Salix richardsonii"
"163",8.4,"HESR4",2019,"Common_garden","Northern","Salix richardsonii"
"164",3.3,"HESR4B",2017,"Common_garden","Northern","Salix richardsonii"
"165",3.1,"HESR4B_CLONE",2018,"Common_garden","Northern","Salix richardsonii"
"166",17.2,"HESR6",2019,"Common_garden","Northern","Salix richardsonii"
"167",19.5,"HESR7",2016,"Common_garden","Northern","Salix richardsonii"
"168",26,"HESR8",2016,"Common_garden","Northern","Salix richardsonii"
"169",5.2,"K15PSA10",2023,"Common_garden","Southern","Salix arctica"
"170",8.1,"K15PSA11",2023,"Common_garden","Southern","Salix arctica"
"171",7.1,"K15PSA12",2021,"Common_garden","Southern","Salix arctica"
"172",3,"K15PSA13",2018,"Common_garden","Southern","Salix arctica"
"173",15.2,"K15PSA15",2022,"Common_garden","Southern","Salix arctica"
"174",7,"K15PSA2",2019,"Common_garden","Southern","Salix arctica"
"175",10.1,"K15PSA6",2023,"Common_garden","Southern","Salix arctica"
"176",10.3,"K15PSA7",2023,"Common_garden","Southern","Salix arctica"
"177",7.8,"K15PSA8",2018,"Common_garden","Southern","Salix arctica"
"178",9.4,"K15PSA9",2023,"Common_garden","Southern","Salix arctica"
"179",38.9,"K15SSR8",2023,"Common_garden","Southern","Salix richardsonii"
"180",2.2,"K17SA10",2018,"Common_garden","Southern","Salix arctica"
"181",3.5,"K17SA5",2023,"Common_garden","Southern","Salix arctica"
"182",20.1,"K17SR6",2020,"Common_garden","Southern","Salix richardsonii"
"183",5.7,"K17SR9",2018,"Common_garden","Southern","Salix richardsonii"
"184",45.4,"KLSPC1",2019,"Common_garden","Southern","Salix pulchra"
"185",33,"KLSPC10",2016,"Common_garden","Southern","Salix pulchra"
"186",49.1,"KLSPC13",2018,"Common_garden","Southern","Salix pulchra"
"187",31,"KLSPC2",2017,"Common_garden","Southern","Salix pulchra"
"188",31,"KLSPC3",2017,"Common_garden","Southern","Salix pulchra"
"189",16.1,"KLSPC8",2016,"Common_garden","Southern","Salix pulchra"
"190",44.1,"KLSPC9",2018,"Common_garden","Southern","Salix pulchra"
"191",74.9,"KLSPE1",2018,"Common_garden","Southern","Salix pulchra"
"192",37.8,"KLSPE10",2019,"Common_garden","Southern","Salix pulchra"
"193",40.3,"KLSPE11",2019,"Common_garden","Southern","Salix pulchra"
"194",50,"KLSPE12",2017,"Common_garden","Southern","Salix pulchra"
"195",54,"KLSPE14",2022,"Common_garden","Southern","Salix pulchra"
"196",20,"KLSPE15",2017,"Common_garden","Southern","Salix pulchra"
"197",61,"KLSPE2",2017,"Common_garden","Southern","Salix pulchra"
"198",12.9,"KLSPE3",2023,"Common_garden","Southern","Salix pulchra"
"199",83.5,"KLSPE4",2017,"Common_garden","Southern","Salix pulchra"
"200",31,"KLSPE5",2017,"Common_garden","Southern","Salix pulchra"
"201",101,"KLSPE6",2018,"Common_garden","Southern","Salix pulchra"
"202",87,"KLSPE7",2017,"Common_garden","Southern","Salix pulchra"
"203",73.2,"KLSPE8",2019,"Common_garden","Southern","Salix pulchra"
"204",49,"KLSPE9",2017,"Common_garden","Southern","Salix pulchra"
"205",110.6,"KLSRC10",2021,"Common_garden","Southern","Salix richardsonii"
"206",41.6,"KLSRC11",2018,"Common_garden","Southern","Salix richardsonii"
"207",85,"KLSRC13",2021,"Common_garden","Southern","Salix richardsonii"
"208",127,"KLSRC2",2022,"Common_garden","Southern","Salix richardsonii"
"209",115,"KLSRC6",2020,"Common_garden","Southern","Salix richardsonii"
"210",82,"KLSRC7",2017,"Common_garden","Southern","Salix richardsonii"
"211",122,"KLSRE10",2021,"Common_garden","Southern","Salix richardsonii"
"212",100.5,"KLSRE11",2023,"Common_garden","Southern","Salix richardsonii"
"213",105.3,"KLSRE13",2023,"Common_garden","Southern","Salix richardsonii"
"214",60.5,"KLSRE14",2019,"Common_garden","Southern","Salix richardsonii"
"215",112.2,"KLSRE15",2019,"Common_garden","Southern","Salix richardsonii"
"216",113,"KLSRE4",2022,"Common_garden","Southern","Salix richardsonii"
"217",85,"KLSRE6",2021,"Common_garden","Southern","Salix richardsonii"
"218",68,"KLSRE7",2021,"Common_garden","Southern","Salix richardsonii"
"219",83.8,"KLSRE9",2020,"Common_garden","Southern","Salix richardsonii"
"220",1.9,"KP16SA5",2018,"Common_garden","Southern","Salix arctica"
"221",7.2,"KP16SA6",2023,"Common_garden","Southern","Salix arctica"
"222",2.7,"KP16SP11",2019,"Common_garden","Southern","Salix pulchra"
"223",21.8,"KP16SP22",2020,"Common_garden","Southern","Salix pulchra"
"224",19.99,"KP16SP23",2019,"Common_garden","Southern","Salix pulchra"
"225",26.1,"KP16SP24",2020,"Common_garden","Southern","Salix pulchra"
