"","max_stem_elong","SampleID_standard","Year","Site","population","Species"
"172",506.666666666667,"KLSPE7",2017,"Common_garden","Southern","Salix pulchra"
"173",595,"KLSPE8",2016,"Common_garden","Southern","Salix pulchra"
"174",439.333333333333,"KLSPE9",2016,"Common_garden","Southern","Salix pulchra"
"175",464.333333333333,"KLSRC10",2016,"Common_garden","Southern","Salix richardsonii"
"176",216.666666666667,"KLSRC11",2017,"Common_garden","Southern","Salix richardsonii"
"177",296.666666666667,"KLSRC13",2017,"Common_garden","Southern","Salix richardsonii"
"178",459,"KLSRC2",2016,"Common_garden","Southern","Salix richardsonii"
"179",306.666666666667,"KLSRC6",2016,"Common_garden","Southern","Salix richardsonii"
"180",467.333333333333,"KLSRC7",2016,"Common_garden","Southern","Salix richardsonii"
"181",431,"KLSRE10",2016,"Common_garden","Southern","Salix richardsonii"
"182",353,"KLSRE11",2016,"Common_garden","Southern","Salix richardsonii"
"183",583.666666666667,"KLSRE13",2016,"Common_garden","Southern","Salix richardsonii"
"184",376.666666666667,"KLSRE14",2017,"Common_garden","Southern","Salix richardsonii"
"185",437,"KLSRE15",2016,"Common_garden","Southern","Salix richardsonii"
"186",616.333333333333,"KLSRE4",2016,"Common_garden","Southern","Salix richardsonii"
"187",206.666666666667,"KLSRE6",2017,"Common_garden","Southern","Salix richardsonii"
"188",328.666666666667,"KLSRE7",2016,"Common_garden","Southern","Salix richardsonii"
"189",266.666666666667,"KLSRE9",2018,"Common_garden","Southern","Salix richardsonii"
"190",9.93333333333333,"KP16SA5",2019,"Common_garden","Southern","Salix arctica"
"191",7.27333333333333,"KP16SA6",2018,"Common_garden","Southern","Salix arctica"
"192",73.6666666666667,"KP16SP22",2020,"Common_garden","Southern","Salix pulchra"
"193",49,"KP16SP24",2020,"Common_garden","Southern","Salix pulchra"
"194",160,"KP16SP33",2018,"Common_garden","Southern","Salix pulchra"
"195",67.6666666666667,"KP16SP34",2017,"Common_garden","Southern","Salix pulchra"
"196",27.6666666666667,"KP16SP39",2023,"Common_garden","Southern","Salix pulchra"
"197",27.6666666666667,"KP16SP41",2017,"Common_garden","Southern","Salix pulchra"
"198",29,"KP16SP43",2020,"Common_garden","Southern","Salix pulchra"
"199",15.3333333333333,"KP16SP45",2017,"Common_garden","Southern","Salix pulchra"
"200",116.666666666667,"KP16SP46",2022,"Common_garden","Southern","Salix pulchra"
"201",44.6666666666667,"KP16SP51",2023,"Common_garden","Southern","Salix pulchra"
"202",106.666666666667,"KP16SP52",2022,"Common_garden","Southern","Salix pulchra"
"203",15.68,"KP16SP55",2019,"Common_garden","Southern","Salix pulchra"
"204",94.6666666666667,"KP16SP56",2020,"Common_garden","Southern","Salix pulchra"
"205",42.3333333333333,"KP16SP59",2022,"Common_garden","Southern","Salix pulchra"
"206",118.666666666667,"KP16SP60",2023,"Common_garden","Southern","Salix pulchra"
"207",13.33,"KP16SR1",2018,"Common_garden","Southern","Salix richardsonii"
"208",58.3333333333333,"KP16SR26",2020,"Common_garden","Southern","Salix richardsonii"
"209",58.0566666666667,"KP16SR27",2019,"Common_garden","Southern","Salix richardsonii"
"210",226.666666666667,"KP16SR36",2022,"Common_garden","Southern","Salix richardsonii"
"211",320.333333333333,"KP16SR37",2023,"Common_garden","Southern","Salix richardsonii"
"212",106.666666666667,"KP16SR41",2022,"Common_garden","Southern","Salix richardsonii"
"213",131.666666666667,"KP16SR51",2022,"Common_garden","Southern","Salix richardsonii"
"214",169.666666666667,"KP16SR52",2018,"Common_garden","Southern","Salix richardsonii"
"215",85,"KP16SR53",2022,"Common_garden","Southern","Salix richardsonii"
"216",213.333333333333,"KP16SR57",2022,"Common_garden","Southern","Salix richardsonii"
"217",183.333333333333,"KP16SR58",2022,"Common_garden","Southern","Salix richardsonii"
"218",93.3333333333333,"KP16SR60",2022,"Common_garden","Southern","Salix richardsonii"
"219",2.76666666666667,"KP17SA10",2019,"Common_garden","Southern","Salix arctica"
"220",9,"KP17SA2",2022,"Common_garden","Southern","Salix arctica"
"221",7.33333333333333,"KP17SA4",2022,"Common_garden","Southern","Salix arctica"
"222",16.6666666666667,"KP17SA6",2022,"Common_garden","Southern","Salix arctica"
"223",5.13,"KP17SA8",2019,"Common_garden","Southern","Salix arctica"
"224",10,"KP17SA9",2022,"Common_garden","Southern","Salix arctica"
"225",73.21,"KP17SP1",2019,"Common_garden","Southern","Salix pulchra"
