Sample_ID,Sample_Date,Year,Height,LL1,LL2,LL3,SE1,SE2,SE3,Fresh_mass,Dry_mass,LA,LDMC,SLA,Notes
K15PSa10,20/07/2017,2017,2,18,22,22,36,32,31,,,,,,Light herbivory 
H15Sa14,20/07/2017,2017,2,19,21,14,31,15,16,,,,,,
H15Sa14,14/08/2017,2017,2,22,14,-,8,5,4,,,,,,
HER-SP 30,26/06/2016,2016,2.1,12.9,12.9,13.8,1.3,,,,,,,,Brown end of leaves
H15Sp12,24/07/2017,2017,2.1,26,-,-,33,-,-,,,,,,Herbivory 
H15Sa11,02/08/2017,2017,2.1,,,,19,,,,,,,,
H15Sa12,02/08/2017,2017,2.1,23,21,21,11,9,5,,,,,,20% herbivory 
KP16SR19,02/08/2017,2017,2.1,,,,19,,,,,,,,
K15PSa13,14/08/2017,2017,2.1,27,27,13,9,4,10,,,,,,
HE-SR 17,11/08/2016,2016,2.2,,,,,,,,,,,,
KL-SPE 3,26/06/2016,2016,2.2,14.6,16.7,15.4,8,8.9,5.4,,,,,,
HE16SA10,12/07/2017,2017,2.2,17,11,8,20,-,-,,,,,,Light herbivory 
KP16Sa6,12/07/2017,2017,2.2,15,10,9,19,14,-,,,,,,
K15PSa10,12/07/2017,2017,2.2,19,22,21,34,28,21,,,,,,Slight herbivory 
KP16Sa6,20/07/2017,2017,2.2,16,11,13,24,15,-,,,,,,
H15Sa11,26/07/2017,2017,2.2,-,-,-,27,-,-,,,,,,No leaves left
H15Sa3,02/08/2017,2017,2.2,31,32,29,29,7,,,,,,,
H15Sa5,02/08/2017,2017,2.2,18,9,,4,,,,,,,,
H15Sa9,02/08/2017,2017,2.2,31,30,,14,,,,,,,,
HER-SP 26,14/08/2017,2017,2.2,-,-,-,27,-,-,,,,,,Dead
K15SSr8,11/08/2016,2016,2.3,28,24,22,16,,,,,,,,
KP16SR58,06/06/2017,2017,2.3,9,7,6,NA,NA,NA,,,,,,
HE-SP 18,12/07/2017,2017,2.3,26,25,26,29,44,26,,,,,,Some dead leaves and light herbivory 
H15Sp12,19/07/2017,2017,2.3,26,-,-,31,-,-,,,,,,Herbivory 
K15PSa15,26/07/2017,2017,2.3,33,27,31,39,43,35,,,,,,Light herbivory 
HE16SA14,02/08/2017,2017,2.3,17,18,,18,,,,,,,,50% herbivory 
HE16SP17,13/08/2017,2017,2.3,19,-,-,16,-,-,,,,,,Heavy herbivory 
HE16SA14,12/07/2017,2017,2.4,22,23,22,20,12,-,,,,,,Dying leaves
HER-SP 26,12/07/2017,2017,2.4,11,16,9,31,-,-,,,,,,Dying leaves 
K15PSa11,12/07/2017,2017,2.4,38,35,33,50,36,46,,,,,,Slight herbivory 
KP16SR51,19/07/2017,2017,2.4,29,14,6,38,-,-,,,,,,Herbivory 
