"","Species","population","SLA","LA","LDMC_percent","group_color","group_shape"
"120","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"121","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"122","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"123","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"124","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"125","Salix richardsonii","S. Source",17.30952381,340,NA,"south","source"
"126","Salix richardsonii","S. Source",17.4375,504,NA,"south","source"
"127","Salix richardsonii","S. Source",18.56315789,372.7,NA,"south","source"
"128","Salix richardsonii","S. Source",20.94210526,742.6,NA,"south","source"
"129","Salix richardsonii","S. Source",15.17631579,233.4,NA,"south","source"
"130","Salix richardsonii","S. Source",12.55897436,490.8,NA,"south","source"
"131","Salix richardsonii","S. Source",13.66455696,523.2,NA,"south","source"
"132","Salix richardsonii","S. Source",13.52555556,646.4,NA,"south","source"
"133","Salix richardsonii","S. Source",10.29009901,509,NA,"south","source"
"134","Salix richardsonii","S. Source",15.74666667,378,NA,"south","source"
"135","Salix richardsonii","N. Source",12.10483871,899,NA,"north","source"
"136","Salix richardsonii","N. Source",12.39325843,1179,NA,"north","source"
"137","Salix richardsonii","N. Source",11.17532468,820,NA,"north","source"
"138","Salix richardsonii","N. Source",9.970760234,1083,NA,"north","source"
"139","Salix richardsonii","N. Source",10.23664122,622,NA,"north","source"
"140","Salix richardsonii","N. Source",10.76875,761,NA,"north","source"
"141","Salix richardsonii","N. Source",12.68306011,1114,NA,"north","source"
"142","Salix richardsonii","N. Source",14.32258065,718,NA,"north","source"
"143","Salix richardsonii","N. Source",9.990654206,1158,NA,"north","source"
"144","Salix richardsonii","S. Source",NA,387,NA,"south","source"
"145","Salix richardsonii","S. Source",NA,333,NA,"south","source"
"146","Salix richardsonii","S. Source",NA,332.7,NA,"south","source"
"147","Salix richardsonii","S. Source",NA,849,NA,"south","source"
"148","Salix richardsonii","S. Source",NA,343.3,NA,"south","source"
"149","Salix richardsonii","S. Source",NA,488.8,NA,"south","source"
"150","Salix richardsonii","S. Source",NA,556.3,NA,"south","source"
"151","Salix richardsonii","S. Source",NA,570.9,NA,"south","source"
"152","Salix richardsonii","S. Source",NA,530.3,NA,"south","source"
"153","Salix richardsonii","S. Source",NA,330.6,NA,"south","source"
"154","Salix richardsonii","N. Source",NA,602,NA,"north","source"
"155","Salix richardsonii","N. Source",NA,1027,NA,"north","source"
"156","Salix richardsonii","N. Source",NA,901,NA,"north","source"
"157","Salix richardsonii","N. Source",NA,622,NA,"north","source"
"158","Salix richardsonii","N. Source",NA,719,NA,"north","source"
"159","Salix richardsonii","N. Source",NA,962,NA,"north","source"
"160","Salix richardsonii","N. Source",NA,1207,NA,"north","source"
"161","Salix richardsonii","N. Source",NA,1058,NA,"north","source"
"162","Salix richardsonii","N. Source",NA,980,NA,"north","source"
"163","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"164","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"165","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"166","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"167","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"168","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"169","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"170","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"171","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"172","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"173","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"174","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"175","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"176","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"177","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"178","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"179","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"180","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
