"","Species","plant_tag_id","sample_id","date_sampled","total_leaf_dry_mass_g","dried_leaf_sample_remarks","SLA","leaf_mass_per_area_g_m2","LDMC","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","rehydrated_leaf_sample_remarks","LA","leaf_fresh_mass_g","number_leaves","Source","month"
"14","Salix arctica","K15PSA2","105272603","2021-06-22",0.391,NA,10.6186700767263,94.1737517762952,345.406360424028,37.3447946513849,0.0157999951829283,1.132,NA,41.519,1.047,8,"Kluane","June 2021"
"15","Salix arctica","H17SA20","105272707","2021-06-22",0.287,NA,12.4101045296167,80.5794985540613,314.004376367615,34.7037484885127,0.0151612993795098,0.914,NA,35.617,0.827,12,"Qikiqtaruk","June 2021"
"16","Salix arctica","H15SA12","105272799","2021-06-22",0.315,NA,10.7295238095238,93.2007811113084,316.901408450704,35.15625,0.0171903662938635,0.994,NA,33.798,0.896,8,"Qikiqtaruk","June 2021"
"17","Salix arctica","PC17SA1","105341831","2021-06-23",0.348,NA,10.941091954023,91.3985554826001,315.78947368421,34.5238095238095,0.0173342087984242,1.102,NA,38.075,1.008,8,"Kluane","June 2021"
"18","Salix pulchra","PC17SP1","105341963","2021-06-23",0.128,NA,13.4171875,74.5312681961104,355.555555555556,37.8698224852071,0.0122277861884244,0.36,NA,17.174,0.338,10,"Kluane","June 2021"
"19","Salix arctica","HE16SA3","105342070","2021-06-23",0.235,NA,13.9540425531915,71.6638204440107,292.652552926526,32.016348773842,0.015217126128324,0.803,NA,32.792,0.734,7,"Qikiqtaruk","June 2021"
"20","Salix richardsonii","H17SR13","105342196","2021-06-23",0.179,NA,13.0256983240223,76.77131583462,305.460750853242,33.8374291115312,0.0150111511408475,0.586,NA,23.316,0.529,10,"Qikiqtaruk","June 2021"
"21","Salix pulchra","HERSP24","105342324","2021-06-23",0.127,NA,15.1874015748032,65.8440481128162,361.823361823362,38.719512195122,0.0104209871422646,0.351,NA,19.288,0.328,14,"Qikiqtaruk","June 2021"
"22","Salix richardsonii","HEFSR4","105342479","2021-06-23",0.188,NA,14.5462765957447,68.7461147475043,278.518518518518,30.42071197411,0.015723845394376,0.675,NA,27.347,0.618,12,"Qikiqtaruk","June 2021"
"23","Salix pulchra","H15SP15","105342584","2021-06-23",0.107,NA,14.9859813084112,66.7290302463361,357.859531772575,37.9432624113475,0.0109136264421578,0.299,NA,16.035,0.282,14,"Qikiqtaruk","June 2021"
"24","Salix pulchra","PC16CWSP7","105590773","2021-06-26",0.283,NA,11.817667844523,84.6190647051788,369.934640522876,39.5804195804196,0.0129171151776103,0.765,NA,33.444,0.715,12,"Kluane","June 2021"
"25","Salix pulchra","HESP20","105590881","2021-06-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,12,"Qikiqtaruk","June 2021"
"26","Salix pulchra","HESP20","105590881","2021-06-26",0.068,NA,14.3147058823529,69.8582288884323,404.761904761905,42.5,0.00945140743784672,0.168,NA,9.734,0.16,12,"Qikiqtaruk","June 2021"
"27","Salix richardsonii","KP16SR58","105591571","2021-06-26",0.407,NA,13.02457002457,76.7779664214299,289.0625,31.796875,0.0164685908319185,1.408,NA,53.01,1.28,9,"Kluane","June 2021"
"28","Salix pulchra","HERSP29","105591665","2021-06-26",0.129,NA,15.8852713178295,62.9513956666016,293.181818181818,31.6176470588235,0.0136150692953348,0.44,NA,20.492,0.408,12,"Qikiqtaruk","June 2021"
