"","Species","Site","Canopy_Height_cm"
"268","Salix pulchra","Qikiqtaruk",24.8
"269","Salix pulchra","Qikiqtaruk",23.5
"270","Salix pulchra","Qikiqtaruk",29
"271","Salix pulchra","Qikiqtaruk",31.5
"272","Salix pulchra","Qikiqtaruk",44
"273","Salix pulchra","Qikiqtaruk",20.5
"274","Salix pulchra","Qikiqtaruk",20
"275","Salix pulchra","Qikiqtaruk",36.4
"276","Salix pulchra","Qikiqtaruk",32.9
"277","Salix pulchra","Kluane",32.2
"278","Salix pulchra","Kluane",27
"279","Salix pulchra","Kluane",28.8
"280","Salix pulchra","Kluane",16.2
"281","Salix pulchra","Kluane",61.3
"282","Salix pulchra","Kluane",70.1
"283","Salix pulchra","Kluane",26.6
"284","Salix pulchra","Kluane",102.8
"285","Salix pulchra","Kluane",282
"286","Salix pulchra","Kluane",40.8
"287","Salix pulchra","Kluane",107
"288","Salix pulchra","Kluane",146
"289","Salix pulchra","Kluane",106
"290","Salix pulchra","Kluane",183
"291","Salix pulchra","Kluane",126
"292","Salix pulchra","Kluane",84
"293","Salix pulchra","Kluane",62
"294","Salix pulchra","Kluane",49
"295","Salix pulchra","Kluane",84
"296","Salix pulchra","Kluane",68
"297","Salix pulchra","Kluane",81
"298","Salix pulchra","Kluane",28
"299","Salix pulchra","Kluane",40
"300","Salix pulchra","Kluane",89
"301","Salix pulchra","Kluane",33
"302","Salix richardsonii","Kluane",73.1
"303","Salix richardsonii","Kluane",80.3
"304","Salix richardsonii","Kluane",61
"305","Salix richardsonii","Kluane",56.6
"306","Salix richardsonii","Kluane",57.5
"307","Salix richardsonii","Kluane",69
"308","Salix richardsonii","Kluane",69
"309","Salix richardsonii","Kluane",72
"310","Salix richardsonii","Kluane",61
"311","Salix richardsonii","Kluane",74
"370","Salix richardsonii","Qikiqtaruk",32.1
"371","Salix richardsonii","Qikiqtaruk",37.4
"372","Salix richardsonii","Qikiqtaruk",35
"373","Salix richardsonii","Qikiqtaruk",49.5
"374","Salix richardsonii","Qikiqtaruk",31
"375","Salix richardsonii","Qikiqtaruk",41.2
"376","Salix richardsonii","Qikiqtaruk",42.3
"377","Salix richardsonii","Qikiqtaruk",43.1
"378","Salix richardsonii","Qikiqtaruk",37.2
"379","Salix richardsonii","Qikiqtaruk",43
"380","Salix richardsonii","Qikiqtaruk",49.5
"381","Salix richardsonii","Qikiqtaruk",54.4
"382","Salix richardsonii","Qikiqtaruk",35.7
"383","Salix richardsonii","Qikiqtaruk",26.3
"384","Salix richardsonii","Qikiqtaruk",41.4
"385","Salix richardsonii","Qikiqtaruk",25.3
"386","Salix richardsonii","Qikiqtaruk",42.8
"387","Salix richardsonii","Qikiqtaruk",31.2
"388","Salix richardsonii","Qikiqtaruk",41
"389","Salix richardsonii","Qikiqtaruk",31
"410","Salix richardsonii","Qikiqtaruk",16.8
"411","Salix richardsonii","Qikiqtaruk",20.5
"412","Salix richardsonii","Qikiqtaruk",15.5
"413","Salix richardsonii","Qikiqtaruk",24
"414","Salix richardsonii","Qikiqtaruk",18.5
"415","Salix richardsonii","Qikiqtaruk",44.5
"416","Salix richardsonii","Qikiqtaruk",51.2
"417","Salix richardsonii","Qikiqtaruk",38.2
"418","Salix richardsonii","Qikiqtaruk",45.4
"419","Salix richardsonii","Qikiqtaruk",54.5
"420","Salix richardsonii","Qikiqtaruk",29.6
"421","Salix richardsonii","Qikiqtaruk",20.4
"422","Salix richardsonii","Qikiqtaruk",32.6
"423","Salix richardsonii","Qikiqtaruk",29
"424","Salix richardsonii","Qikiqtaruk",38.3
"425","Salix richardsonii","Kluane",93.1
"426","Salix richardsonii","Kluane",148
"427","Salix richardsonii","Kluane",124
"428","Salix richardsonii","Kluane",22
"429","Salix richardsonii","Kluane",174
"430","Salix richardsonii","Kluane",106.7
"431","Salix richardsonii","Kluane",71.5
"432","Salix richardsonii","Kluane",83.5
"433","Salix richardsonii","Kluane",86.3
"434","Salix richardsonii","Kluane",66.5
"435","Salix richardsonii","Kluane",135.2
"436","Salix richardsonii","Kluane",143
"437","Salix richardsonii","Kluane",80.4
"438","Salix richardsonii","Kluane",181
"439","Salix richardsonii","Kluane",144.5
"440","Salix richardsonii","Kluane",91
"441","Salix richardsonii","Kluane",148
"442","Salix richardsonii","Kluane",180
"443","Salix richardsonii","Kluane",82
"444","Salix richardsonii","Kluane",125
"445","Salix richardsonii","Kluane",57.5
"446","Salix richardsonii","Kluane",104
"447","Salix richardsonii","Kluane",53.9
"448","Salix richardsonii","Kluane",57
"449","Salix richardsonii","Kluane",41
"450","Salix richardsonii","Kluane",38.8
"451","Salix richardsonii","Kluane",66
"452","Salix richardsonii","Kluane",55
"453","Salix richardsonii","Kluane",31
"454","Salix richardsonii","Kluane",66
"1100","Salix pulchra","Kluane",203
"217","Salix pulchra","Kluane",160
"312","Salix pulchra","Kluane",164
"455","Salix pulchra","Kluane",162
"510","Salix pulchra","Kluane",190
"610","Salix pulchra","Kluane",182
"710","Salix pulchra","Kluane",82
"810","Salix pulchra","Kluane",120
"910","Salix pulchra","Kluane",159
"1010","Salix pulchra","Kluane",70.5
"11","Salix richardsonii","Kluane",126
"12","Salix richardsonii","Kluane",130
"13","Salix richardsonii","Kluane",147
"14","Salix richardsonii","Kluane",140.5
"15","Salix richardsonii","Kluane",159.5
"16","Salix richardsonii","Kluane",151
"17","Salix richardsonii","Kluane",158
"18","Salix richardsonii","Kluane",172
"19","Salix richardsonii","Kluane",84
"20","Salix richardsonii","Kluane",120
"21","Salix pulchra","Kluane",150
"22","Salix pulchra","Kluane",141
"23","Salix pulchra","Kluane",130
"24","Salix pulchra","Kluane",155
"25","Salix pulchra","Kluane",185
"26","Salix pulchra","Kluane",164
"27","Salix pulchra","Kluane",79
"28","Salix pulchra","Kluane",114
"29","Salix pulchra","Kluane",160
"30","Salix pulchra","Kluane",69
"31","Salix richardsonii","Kluane",108
"32","Salix richardsonii","Kluane",91
"33","Salix richardsonii","Kluane",136
"34","Salix richardsonii","Kluane",110
"35","Salix richardsonii","Kluane",53
"36","Salix richardsonii","Kluane",125
"37","Salix richardsonii","Kluane",143
"38","Salix richardsonii","Kluane",134
"39","Salix richardsonii","Kluane",76
"40","Salix richardsonii","Kluane",95
"41","Salix pulchra","Kluane",200
"42","Salix pulchra","Kluane",160
"43","Salix pulchra","Kluane",165
"44","Salix pulchra","Kluane",190
"45","Salix pulchra","Kluane",180
"46","Salix pulchra","Kluane",180
"47","Salix pulchra","Kluane",85
"48","Salix pulchra","Kluane",120
"49","Salix pulchra","Kluane",165
"50","Salix pulchra","Kluane",70
"51","Salix richardsonii","Kluane",130
"52","Salix richardsonii","Kluane",137
"53","Salix richardsonii","Kluane",150
"54","Salix richardsonii","Kluane",150
"55","Salix richardsonii","Kluane",63
"56","Salix richardsonii","Kluane",160
"57","Salix richardsonii","Kluane",170
"58","Salix richardsonii","Kluane",165
"59","Salix richardsonii","Kluane",87
"60","Salix richardsonii","Kluane",129
"61","Salix pulchra","Kluane",195
"62","Salix pulchra","Kluane",152
"63","Salix pulchra","Kluane",155
"64","Salix pulchra","Kluane",174
"65","Salix pulchra","Kluane",176
"66","Salix pulchra","Kluane",177
"67","Salix pulchra","Kluane",83
"68","Salix pulchra","Kluane",123
"69","Salix pulchra","Kluane",157
"70","Salix pulchra","Kluane",66
"71","Salix richardsonii","Kluane",143
"72","Salix richardsonii","Kluane",125.5
"73","Salix richardsonii","Kluane",145
"74","Salix richardsonii","Kluane",140
"75","Salix richardsonii","Kluane",155.2
"76","Salix richardsonii","Kluane",132
"771","Salix richardsonii","Kluane",159
"781","Salix richardsonii","Kluane",171
"791","Salix richardsonii","Kluane",84.5
"801","Salix richardsonii","Kluane",113
"811","Salix pulchra","Kluane",204
"821","Salix pulchra","Kluane",159
"831","Salix pulchra","Kluane",150
"841","Salix pulchra","Kluane",183
"851","Salix pulchra","Kluane",175
"861","Salix pulchra","Kluane",181
"871","Salix pulchra","Kluane",83
"881","Salix pulchra","Kluane",132
"891","Salix pulchra","Kluane",169
"901","Salix pulchra","Kluane",67
"911","Salix richardsonii","Kluane",147
"921","Salix richardsonii","Kluane",128
"931","Salix richardsonii","Kluane",151
"941","Salix richardsonii","Kluane",141
"951","Salix richardsonii","Kluane",154
"961","Salix richardsonii","Kluane",149
"97","Salix richardsonii","Kluane",171
"98","Salix richardsonii","Kluane",172
"99","Salix richardsonii","Kluane",84.5
"100","Salix richardsonii","Kluane",118
