"","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","SampleID_standard"
"5107","LB","PC17Sr3",2017,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC17SR3"
"5108","GD","PC17Sr4",2017,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,28.2,NA,NA,NA,33.65,27.53,26.47,30.49,15.17,5.03,"PC17SR4"
"5109","GD","PC17Sr5",2017,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,11.3,NA,NA,NA,40.2,32.26,30.91,60.56,12.67,4.1,"PC17SR5"
"5110","GD","PC17Sr6",2017,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,11.9,NA,NA,NA,44.93,61.44,58.62,110.09,NA,NA,"PC17SR6"
"5111","SW","PC17Sr7",2017,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC17SR7"
"5112","SW","PC17Sr8",2017,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC17SR8"
"5113","SW","PC17Sr9",2017,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,23.5,NA,NA,NA,44.37,49.42,35.73,31.92,31.48,34.3,"PC17SR9"
"5114","JA","PP16MSa1",2016,"Salix arctica","Kluane",2018-08-18,"8","18",2018,0.5,NA,NA,NA,6.78,9.53,6.44,2.16,1.51,1.09,"PP16MSA1"
"5115","JA","PP16MSa5",2016,"Salix arctica","Kluane",2018-08-18,"8","18",2018,1.8,NA,NA,NA,17.68,13.93,15.92,5.79,4.86,4.1,"PP16MSA5"
"5116","MG","PP16TSp10",2016,"Salix pulchra","Kluane",2018-08-18,"8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSP10"
"5117","MG","PP16TSp6",2016,"Salix pulchra","Kluane",2018-08-18,"8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSP6"
"5118","MG","PP16TSp7",2016,"Salix pulchra","Kluane",2018-08-18,"8","18",2018,17.1,NA,NA,NA,40.6,36.26,33.4,56.91,33.89,8.81,"PP16TSP7"
"5119","MG","PP16TSp9",2016,"Salix pulchra","Kluane",2018-08-18,"8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSP9"
"5120","GD","PP16TSr4",2016,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR4"
"5121","GD","PP16TSr5",2016,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR5"
"5122","AC","PP16TSr6",2016,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR6"
"5123","AC","PP16TSr7",2016,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR7"
"5124","AC","PP16TSr8",2016,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR8"
"5125","AC","PP16TSr9",2016,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP16TSR9"
"5126","AB","PP17Sp11",2017,"Salix pulchra","Kluane",2018-08-18,"8","18",2018,9.8,NA,NA,NA,16.72,15.2,12.68,1.85,3.31,2.15,"PP17SP11"
"5127","AB","PP17Sp12",2017,"Salix pulchra","Kluane",2018-08-18,"8","18",2018,19,NA,NA,NA,30.1,25.93,25.17,37.87,24.13,20.35,"PP17SP12"
"5128","AB","PP17Sp13",2017,"Salix pulchra","Kluane",2018-08-18,"8","18",2018,16.1,NA,NA,NA,23.47,25.87,24.37,20.6,10.01,4.32,"PP17SP13"
"5129","AB","PP17Sp14",2017,"Salix pulchra","Kluane",2018-08-18,"8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP17SP14"
"5130","AB","PP17Sp15",2017,"Salix pulchra","Kluane",2018-08-18,"8","18",2018,21.5,NA,NA,NA,36.95,28.12,30.83,28.67,27.6,24.78,"PP17SP15"
"5131","EW","PP17Sr16",2017,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,4.7,NA,NA,NA,47,26.11,27.96,40.34,23.25,NA,"PP17SR16"
"5132","EW","PP17Sr17",2017,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP17SR17"
"5133","EW","PP17Sr18",2017,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,1.2,NA,NA,NA,NA,NA,NA,5.26,NA,NA,"PP17SR18"
"5134","EW","PP17Sr19",2017,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,16.2,NA,NA,NA,30.85,23.74,25.55,14.69,8.38,11.84,"PP17SR19"
"5135","EW","PP17Sr20",2017,"Salix richardsonii","Kluane",2018-08-18,"8","18",2018,2.2,NA,NA,NA,29.76,26.17,23.57,19.41,10.31,10.69,"PP17SR20"
"5136","JB","H15Sa1",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA1"
"5137","JB","H15Sa10",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,3.2,NA,NA,NA,26.29,28.79,26.07,14.98,22.95,30.38,"H15SA10"
"5138","JB","H15Sa11",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,1.6,NA,NA,NA,NA,NA,NA,7.57,10.35,7.88,"H15SA11"
"5139","JB","H15Sa12",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,5,NA,NA,NA,39.37,31.84,27.5,6.58,7.92,11.26,"H15SA12"
"5140","JB","H15Sa14",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,1.1,NA,NA,NA,NA,NA,NA,11.81,8.53,9.52,"H15SA14"
"5141","JB","H15Sa15",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,1,NA,NA,NA,13.09,7.4,8.87,6.13,3.22,3.5,"H15SA15"
"5142","JB","H15Sa16",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA16"
"5143","JB","H15Sa17",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA17"
"5144","JB","H15Sa18",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,3.5,NA,NA,NA,8.28,10.51,9.14,5.03,4.8,4.18,"H15SA18"
"5145","JB","H15Sa19",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,4,NA,NA,NA,25.92,19.89,21.9,23.56,14.04,17.59,"H15SA19"
"5146","JB","H15Sa20",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA20"
"5147","JB","H15Sa20",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA20"
"5148","JB","H15Sa3",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,4.4,NA,NA,NA,28.93,27.71,25.61,23.4,20.57,19.16,"H15SA3"
"5149","JB","H15Sa4",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA4"
"5150","JB","H15Sa5",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA5"
"5151","JB","H15Sa7",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,5.6,NA,NA,NA,27.56,23.68,27.31,20.97,22.2,21.62,"H15SA7"
"5152","JB","H15Sa8",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA8"
"5153","JB","H15Sa9",2015,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,1.6,NA,NA,NA,NA,NA,NA,21.05,18.21,10.71,"H15SA9"
"5154","IMS","H15Sp1",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,5.7,NA,NA,NA,NA,NA,NA,10.82,9.97,NA,"H15SP1"
"5155","CF","H15Sp10",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,5.9,NA,NA,NA,NA,NA,NA,16.26,7.21,22.24,"H15SP10"
"5156","CF","H15Sp11",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP11"
"5157","CF","H15Sp12",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP12"
"5158","CF","H15Sp13",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,9.6,NA,NA,NA,26.95,19.83,22.42,21.46,13.5,11.76,"H15SP13"
"5159","CF","H15Sp14",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,10.4,NA,NA,NA,NA,NA,NA,8.89,11.97,9.36,"H15SP14"
"5160","CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,10.6,NA,NA,NA,30.98,27.24,29.09,28.03,43.15,32.34,"H15SP15"
"5161","CF","H15Sp16",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP16"
"5162","CF","H15Sp17",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,2.2,NA,NA,NA,NA,NA,NA,28.92,30.49,13.03,"H15SP17"
"5163","CF","H15Sp18",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,16.4,NA,NA,NA,22.36,23.84,NA,27.39,14.93,33.39,"H15SP18"
"5164","CF","H15Sp19",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,11.1,NA,NA,NA,18.97,15.95,14.93,22.67,21.15,5.42,"H15SP19"
"5165","IMS","H15Sp2",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,4.9,NA,NA,NA,NA,NA,NA,6.8,8.79,16.59,"H15SP2"
"5166","CF","H15Sp20",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,6.3,NA,NA,NA,NA,NA,NA,11.43,17.74,13.26,"H15SP20"
"5167","MG","H15Sp21",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP21"
"5168","MG","H15Sp22",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP22"
"5169","MG","H15Sp23",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP23"
"5170","MG","H15Sp24",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,9.9,NA,NA,NA,17.82,21.66,16.84,5.07,9.14,7.32,"H15SP24"
"5171","AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,4.6,NA,NA,NA,24.89,16.45,18.86,14.13,27.32,49.38,"H15SP25"
"5172","AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,10.5,NA,NA,NA,23.58,26.93,20.28,20.83,19.82,48.53,"H15SP27"
"5173","AB","H15Sp29",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,8.2,NA,NA,NA,19.7,18.15,18.09,16.54,24.47,12.48,"H15SP29"
"5174","IMS","H15Sp3",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP3"
"5175","AB","H15Sp30",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP30"
"5176","IMS","H15Sp4",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP4"
"5177","IMS","H15Sp5",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,6.5,NA,NA,NA,NA,NA,NA,31.23,39.61,21.11,"H15SP5"
"5178","IMS","H15Sp6",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,5.2,NA,NA,NA,NA,NA,NA,23.44,28.23,34.95,"H15SP6"
"5179","IMS","H15Sp7",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP7"
"5180","IMS","H15Sp8",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,7.7,NA,NA,NA,NA,NA,NA,17.79,19.89,20.87,"H15SP8"
"5181","CF","H15Sp9",2015,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,13.1,NA,NA,NA,NA,NA,NA,11.77,30.37,22.83,"H15SP9"
"5182","LB","H15Sr11",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR11"
"5183","SW","H15Sr12",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR12"
"5184","SW","H15Sr13",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR13"
"5185","SW","H15Sr14",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR14"
"5186","SW","H15Sr15",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR15"
"5187","SW","H15Sr16",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR16"
"5188","SW","H15Sr17",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR17"
"5189","SW","H15Sr18",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR18"
"5190","SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,6.8,NA,NA,NA,NA,NA,NA,8.45,12.49,17.29,"H15SR19"
"5191","SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,8.6,NA,NA,NA,NA,NA,NA,11.79,5.4,6.11,"H15SR20"
"5192","IR","H15Sr22",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR22"
"5193","IR","H15Sr23",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR23"
"5194","IR","H15Sr24",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR24"
"5195","AC","H15Sr25",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR25"
"5196","AC","H15Sr26",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR26"
"5197","AC","H15Sr29",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,4.8,NA,NA,NA,19.64,17.14,15.25,11.36,11.93,8.74,"H15SR29"
"5198","LB","H15Sr3",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR3"
"5199","AC","H15Sr30",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR30"
"5200","LB","H15Sr4",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR4"
"5201","LB","H15Sr5",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,10.1,NA,NA,NA,NA,NA,NA,15.01,17.94,18.94,"H15SR5"
"5202","LB","H15Sr6",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR6"
"5203","LB","H15Sr8",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR8"
"5204","LB","H15Sr9",2015,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR9"
"5205","JA","H17Sa1",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA1"
"5206","JA","H17Sa10",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,5.2,NA,NA,NA,28.15,23.61,27.61,13.35,12.77,NA,"H17SA10"
"5207","JA","H17Sa11",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA11"
"5208","SAB","H17Sa12",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,4.2,NA,NA,NA,29.21,24.92,19.79,17.42,6.76,NA,"H17SA12"
"5209","SAB","H17Sa13",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA13"
"5210","SAB","H17Sa14",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,3.2,NA,NA,NA,24.59,NA,NA,15.3,8.92,NA,"H17SA14"
"5211","SAB","H17Sa15",2017,"Salix arctica","Qikiqtaruk",NA,"#VALUE!","#VALUE!",2019,4.3,NA,NA,NA,21.66,21.8,24.37,14.85,12.52,9.54,"H17SA15"
"5212","SAB","H17Sa16",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA16"
"5213","JB","H17Sa17",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,1.7,NA,NA,NA,21.8,19.83,20.34,7.08,12.82,9.3,"H17SA17"
"5214","JB","H17Sa18",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,5.3,NA,NA,NA,30.83,35.99,36.22,6.77,11.57,11.05,"H17SA18"
"5215","JB","H17Sa19",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA19"
"5216","JA","H17Sa2",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA2"
"5217","JB","H17Sa20",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,2.8,NA,NA,NA,26.03,27.07,24.45,9.47,9.05,12.87,"H17SA20"
"5218","JA","H17Sa3",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,1.4,NA,NA,NA,4.65,NA,NA,9.24,NA,NA,"H17SA3"
"5219","JA","H17Sa4",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA4"
"5220","JA","H17Sa5",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA5"
"5221","JA","H17Sa6",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,3.2,NA,NA,NA,46.46,47.14,37.57,37.35,26.36,26.58,"H17SA6"
"5222","JA","H17Sa7",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA7"
"5223","JA","H17Sa8",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,1.4,NA,NA,NA,13.01,12.54,NA,4.48,2.31,NA,"H17SA8"
"5224","JA","H17Sa9",2017,"Salix arctica","Qikiqtaruk",2019-08-23,"8","23",2019,3.2,NA,NA,NA,23.37,25.74,22.45,10.63,12.41,10.33,"H17SA9"
"5225","IMS","H17Sp1",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP1"
"5226","AB","H17Sp10",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,5.2,NA,NA,NA,24.18,20.09,21.42,21.58,17.3,10.63,"H17SP10"
"5227","AB","H17Sp11",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP11"
"5228","AB","H17Sp12",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,4.4,NA,NA,NA,20.57,NA,NA,18.66,14.6,18.63,"H17SP12"
"5229","AB","H17Sp13",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,21,NA,NA,NA,NA,NA,NA,8.88,6.6,10.47,"H17SP13"
"5230","AB","H17Sp14",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,21.3,NA,NA,NA,30.54,24.05,26.78,10.66,42.97,24.24,"H17SP14"
"5231","AB","H17Sp15",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,8.2,NA,NA,NA,NA,NA,NA,10.27,11.38,11.48,"H17SP15"
"5232","AB","H17Sp15",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP15"
"5233","AB","H17Sp17",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP17"
"5234","AB","H17Sp18",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,4.5,NA,NA,NA,20.91,20.13,17.23,11.85,19.37,18,"H17SP18"
"5235","AB","H17Sp19",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP19"
"5236","IMS","H17Sp2",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP2"
"5237","AB","H17Sp20",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,4.2,NA,NA,NA,NA,NA,NA,43.61,NA,NA,"H17SP20"
"5238","IMS","H17Sp3",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,4.4,NA,NA,NA,NA,NA,NA,8.33,8.34,10.05,"H17SP3"
"5239","IMS","H17Sp4",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP4"
"5240","IMS","H17Sp5",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP5"
"5241","IMS","H17Sp6",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,4.5,NA,NA,NA,NA,NA,NA,34.02,13.09,10.1,"H17SP6"
"5242","IMS","H17Sp7",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,1.8,NA,NA,NA,NA,NA,NA,17.11,11.98,NA,"H17SP7"
"5243","SL","H17Sp8",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP8"
"5244","CF","H17Sp9",2017,"Salix pulchra","Qikiqtaruk",2019-08-23,"8","23",2019,15.2,NA,NA,NA,27.11,26.28,25.31,31.07,26.18,28.4,"H17SP9"
"5245","LB","H17Sr1",2017,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,19.2,NA,NA,NA,NA,NA,NA,14.35,10.96,17.33,"H17SR1"
"5246","GD","H17Sr10",2017,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,9.6,NA,NA,NA,30,27.6,31.2,24.37,30.91,33.5,"H17SR10"
"5247","GD","H17Sr11",2017,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SR11"
"5248","GD","H17Sr12",2017,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,2,NA,NA,NA,26.76,16.81,NA,41.69,24.52,NA,"H17SR12"
"5249","GD","H17Sr13",2017,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,12,NA,NA,NA,28.61,31.19,25.39,40.88,14.45,21.5,"H17SR13"
"5250","GD","H17Sr14",2017,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SR14"
"5251","GD","H17Sr15",2017,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,11,NA,NA,NA,30.5,19.6,21.6,24.4,13.34,21.6,"H17SR15"
"5252","IR","H17Sr16",2017,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SR16"
"5253","IR","H17Sr17",2017,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SR17"
"5254","IR","H17Sr18",2017,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SR18"
"5255","IR","H17Sr19",2017,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SR19"
"5256","LB","H17Sr2",2017,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SR2"
"5257","AC","H17Sr20",2017,"Salix richardsonii","Qikiqtaruk",2019-08-23,"8","23",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SR20"
