"","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","SampleID_standard"
"61","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,18,20,17,19,15,10,"HESP17"
"62","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,"HESP17"
"63","MG","HESp18",2013,"Salix pulchra","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,30.3,29.36,34.53,NA,NA,NA,"HESP18"
"64","MG","HESp18",2013,"Salix pulchra","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,27,30,21,26,30,10,"HESP18"
"65","MG","HESp18",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,38,32,28,31,40,15,"HESP18"
"66","MG","HESp18",2013,"Salix pulchra","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,19,15,17,NA,NA,NA,"HESP18"
"67","IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,14.68,13.11,14.07,NA,NA,NA,"HESP2"
"68","IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,15,20,19,29,25,5,"HESP2"
"69","IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,21,19,23,8,12,8,"HESP2"
"70","IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,11,10,10,NA,NA,NA,"HESP2"
"71","MG","HESp20",2013,"Salix pulchra","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,21.4,20.68,12.09,NA,NA,NA,"HESP20"
"72","MG","HESp20",2013,"Salix pulchra","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,30,19,29,NA,NA,NA,"HESP20"
"73","MG","HESp20",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,35,32,35,43,20,30,"HESP20"
"74","MG","HESp20",2013,"Salix pulchra","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,20,24,19,NA,NA,NA,"HESP20"
"75","AB","HESp23",2013,"Salix pulchra","Qikiqtaruk",2015-05-19,"5","19",2015,NA,NA,NA,NA,11.9,13.53,19.41,NA,NA,NA,"HESP23"
"76","AB","HESp23",2013,"Salix pulchra","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,23,17,20,13,9,8,"HESP23"
"77","AB","HESp23",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,27,23,22,11,14,15,"HESP23"
"78","AB","HESp23",2013,"Salix pulchra","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,17,25,17,NA,NA,NA,"HESP23"
"79","IMS","HESp24",2013,"Salix pulchra","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,40,30,32,NA,NA,NA,"HESP24"
"80","IMS","HESp24",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,56,40,38,47,26,4,"HESP24"
"81","AB","HESp29",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,36,35,32,25,22,NA,"HESP29"
"82","IMS","HESp3",2013,"Salix pulchra","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HESP3"
"83","IMS","HESp3",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,28,29,33,10,15,22,"HESP3"
"84","AB","HESp30",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,25,26,27,22,20,3,"HESP30"
"85","AB","HESp30",2013,"Salix pulchra","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,16,15,10,NA,NA,NA,"HESP30"
"86","IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,9,7,6,3,NA,NA,"HESP4"
"87","IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,21.53,16.91,12.17,NA,NA,NA,"HESP4"
"88","IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,15,19,20,NA,NA,NA,"HESP4"
"89","IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,32,26,27,37,30,20,"HESP4"
"90","IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,"HESP4"
"91","IMS","HESp5",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,9,9,7,8,NA,NA,"HESP5"
"92","CF","HESp6",2013,"Salix pulchra","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,15.35,12.1,12.71,NA,NA,NA,"HESP6"
"93","CF","HESp6",2013,"Salix pulchra","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,22,15,15,NA,NA,NA,"HESP6"
"94","CF","HESp6",2013,"Salix pulchra","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,23,21,20,13,14,18,"HESP6"
"95","CF","HESp6",2013,"Salix pulchra","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,18,18,15,NA,NA,NA,"HESP6"
"96","SW","HESr13",2013,"Salix richardsonii","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,30,18,20,NA,NA,NA,"HESR13"
"97","SW","HESr13",2013,"Salix richardsonii","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,33,20,35,15,10,NA,"HESR13"
"98","SW","HESr13",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,13,20,14,NA,NA,NA,"HESR13"
"99","IR","HESr16",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,6,3,6,NA,NA,NA,"HESR16"
"100","IR","HESr17",2013,"Salix richardsonii","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,30,26,26,NA,NA,NA,"HESR17"
"101","IR","HESr17",2013,"Salix richardsonii","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,40,25,30,15,10,2,"HESR17"
"102","IR","HESr17",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,20,16,16,NA,NA,NA,"HESR17"
"103","LB","HESr2",2013,"Salix richardsonii","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,11.27,10.95,11.05,NA,NA,NA,"HESR2"
"104","LB","HESr2",2013,"Salix richardsonii","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,15,15,20,NA,NA,NA,"HESR2"
"105","LB","HESr2",2013,"Salix richardsonii","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,27,24,25,32,10,9,"HESR2"
"106","LB","HESr2",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,10,9,11,NA,NA,NA,"HESR2"
"107","IR","HESr20",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,11,8,5,NA,NA,NA,"HESR20"
