"","X.2","X.1","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","max_stem_diam","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"231",2619,2877,2877,"JG","PC17Sp9",2017,"Salix pulchra","Kluane","2020-08-19",8,19,2020,15.9,10.5,9.8,12,32,33,30,14,12,11,"PC17SP9",1636.11,3,12.3333333333333,31.6666666666667,10.15,"Southern"
"232",2898,2231,2231,"LB","PC17Sr1",2017,"Salix richardsonii","Kluane","2021-08-09",8,9,2021,16,25,18,13,35,36,30,94,42,25,"PC17SR1",7200,4,53.6666666666667,33.6666666666667,21.5,"Southern"
"233",3001,3001,3001,"SW","PC17Sr10",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,36,39,17,18,40,37,36,85,52,27,"PC17SR10",23868,5,54.6666666666667,37.6666666666667,28,"Southern"
"234",2900,2233,2233,"IR","PC17Sr12",2017,"Salix richardsonii","Kluane","2021-08-11",8,11,2021,10.2,9.9,5.5,9,29,31,28,25,23,NA,"PC17SR12",555.39,4,NA,29.3333333333333,7.7,"Southern"
"235",3093,3093,3093,"IR","PC17Sr13",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,14,20,15,16,26,29,21,16,20,8,"PC17SR13",4200,5,14.6666666666667,25.3333333333333,17.5,"Southern"
"236",2961,2961,2961,"LB","PC17Sr2",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,35,24,22,15,39,31,38,60,35,30,"PC17SR2",18480,5,41.6666666666667,36,23,"Southern"
"237",2986,2986,2986,"GD","PC17Sr4",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,74,63,45,15,46,44,41,410,250,145,"PC17SR4",209790,5,268.333333333333,43.6666666666667,54,"Southern"
"238",2985,2985,2985,"GD","PC17Sr5",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,121,62,72,40,52,38,50,395,465,310,"PC17SR5",540144,5,390,46.6666666666667,67,"Southern"
"239",2984,2984,2984,"GD","PC17Sr6",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,41,63,49,16,42,40,40,290,260,195,"PC17SR6",126567,5,248.333333333333,40.6666666666667,56,"Southern"
"240",3000,3000,3000,"SW","PC17Sr9",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,15,15,10,17,39,41,35,45,13,5,"PC17SR9",2250,5,21,38.3333333333333,12.5,"Southern"
"241",2907,2240,2240,"JA","PP16MSa1",2016,"Salix arctica","Kluane","2021-08-11",8,11,2021,2.5,5.4,4,6,21,26,19,4,3,NA,"PP16MSA1",54,5,NA,22,4.7,"Southern"
"242",3031,3031,3031,"JA","PP16MSa5",2016,"Salix arctica","Kluane","2022-08-16",8,17,2022,3,10.5,7.5,8,20,25,24,18,5,3,"PP16MSA5",236.25,6,8.66666666666667,23,9,"Southern"
"243",2648,2906,2906,"AB","PP17Sp12",2017,"Salix pulchra","Kluane","2020-08-19",8,19,2020,17.9,17.6,8.3,13.3,33.48,38.32,37.36,21.68,43.77,41.08,"PP17SP12",2614.832,3,35.51,36.3866666666667,12.95,"Southern"
"244",2910,2243,2243,"AB","PP17Sp13",2017,"Salix pulchra","Kluane","2021-08-11",8,11,2021,15.2,14.1,12.2,13,24,23,26,26,19,22,"PP17SP13",2614.704,4,22.3333333333333,24.3333333333333,13.15,"Southern"
"245",3133,3133,3133,"AB","PP17Sp15",2017,"Salix pulchra","Kluane","2022-08-16",8,17,2022,29,57,58,23,74,64,31,320,250,370,"PP17SP15",95874,5,313.333333333333,56.3333333333333,57.5,"Southern"
"246",3166,3166,3166,"EW","PP17Sr16",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,44,46,47,29,43,37,42,150,130,100,"PP17SR16",95128,5,126.666666666667,40.6666666666667,46.5,"Southern"
"247",3170,3170,3170,"EW","PP17Sr19",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,37,36,33,28,34,38,50,80,70,170,"PP17SR19",43956,5,106.666666666667,40.6666666666667,34.5,"Southern"
"248",3169,3169,3169,"EW","PP17Sr20",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,39,51,69,23,40,42,38,95,80,200,"PP17SR20",137241,5,125,40,60,"Southern"
