"","Species","plant_tag_id","sample_id","date_sampled","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","month","year","DOY","population","LDMC_g_g","Site","site_id","total_leaf_dry_mass_mg","Wood_density_mg_mm3","Lat","Lon","Elevation_m","date","MONTH"
"59","Salix richardsonii","H17SR35",107252211,"2021-07-15",0.235,14.3859574468085,69.512231194723,30.8398950131234,0.0155884875913272,0.837,33.807,0.762,"07","2021","196","Northern",0.280764635603345,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"60","Salix arctica","H17SA20",107342550,"2021-07-16",0.2,12.4505,80.3180595156821,34.1296928327645,0.0155013854865266,0.619,24.901,0.586,"07","2021","197","Northern",0.323101777059774,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"61","Salix arctica","H17SA18",107342611,"2021-07-16",0.464,11.8997844827586,84.0351353798786,33.992673992674,0.0163180295209635,1.456,55.215,1.365,"07","2021","197","Northern",0.318681318681319,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"62","Salix arctica","K15PSA9",107342651,"2021-07-16",0.538,10.5907063197026,94.4224086489522,37.2576177285319,0.0159008740215522,1.518,56.978,1.444,"07","2021","197","Southern",0.354413702239789,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"63","Salix arctica","K15PSA7",107342682,"2021-07-16",0.613,10.3047308319739,97.0428064842958,39.8569570871261,0.0146434903748734,1.585,63.168,1.538,"07","2021","197","Southern",0.386750788643533,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"64","Salix arctica","K15PSA2",107342714,"2021-07-16",0.437,9.32974828375286,107.184027862942,38.1993006993007,0.0173407569105492,1.172,40.771,1.144,"07","2021","197","Southern",0.372866894197952,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"65","Salix arctica","H15SA10",107342774,"2021-07-16",0.278,11.8665467625899,84.2705144138956,31.2359550561798,0.0185516384249295,0.89,32.989,0.89,"07","2021","197","Northern",0.312359550561798,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"66","Salix pulchra","KP16SP33",107342805,"2021-07-16",0.256,11.65,85.8369098712446,42.6666666666667,0.0115343347639485,0.619,29.824,0.6,"07","2021","197","Southern",0.413570274636511,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"67","Salix pulchra","KLSPC13",107342839,"2021-07-16",0.244,10.8282786885246,92.3507815752621,42.5828970331588,0.012452216040271,0.597,26.421,0.573,"07","2021","197","Southern",0.408710217755444,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"68","Salix pulchra","HERSP29",107342873,"2021-07-16",0.113,16.0008849557522,62.4965433327803,30.0531914893617,0.0145456556606382,0.392,18.081,0.376,"07","2021","197","Northern",0.288265306122449,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"69","Salix richardsonii","H17SR5",107402037,"2021-07-17",0.213,13.3666666666667,74.8129675810474,31.4159292035398,0.0163324084155808,0.717,28.471,0.678,"07","2021","198","Northern",0.297071129707113,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"70","Salix pulchra","KLSPE4",109129335,"2021-08-06",0.25,9.6288,103.855101362579,45.045045045045,0.0126703223662346,0.561,24.072,0.555,"08","2021","218","Southern",0.445632798573975,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"71","Salix pulchra","HERSP24",109129306,"2021-08-06",0.073,17.6232876712329,56.7431014380101,41.2429378531073,0.00808394869801788,0.192,12.865,0.177,"08","2021","218","Northern",0.380208333333333,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"72","Salix pulchra","HERSP3",109129271,"2021-08-06",0.108,19.087037037037,52.3915785388571,44.4444444444444,0.00654894731735714,0.316,20.614,0.243,"08","2021","218","Northern",0.341772151898734,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"73","Salix richardsonii","KP17SR2",109129235,"2021-08-06",0.327,13.6981651376147,73.0024780657692,33.7809917355372,0.0143102716942379,1.035,44.793,0.968,"08","2021","218","Southern",0.315942028985507,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
