"","Bed","SampleID","Year_planted","Species","Site","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","LDMC_g_g","Dry_mass","total_leaf_dry_mass_mg","Wood_density_mg_mm3","Lat","Lon","Elevation_m"
"55","IR","KLSrE15",2013,"Salix richardsonii","Kluane","2015",NA,NA,NA,NA,12,13,14,NA,NA,NA,"KLSRE15",NA,2,13,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","LB","KLSrE4",2013,"Salix richardsonii","Kluane","2015",NA,NA,NA,NA,10,12,12,NA,NA,NA,"KLSRE4",NA,2,11.3333333333333,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","SW","KLSrE6",2013,"Salix richardsonii","Kluane","2015",NA,NA,NA,NA,17,15,17,NA,NA,NA,"KLSRE6",NA,2,16.3333333333333,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","SW","KLSrE7",2013,"Salix richardsonii","Kluane","2015",NA,NA,NA,NA,18,15,14,NA,NA,NA,"KLSRE7",NA,2,15.6666666666667,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","SW","KLSrE9",2013,"Salix richardsonii","Kluane","2015",NA,NA,NA,NA,15,14,16,NA,NA,NA,"KLSRE9",NA,2,15,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","IMS","H15Sp1",2015,"Salix pulchra","Qikiqtaruk","2016",5.5,NA,NA,NA,26,21,22,13,6,NA,"H15SP1",NA,1,23,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","CF","H15Sp10",2015,"Salix pulchra","Qikiqtaruk","2016",5,NA,NA,NA,38,30,25,29,NA,NA,"H15SP10",NA,1,31,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","CF","H15Sp11",2015,"Salix pulchra","Qikiqtaruk","2016",1.6,NA,NA,NA,26,19,14,11,NA,NA,"H15SP11",NA,1,19.6666666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","CF","H15Sp12",2015,"Salix pulchra","Qikiqtaruk","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP12",NA,1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","CF","H15Sp13",2015,"Salix pulchra","Qikiqtaruk","2016",13.8,NA,NA,NA,37,42,44,53,47,10,"H15SP13",NA,1,41,36.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","CF","H15Sp14",2015,"Salix pulchra","Qikiqtaruk","2016",16.3,NA,NA,NA,48,19,18,19,15,NA,"H15SP14",NA,1,28.3333333333333,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk","2016",21.3,NA,NA,NA,31,41,40,46,30,NA,"H15SP15",NA,1,37.3333333333333,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","CF","H15Sp16",2015,"Salix pulchra","Qikiqtaruk","2016",17.8,NA,NA,NA,33,32,32,16,14,6,"H15SP16",NA,1,32.3333333333333,12,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","CF","H15Sp17",2015,"Salix pulchra","Qikiqtaruk","2016",19,NA,NA,NA,27,24,16,18,15,8,"H15SP17",NA,1,22.3333333333333,13.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","CF","H15Sp18",2015,"Salix pulchra","Qikiqtaruk","2016",10.6,NA,NA,NA,46,44,35,40,NA,NA,"H15SP18",NA,1,41.6666666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
