"","...1","X.x","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.y","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter"
"67",148,148,"SW",2013,"Salix richardsonii","Common_garden",NA,8,11,"2016",19.5,NA,NA,NA,32,34,35,36,31,49,"HESR7",NA,"3",38.6666666666667,33.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",149,149,"SW",2013,"Salix richardsonii","Common_garden",NA,8,11,"2016",26,NA,NA,NA,29,27,29,54,39,34,"HESR8",NA,"3",42.3333333333333,28.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",159,159,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSR1",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",160,160,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSR2",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",161,161,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSR3",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",162,162,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSR4",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",163,163,"SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSR5",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",164,164,"SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSR6",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",165,165,"IR",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSR7",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",166,166,"AC",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSR8",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
