"","Bed","SampleID","Year_planted","Species","Site","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","LDMC_g_g","Dry_mass","total_leaf_dry_mass_mg","Wood_density_mg_mm3","Lat","Lon","Elevation_m"
"1343","JB","H15Sa16",2015,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA16",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1344","JB","H15Sa17",2015,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA17",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1345","JB","H15Sa18",2015,"Salix arctica","Qikiqtaruk","2019",3.5,NA,NA,NA,8.28,10.51,9.14,5.03,4.8,4.18,"H15SA18",4,4.67,9.31,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1346","JB","H15Sa19",2015,"Salix arctica","Qikiqtaruk","2019",4,NA,NA,NA,25.92,19.89,21.9,23.56,14.04,17.59,"H15SA19",4,18.3966666666667,22.57,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1347","JB","H15Sa20",2015,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA20",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1348","JB","H15Sa20",2015,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA20",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1349","JB","H15Sa3",2015,"Salix arctica","Qikiqtaruk","2019",4.4,NA,NA,NA,28.93,27.71,25.61,23.4,20.57,19.16,"H15SA3",4,21.0433333333333,27.4166666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1350","JB","H15Sa4",2015,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA4",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1351","JB","H15Sa5",2015,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA5",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1352","JB","H15Sa7",2015,"Salix arctica","Qikiqtaruk","2019",5.6,NA,NA,NA,27.56,23.68,27.31,20.97,22.2,21.62,"H15SA7",4,21.5966666666667,26.1833333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1353","JB","H15Sa8",2015,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA8",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1354","JB","H15Sa9",2015,"Salix arctica","Qikiqtaruk","2019",1.6,NA,NA,NA,NA,NA,NA,21.05,18.21,10.71,"H15SA9",4,16.6566666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1355","IMS","H15Sp1",2015,"Salix pulchra","Qikiqtaruk","2019",5.7,NA,NA,NA,NA,NA,NA,10.82,9.97,NA,"H15SP1",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1356","CF","H15Sp10",2015,"Salix pulchra","Qikiqtaruk","2019",5.9,NA,NA,NA,NA,NA,NA,16.26,7.21,22.24,"H15SP10",4,15.2366666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1357","CF","H15Sp11",2015,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP11",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1358","CF","H15Sp12",2015,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP12",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1359","CF","H15Sp13",2015,"Salix pulchra","Qikiqtaruk","2019",9.6,NA,NA,NA,26.95,19.83,22.42,21.46,13.5,11.76,"H15SP13",4,15.5733333333333,23.0666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1360","CF","H15Sp14",2015,"Salix pulchra","Qikiqtaruk","2019",10.4,NA,NA,NA,NA,NA,NA,8.89,11.97,9.36,"H15SP14",4,10.0733333333333,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1361","CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk","2019",10.6,NA,NA,NA,30.98,27.24,29.09,28.03,43.15,32.34,"H15SP15",4,34.5066666666667,29.1033333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1362","CF","H15Sp16",2015,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP16",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1363","CF","H15Sp17",2015,"Salix pulchra","Qikiqtaruk","2019",2.2,NA,NA,NA,NA,NA,NA,28.92,30.49,13.03,"H15SP17",4,24.1466666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1364","CF","H15Sp18",2015,"Salix pulchra","Qikiqtaruk","2019",16.4,NA,NA,NA,22.36,23.84,NA,27.39,14.93,33.39,"H15SP18",4,25.2366666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1365","CF","H15Sp19",2015,"Salix pulchra","Qikiqtaruk","2019",11.1,NA,NA,NA,18.97,15.95,14.93,22.67,21.15,5.42,"H15SP19",4,16.4133333333333,16.6166666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1366","IMS","H15Sp2",2015,"Salix pulchra","Qikiqtaruk","2019",4.9,NA,NA,NA,NA,NA,NA,6.8,8.79,16.59,"H15SP2",4,10.7266666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1367","CF","H15Sp20",2015,"Salix pulchra","Qikiqtaruk","2019",6.3,NA,NA,NA,NA,NA,NA,11.43,17.74,13.26,"H15SP20",4,14.1433333333333,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1368","MG","H15Sp21",2015,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP21",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1369","MG","H15Sp22",2015,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP22",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1370","MG","H15Sp23",2015,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP23",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1371","MG","H15Sp24",2015,"Salix pulchra","Qikiqtaruk","2019",9.9,NA,NA,NA,17.82,21.66,16.84,5.07,9.14,7.32,"H15SP24",4,7.17666666666667,18.7733333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1372","AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk","2019",4.6,NA,NA,NA,24.89,16.45,18.86,14.13,27.32,49.38,"H15SP25",4,30.2766666666667,20.0666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1373","AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk","2019",10.5,NA,NA,NA,23.58,26.93,20.28,20.83,19.82,48.53,"H15SP27",4,29.7266666666667,23.5966666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374","AB","H15Sp29",2015,"Salix pulchra","Qikiqtaruk","2019",8.2,NA,NA,NA,19.7,18.15,18.09,16.54,24.47,12.48,"H15SP29",4,17.83,18.6466666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1375","IMS","H15Sp3",2015,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP3",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1376","AB","H15Sp30",2015,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP30",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1377","IMS","H15Sp4",2015,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP4",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1378","IMS","H15Sp5",2015,"Salix pulchra","Qikiqtaruk","2019",6.5,NA,NA,NA,NA,NA,NA,31.23,39.61,21.11,"H15SP5",4,30.65,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1379","IMS","H15Sp6",2015,"Salix pulchra","Qikiqtaruk","2019",5.2,NA,NA,NA,NA,NA,NA,23.44,28.23,34.95,"H15SP6",4,28.8733333333333,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1380","IMS","H15Sp7",2015,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP7",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1381","IMS","H15Sp8",2015,"Salix pulchra","Qikiqtaruk","2019",7.7,NA,NA,NA,NA,NA,NA,17.79,19.89,20.87,"H15SP8",4,19.5166666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1382","CF","H15Sp9",2015,"Salix pulchra","Qikiqtaruk","2019",13.1,NA,NA,NA,NA,NA,NA,11.77,30.37,22.83,"H15SP9",4,21.6566666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1383","LB","H15Sr11",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR11",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1384","SW","H15Sr12",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR12",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1385","SW","H15Sr13",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR13",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1386","SW","H15Sr14",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR14",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1387","SW","H15Sr15",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR15",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1388","SW","H15Sr16",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR16",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1389","SW","H15Sr17",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR17",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1390","SW","H15Sr18",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR18",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1391","SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk","2019",6.8,NA,NA,NA,NA,NA,NA,8.45,12.49,17.29,"H15SR19",4,12.7433333333333,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1392","SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk","2019",8.6,NA,NA,NA,NA,NA,NA,11.79,5.4,6.11,"H15SR20",4,7.76666666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1393","IR","H15Sr22",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR22",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1394","IR","H15Sr23",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR23",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1395","IR","H15Sr24",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR24",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1396","AC","H15Sr25",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR25",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1397","AC","H15Sr26",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR26",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1398","AC","H15Sr29",2015,"Salix richardsonii","Qikiqtaruk","2019",4.8,NA,NA,NA,19.64,17.14,15.25,11.36,11.93,8.74,"H15SR29",4,10.6766666666667,17.3433333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1399","LB","H15Sr3",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR3",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1400","AC","H15Sr30",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR30",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1401","LB","H15Sr4",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR4",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1402","LB","H15Sr5",2015,"Salix richardsonii","Qikiqtaruk","2019",10.1,NA,NA,NA,NA,NA,NA,15.01,17.94,18.94,"H15SR5",4,17.2966666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1403","LB","H15Sr6",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR6",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1404","LB","H15Sr8",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR8",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1405","LB","H15Sr9",2015,"Salix richardsonii","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR9",4,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1406","JA","H17Sa1",2017,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA1",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1407","JA","H17Sa10",2017,"Salix arctica","Qikiqtaruk","2019",5.2,NA,NA,NA,28.15,23.61,27.61,13.35,12.77,NA,"H17SA10",2,NA,26.4566666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1408","JA","H17Sa11",2017,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA11",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1409","SAB","H17Sa12",2017,"Salix arctica","Qikiqtaruk","2019",4.2,NA,NA,NA,29.21,24.92,19.79,17.42,6.76,NA,"H17SA12",2,NA,24.64,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1410","SAB","H17Sa13",2017,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA13",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1411","SAB","H17Sa14",2017,"Salix arctica","Qikiqtaruk","2019",3.2,NA,NA,NA,24.59,NA,NA,15.3,8.92,NA,"H17SA14",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1412","SAB","H17Sa16",2017,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA16",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1413","JB","H17Sa17",2017,"Salix arctica","Qikiqtaruk","2019",1.7,NA,NA,NA,21.8,19.83,20.34,7.08,12.82,9.3,"H17SA17",2,9.73333333333333,20.6566666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1414","JB","H17Sa18",2017,"Salix arctica","Qikiqtaruk","2019",5.3,NA,NA,NA,30.83,35.99,36.22,6.77,11.57,11.05,"H17SA18",2,9.79666666666667,34.3466666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1415","JB","H17Sa19",2017,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA19",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1416","JA","H17Sa2",2017,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA2",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1417","JB","H17Sa20",2017,"Salix arctica","Qikiqtaruk","2019",2.8,NA,NA,NA,26.03,27.07,24.45,9.47,9.05,12.87,"H17SA20",2,10.4633333333333,25.85,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1418","JA","H17Sa3",2017,"Salix arctica","Qikiqtaruk","2019",1.4,NA,NA,NA,4.65,NA,NA,9.24,NA,NA,"H17SA3",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1419","JA","H17Sa4",2017,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA4",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1420","JA","H17Sa5",2017,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA5",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1421","JA","H17Sa6",2017,"Salix arctica","Qikiqtaruk","2019",3.2,NA,NA,NA,46.46,47.14,37.57,37.35,26.36,26.58,"H17SA6",2,30.0966666666667,43.7233333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1422","JA","H17Sa7",2017,"Salix arctica","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA7",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1423","JA","H17Sa8",2017,"Salix arctica","Qikiqtaruk","2019",1.4,NA,NA,NA,13.01,12.54,NA,4.48,2.31,NA,"H17SA8",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1424","JA","H17Sa9",2017,"Salix arctica","Qikiqtaruk","2019",3.2,NA,NA,NA,23.37,25.74,22.45,10.63,12.41,10.33,"H17SA9",2,11.1233333333333,23.8533333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1425","IMS","H17Sp1",2017,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP1",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1426","AB","H17Sp10",2017,"Salix pulchra","Qikiqtaruk","2019",5.2,NA,NA,NA,24.18,20.09,21.42,21.58,17.3,10.63,"H17SP10",2,16.5033333333333,21.8966666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1427","AB","H17Sp11",2017,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP11",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1428","AB","H17Sp12",2017,"Salix pulchra","Qikiqtaruk","2019",4.4,NA,NA,NA,20.57,NA,NA,18.66,14.6,18.63,"H17SP12",2,17.2966666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1429","AB","H17Sp13",2017,"Salix pulchra","Qikiqtaruk","2019",21,NA,NA,NA,NA,NA,NA,8.88,6.6,10.47,"H17SP13",2,8.65,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1430","AB","H17Sp14",2017,"Salix pulchra","Qikiqtaruk","2019",21.3,NA,NA,NA,30.54,24.05,26.78,10.66,42.97,24.24,"H17SP14",2,25.9566666666667,27.1233333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1431","AB","H17Sp15",2017,"Salix pulchra","Qikiqtaruk","2019",8.2,NA,NA,NA,NA,NA,NA,10.27,11.38,11.48,"H17SP15",2,11.0433333333333,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1432","AB","H17Sp15",2017,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP15",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1433","AB","H17Sp17",2017,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP17",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1434","AB","H17Sp18",2017,"Salix pulchra","Qikiqtaruk","2019",4.5,NA,NA,NA,20.91,20.13,17.23,11.85,19.37,18,"H17SP18",2,16.4066666666667,19.4233333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1435","AB","H17Sp19",2017,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP19",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1436","IMS","H17Sp2",2017,"Salix pulchra","Qikiqtaruk","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SP2",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1437","AB","H17Sp20",2017,"Salix pulchra","Qikiqtaruk","2019",4.2,NA,NA,NA,NA,NA,NA,43.61,NA,NA,"H17SP20",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1438","IMS","H17Sp3",2017,"Salix pulchra","Qikiqtaruk","2019",4.4,NA,NA,NA,NA,NA,NA,8.33,8.34,10.05,"H17SP3",2,8.90666666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
