"","PhenocamID","Year","Species","First_bud_burst","First_leaf_yellow","All_leaves_yellow","First_bud_burst_DOY","First_leaf_yellow_DOY","All_leaves_yellow_DOY","population"
"58","CG3-2021",2021,"Salix arctica",NA,2021-07-11,2021-08-15,NA,192,227,"Northern Garden"
"59","CG3-2021",2021,"Salix arctica",NA,2021-07-31,2021-08-30,NA,212,242,"Southern Garden"
"60","CG3-2021",2021,"Salix arctica",NA,2021-07-05,2021-07-28,NA,186,209,"Northern Garden"
"61","CG3-2021",2021,"Salix arctica",NA,2021-06-27,2021-08-11,NA,178,223,"Southern Garden"
"62","CG3-2021",2021,"Salix arctica",NA,NA,NA,NA,NA,NA,"Southern Garden"
"63","CG3-2021",2021,"Salix arctica",NA,NA,NA,NA,NA,NA,"Northern Garden"
"64","CG3-2021",2021,"Salix arctica",NA,NA,NA,NA,NA,NA,"Southern Garden"
"65","CG3-2021",2021,"Salix arctica",NA,2021-07-30,NA,NA,211,NA,"Southern Garden"
"66","CG3-2021",2021,"Salix arctica",NA,2021-07-07,2021-08-05,NA,188,217,"Northern Garden"
"67","CG3-2021",2021,"Salix arctica",NA,NA,NA,NA,NA,NA,"Southern Garden"
"68","CG3-2021",2022,"Salix arctica",2022-05-09,2022-07-15,NA,129,196,NA,"Northern Garden"
"69","CG3-2021",2022,"Salix arctica",2022-05-12,2022-07-01,2022-08-10,132,182,222,"Northern Garden"
"70","CG3-2021",2022,"Salix arctica",2022-05-18,2023-08-01,NA,138,213,NA,"Southern Garden"
"71","CG3-2021",2022,"Salix arctica",2022-05-09,2022-07-21,NA,129,202,NA,"Northern Garden"
"72","CG3-2021",2022,"Salix arctica",2022-05-13,2022-07-16,NA,133,197,NA,"Southern Garden"
"73","CG3-2021",2022,"Salix arctica",2022-05-19,2022-08-14,NA,139,226,NA,"Southern Garden"
"74","CG3-2021",2022,"Salix arctica",NA,NA,NA,NA,NA,NA,"Northern Garden"
"75","CG3-2021",2022,"Salix arctica",2022-05-20,2022-08-06,NA,140,218,NA,"Southern Garden"
"76","CG3-2021",2022,"Salix arctica",2022-05-18,2022-07-30,NA,138,211,NA,"Southern Garden"
"77","CG3-2021",2022,"Salix arctica",2022-05-09,2022-06-21,2022-08-11,129,172,223,"Northern Garden"
"78","CG3-2021",2022,"Salix arctica",2022-05-19,2022-07-29,2022-08-14,139,210,226,"Southern Garden"
"79","CG4-2021",2021,"Salix pulchra",NA,2021-07-01,2021-07-15,NA,182,196,"Northern Garden"
"80","CG4-2021",2022,"Salix pulchra",2022-05-09,2022-06-24,2022-06-29,129,175,180,"Northern Garden"
"81","CG5-2021",2021,"Salix richardsonii",NA,2021-08-16,2021-09-13,NA,228,256,"Southern Garden"
"82","CG5-2021",2021,"Salix richardsonii",NA,2021-08-16,2021-09-12,NA,228,255,"Southern Garden"
