"","Species","plant_tag_id","sample_id","date_sampled","site_id","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","number_leaves","Site","year","DOY","total_leaf_dry_mass_mg","LDMC_g_g","Plant_height_veg_m","Plant_height_repro_m","Seed_mass_dry_mg","Wood_density_mg_mm3","Species_sex","Lat","Lon","Elevation_m","date","Data_contributor","Data_coPIs","ValueKindName","MONTH"
"30","Salix richardsonii","KP4-2021-SARI",106381873,"2021-07-05","KP_high",16.263539445629,61.4872305836698,28.7377450980392,0.0152472599507053,1.833,7627.6,1.632,12,"Kluane","2021","186",469,0.255864702673213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Salix pulchra","KP3-2021-SAPU",106381902,"2021-07-05","KP_mid",16.3967914438503,60.9875415824147,30.7565789473684,0.0137303502706934,1.246,6132.4,1.216,12,"Kluane","2021","186",374,0.30016051364366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Salix richardsonii","KP3-2021-SARI",106382017,"2021-07-05","KP_mid",14.993916755603,66.6937142775797,27.9284649776453,0.0172108218914821,3.476,14049.3,3.355,12,"Kluane","2021","186",937,0.269562715765247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Salix pulchra","KP5-2021-SAPU",106382038,"2021-07-05","KP_mid",15.572745490982,64.2147526638184,32.4658425504229,0.0133576980491069,1.594,7770.8,1.537,12,"Kluane","2021","186",499,0.313048933500627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Salix richardsonii","KP5-2021-SARI",106382062,"2021-07-05","KP_mid",14.916338028169,67.0405831586501,30.1230377598642,0.0155515268256756,2.531,10590.6,2.357,12,"Kluane","2021","186",710,0.280521532990913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Salix richardsonii","KP9-2021-SARI",106382085,"2021-07-05","KP_mid",13.1804,75.8702315559467,30.8896210873147,0.0169746998067838,2.574,9885.3,2.428,12,"Kluane","2021","186",750,0.291375291375291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Salix pulchra","KP9-2021-SAPU",106382104,"2021-07-05","KP_mid",NA,NA,NA,NA,NA,NA,0.952,12,"Kluane","2021","186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Salix pulchra","KP1-2021-SAPU-2",106382127,"2021-07-05","KP_low",15.3254512635379,65.250933418136,32.1718931475029,0.0137568754932099,1.746,8490.3,1.722,12,"Kluane","2021","186",554,0.31729667812142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Salix richardsonii","KP2-2021-SARI",106382266,"2021-07-05","KP_low",14.0203539823009,71.3248753392666,32.209026128266,0.0150118874792232,2.29,9505.8,2.105,12,"Kluane","2021","186",678,0.296069868995633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Salix pulchra","KP2-2021-SAPU",106382289,"2021-07-05","KP_low",12.3850828729282,80.7422937948878,39.2057761732852,0.0125202599217855,1.466,6725.1,1.385,12,"Kluane","2021","186",543,0.370395634379263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
