"","Species","Lat","Lon","Elevation_m","Site","date","Year_measured","Canopy_Height_cm"
"164","Salix pulchra",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,21.1
"165","Salix pulchra",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,44.5
"166","Salix pulchra",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,67.6
"227","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk","26/07/2015",2015,21.1
"228","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk","26/07/2015",2015,21.5
"229","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk","26/07/2015",2015,30.1
"230","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk","26/07/2015",2015,24.5
"231","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk","26/07/2015",2015,21.1
"232","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk","26/07/2015",2015,41.3
"233","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk","26/07/2015",2015,32.1
"234","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk","26/07/2015",2015,25.3
"235","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk","26/07/2015",2015,50.6
"236","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk","26/07/2015",2015,47.8
"237","Salix pulchra",69.57891,138.94557,56,"Qikiqtaruk","26/07/2015",2015,21.3
"238","Salix pulchra",69.57891,138.94557,56,"Qikiqtaruk","26/07/2015",2015,23.3
"239","Salix pulchra",69.57891,138.94557,56,"Qikiqtaruk","26/07/2015",2015,21.4
"240","Salix pulchra",69.57891,138.94557,56,"Qikiqtaruk","26/07/2015",2015,12
"241","Salix pulchra",69.57891,138.94557,56,"Qikiqtaruk","26/07/2015",2015,33.6
"242","Salix pulchra",69.57536,138.86479,63,"Qikiqtaruk","04/08/2015",2015,27.5
"243","Salix pulchra",69.57536,138.86479,63,"Qikiqtaruk","04/08/2015",2015,22.1
"244","Salix pulchra",69.57536,138.86479,63,"Qikiqtaruk","04/08/2015",2015,29.4
"245","Salix pulchra",69.57536,138.86479,63,"Qikiqtaruk","04/08/2015",2015,20.1
"246","Salix pulchra",69.57536,138.86479,63,"Qikiqtaruk","04/08/2015",2015,28.5
"267","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk","26/07/2016",2016,20.1
"268","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk","26/07/2016",2016,24.8
"269","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk","26/07/2016",2016,23.5
"270","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk","26/07/2016",2016,29
"271","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk","26/07/2016",2016,31.5
"272","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk","24/07/2016",2016,44
"273","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk","24/07/2016",2016,20.5
"274","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk","24/07/2016",2016,20
"275","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk","24/07/2016",2016,36.4
"276","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk","24/07/2016",2016,32.9
"277","Salix pulchra",61.21649,-138.28606,1631,"Kluane","28/06/2016",2016,32.2
"278","Salix pulchra",61.21649,-138.28606,1631,"Kluane","28/06/2016",2016,27
"279","Salix pulchra",61.21649,-138.28606,1631,"Kluane","28/06/2016",2016,28.8
"280","Salix pulchra",61.21649,-138.28606,1631,"Kluane","28/06/2016",2016,16.2
"281","Salix pulchra",61.21649,-138.28606,1631,"Kluane","28/06/2016",2016,61.3
"282","Salix pulchra",61.219,-138.28477,1577,"Kluane","29/06/2016",2016,70.1
"283","Salix pulchra",61.219,-138.28477,1577,"Kluane","29/06/2016",2016,26.6
"284","Salix pulchra",61.219,-138.28477,1577,"Kluane","29/06/2016",2016,102.8
"285","Salix pulchra",61.219,-138.28477,1577,"Kluane","29/06/2016",2016,282
"286","Salix pulchra",61.219,-138.28477,1577,"Kluane","29/06/2016",2016,40.8
"287","Salix pulchra",60.97682,138.41019,1472,"Kluane","06/08/2017",2017,107
"288","Salix pulchra",60.97682,138.41019,1472,"Kluane","06/08/2017",2017,146
"289","Salix pulchra",60.97682,138.41019,1472,"Kluane","06/08/2017",2017,106
"290","Salix pulchra",60.97682,138.41019,1472,"Kluane","06/08/2017",2017,183
"291","Salix pulchra",60.97682,138.41019,1472,"Kluane","06/08/2017",2017,126
"292","Salix pulchra",60.96206,-138.41288,1716,"Kluane","07/08/2017",2017,84
"293","Salix pulchra",60.96206,-138.41288,1716,"Kluane","07/08/2017",2017,62
"294","Salix pulchra",60.96206,-138.41288,1716,"Kluane","07/08/2017",2017,49
"295","Salix pulchra",60.96206,-138.41288,1716,"Kluane","07/08/2017",2017,84
"296","Salix pulchra",60.96206,-138.41288,1716,"Kluane","07/08/2017",2017,68
"297","Salix pulchra",61.21222,-138.27775,1649,"Kluane","13/08/2017",2017,81
"298","Salix pulchra",61.21222,-138.27775,1649,"Kluane","13/08/2017",2017,28
"299","Salix pulchra",61.21222,-138.27775,1649,"Kluane","13/08/2017",2017,40
"300","Salix pulchra",61.21222,-138.27775,1649,"Kluane","13/08/2017",2017,89
"301","Salix pulchra",61.21222,-138.27775,1649,"Kluane","13/08/2017",2017,33
"302","Salix richardsonii",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,73.1
"303","Salix richardsonii",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,80.3
"304","Salix richardsonii",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,61
"305","Salix richardsonii",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,56.6
"306","Salix richardsonii",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,57.5
"307","Salix richardsonii",61.1726,-138.3824,980,"Kluane","08-Jul",2014,69
"308","Salix richardsonii",61.1726,-138.3824,980,"Kluane","08-Jul",2014,69
"309","Salix richardsonii",61.1726,-138.3824,980,"Kluane","08-Jul",2014,72
"310","Salix richardsonii",61.1726,-138.3824,980,"Kluane","08-Jul",2014,61
"311","Salix richardsonii",61.1726,-138.3824,980,"Kluane","08-Jul",2014,74
"370","Salix richardsonii",69.57645,-138.994435,49,"Qikiqtaruk","22/07/2015",2015,32.1
"371","Salix richardsonii",69.57645,-138.994435,49,"Qikiqtaruk","22/07/2015",2015,37.4
"372","Salix richardsonii",69.57677,138.90984,29,"Qikiqtaruk","25/07/2015",2015,35
"373","Salix richardsonii",69.57677,138.90984,29,"Qikiqtaruk","25/07/2015",2015,49.5
"374","Salix richardsonii",69.57677,138.90984,29,"Qikiqtaruk","25/07/2015",2015,31
"375","Salix richardsonii",69.56985,138.89821,-4,"Qikiqtaruk","25/07/2015",2015,41.2
