"","Bed","SampleID","Bed_old","SampleID_old","Year_planted","Species","Site","Plant_ID_fulcrum","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Fresh_mass","Dry_mass","LA","LDMC","SLA","Notes_canopy_height_prev_cm","August_2021_notes","July_2021_notes"
"69","IMS","HESp2",NA,"HESp2",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,21,19,23,8,12,8,NA,NA,NA,NA,NA,NA,NA,NA
"70","IMS","HESp2",NA,"HESp2",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","MG","HESp20",NA,"HESp20",2013,"Salix pulchra","Qikiqtaruk",NA,"18/05/2015","5","18",2015,NA,NA,NA,NA,21.4,20.68,12.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","MG","HESp20",NA,"HESp20",2013,"Salix pulchra","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,30,19,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","MG","HESp20",NA,"HESp20",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,35,32,35,43,20,30,NA,NA,NA,NA,NA,NA,NA,NA
"74","MG","HESp20",NA,"HESp20",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,20,24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","AB","HESp23",NA,"HESp23",2013,"Salix pulchra","Qikiqtaruk",NA,"19/05/2015","5","19",2015,NA,NA,NA,NA,11.9,13.53,19.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","AB","HESp23",NA,"HESp23",2013,"Salix pulchra","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,23,17,20,13,9,8,NA,NA,NA,NA,NA,NA,NA,NA
"77","AB","HESp23",NA,"HESp23",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,27,23,22,11,14,15,NA,NA,NA,NA,NA,"N or P deficiency, scene fence",NA,NA
"78","AB","HESp23",NA,"HESp23",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,17,25,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
