Sample_ID,Match,Species,Sample_location,Sample_location_full,Date_sampled,Date_propagated,Date_planted,Year_planted,Mother_height,Mother_CW_1,Mother_CW_2,Mother_LS,Mother_LL1,Mother_LL2,Mother_LL3,Mother_SE1,Mother_SE2,Mother_SE3,Mother_Sex,Cutting_length,Cutting_diameter,Cutting_age,Year_dead,Survived_2014,Survived_2015,Survived_2016,Survived_2017,Survived_2018,Survived_2019,Survived_2020,Survived_2021,Bed,Row,Column,Notes,Field_notes,Data_notes
KLSpE9,KL-SPE 9,Salix pulchra,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,58,259,251,2.4,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,6,3,5,NA,,
KLSrC10,KL-SRC 10,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,69,178,237,2.7,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,7,3,7,NA,,
KLSrC2,KL-SRC 2,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,90,77,60,2.4,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,5,3,4,NA,,
KLSrC6,KL-SRC 6,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,86,88,74,2,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,7,3,3,NA,,
KLSrE10,KL-SRE 10,Salix richardsonii,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,42,84,38,1.3,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,2,2,6,NA,,
KLSrE11,KL-SRE 11,Salix richardsonii,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,34,62,56,1.1,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,7,4,3,NA,,
KLSrE13,KL-SRE 13,Salix richardsonii,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,43,130,89,1.4,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,7,4,5,NA,,
KLSrE14,KL-SRE 14,Salix richardsonii,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,35,62,142,1.7,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,7,4,6,NA,,
KLSrE15,KL-SRE 15,Salix richardsonii,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,48,119,69,1.9,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,7,4,7,NA,,
KLSrE4,KL-SRE 4,Salix richardsonii,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,48,96,71,1.3,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,5,4,6,NA,,
KLSrE6,KL-SRE 6,Salix richardsonii,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,35,72,59,1.6,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,2,2,2,NA,,
KLSrE7,KL-SRE 7,Salix richardsonii,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,32,79,42,1.5,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,2,2,3,NA,,
KLSrE9,KL-SRE 9,Salix richardsonii,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,49,71,74,1.6,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,2,2,5,NA,,
HESr26,HE-SR 26,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,0,1,1,1,1,4,3,3,NA,Came back to life? Alive in garden in 2021.,"Potentially could have been confused as dead, alive with growth data in 2020, 2019, 2018, but marked as ""dead"" in 2017."
KLSrC13,KL-SRC 13,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,138,202,134,2.6,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,0,0,0,1,1,4,2,5,NA,Came back to life? Alive in garden in 2021.,"Very much alive, really big. Lable confusion? Alive with growth data in 2020."
HEFSr4,HEF-SR 4,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,67.2,NA,NA,2.8,NA,NA,NA,NA,NA,NA,Female,46.4,NA,15,Alive,1,1,1,1,1,1,1,1,5,2,6,NA,,Label could have been spelled differently in different years HEF_SR_4.
HERSp11,HER-SP 11,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,34.1,213.6,NA,1.2,NA,NA,NA,NA,NA,NA,Unknown,54.3,NA,9,Alive,1,1,1,1,1,1,1,1,3,1,3,NA,,Label could have been spelled differently in different years HER_SP_11.
HERSp12,HER-SP 12,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,37.5,270.4,NA,1,NA,NA,NA,NA,NA,NA,Female,57.8,NA,15,Alive,1,1,1,1,1,1,1,1,3,1,4,NA,,
HERSp14,HER-SP 14,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,44.9,500+,NA,1.2,NA,NA,NA,NA,NA,NA,Female,72.5,NA,16,Alive,1,1,1,1,1,1,1,1,3,1,6,NA,,Label could have been spelled differently in different years HER_SP_14.
HERSp24,HER-SP 24,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,37.2,226,NA,0.8,NA,NA,NA,NA,NA,NA,Unknown,54.5,NA,12,Alive,1,1,1,1,1,1,1,1,1,2,1,NA,,Label could have been spelled differently in different years HER_SP_24.
HERSp29,HER-SP 29,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,27.7,441.3,NA,1.3,NA,NA,NA,NA,NA,NA,Male,45.9,NA,13,Alive,1,1,1,1,1,1,1,1,8,5,2,NA,,
HERSp3,HER-SP 3,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,32.3,268,NA,1.3,NA,NA,NA,NA,NA,NA,Female,68.3,NA,14,Alive,1,1,1,1,1,1,1,1,1,1,4,NA,Alive in garden in 2021,"Name spelled differently in different years HER_Sp_3 vs HER-Sp 3, etc."
HERSp4,HER-SP 4,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,31.8,263,NA,1.4,NA,NA,NA,NA,NA,NA,Male,55.9,NA,17,Alive,1,1,1,1,1,1,1,1,1,1,5,NA,,
KPSr5,KP-SR 5,Salix richardsonii,Kluane,Kluane Plateau,14/08/2027,NA,14/08/2027,2014,98.2,146.6,NA,2.5,NA,NA,NA,NA,NA,NA,Female,62.3,NA,15,Alive,1,1,1,1,1,1,1,1,2,5,1,NA,Came back to life? Alive in garden in 2021.,"Very much alive, really big. Lable confusion? Not listed in 2020 data. Alive with measurements in 2019 and 2020 data. Label might have been spelled differently in data among years KP_Sr_5, KP-Sr-5, etc."
K15PSa6,K15PSa6,Salix arctica,Kluane,Kluane Plateau,15/08/2018,15/08/2018,15/08/2020,2015,28.1,38.4,NA,1.1,NA,NA,NA,NA,NA,NA,NA,29,10,NA,Alive,NA,NA,0,1,1,1,1,1,12,5,4,NA,,
