Bed,SampleID
SL,HE16Sp15
SL,HE16Sp6
SL,HE16Sp7
SL,HE16Sp8
SL,KP16Sp11
SL,KP16Sp13
SL,KP16Sp14
SL,KP16Sp21
SL,KP16Sp22
SL,KP16Sp23
SL,KP16Sp24
SL,KP16Sp25
SL,KP17Sp5
SL,PC16CWSp1
SL,PC16CWSp10
SL,PC16CWSp2
SL,PC16CWSp3
SL,PC16CWSp6
SL,PC16CWSp7
SL,PC16CWSp8
SL,PC16CWSp9
SL,PC16PVSp6
SL,PC16PVSp7
SL,PC16PVSp8
SL,PC16PVSp9
SL,PC17Sp1
SL,PC17Sp2
SL,PC17Sp3
SL,PC17Sp4
SW,H15Sr12
SW,H15Sr13
SW,H15Sr14
SW,H15Sr15
SW,H15Sr16
SW,H15Sr17
SW,H15Sr18
SW,H15Sr19
SW,H15Sr20
SW,H18Sr11
SW,H18Sr12
SW,H18Sr13
SW,H18Sr14
SW,H18Sr15
SW,HESr13
SW,HESr6
SW,HESr7
SW,HESr8
SW,K15CSr5
SW,K15SSr5
SW,K15SSr7
SW,K15SSr8
SW,K15SSr9
SW,K17Sr10
SW,K17Sr11
SW,KLSrE10
SW,KLSrE6
SW,KLSrE7
SW,KLSrE9
SW,PC16PVSr8
SW,PC17Sr10
SW,PC17Sr7
SW,PC17Sr8
SW,PC17Sr9
