Bed,SampleID,Bed_old,SampleID_old,Year_planted,Species,Site,Plant_ID_fulcrum,Sample_Date,Month,Day,Year,Canopy_Height_cm,Width_cm,Width_2_cm,Stem_diameter ,Stem_Elongation_1_mm,Stem_Elongation_2_mm,Stem_Elongation_3_mm,Length_1_mm,Length_2_mm,Length_3_mm,Fresh_mass,Dry_mass,LA,LDMC,SLA,Notes_canopy_height_prev_cm,August_2021_notes,July_2021_notes
CF,HESp12,NA,HESp12,2013,Salix pulchra,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,13,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,HESp12,NA,HERSp12,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,45,36,43,30,25,25,NA,NA,NA,NA,NA,Herb 5,NA,NA
MG,HESp14,NA,HERSp14,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,30,14,15,10,1,NA,NA,NA,NA,NA,NA,Herb 50 ,NA,NA
MG,HESp17,NA,HESp17,2013,Salix pulchra,Qikiqtaruk,NA,18/05/2015,5,18,2015,NA,NA,NA,NA,11.25,10.36,9.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,HESp17,NA,HESp17,2013,Salix pulchra,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,17,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,HESp17,NA,HESp17,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,18,20,17,19,15,10,NA,NA,NA,NA,NA,"N or P deficiency, scene fence",NA,NA
MG,HESp17,NA,HESp17,2013,Salix pulchra,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,HESp18,NA,HESp18,2013,Salix pulchra,Qikiqtaruk,NA,18/05/2015,5,18,2015,NA,NA,NA,NA,30.3,29.36,34.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,HESp18,NA,HESp18,2013,Salix pulchra,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,27,30,21,26,30,10,NA,NA,NA,NA,NA,NA,NA,NA
MG,HESp18,NA,HESp18,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,38,32,28,31,40,15,NA,NA,NA,NA,NA,NA,NA,NA
MG,HESp18,NA,HESp18,2013,Salix pulchra,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,19,15,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,HESp2,NA,HESp2,2013,Salix pulchra,Qikiqtaruk,NA,18/05/2015,5,18,2015,NA,NA,NA,NA,14.68,13.11,14.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,HESp2,NA,HESp2,2013,Salix pulchra,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,15,20,19,29,25,5,NA,NA,NA,NA,NA,NA,NA,NA
IMS,HESp2,NA,HESp2,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,21,19,23,8,12,8,NA,NA,NA,NA,NA,NA,NA,NA
IMS,HESp2,NA,HESp2,2013,Salix pulchra,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,HESp20,NA,HESp20,2013,Salix pulchra,Qikiqtaruk,NA,18/05/2015,5,18,2015,NA,NA,NA,NA,21.4,20.68,12.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,HESp20,NA,HESp20,2013,Salix pulchra,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,30,19,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,HESp20,NA,HESp20,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,35,32,35,43,20,30,NA,NA,NA,NA,NA,NA,NA,NA
MG,HESp20,NA,HESp20,2013,Salix pulchra,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,20,24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB,HESp23,NA,HESp23,2013,Salix pulchra,Qikiqtaruk,NA,19/05/2015,5,19,2015,NA,NA,NA,NA,11.9,13.53,19.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB,HESp23,NA,HESp23,2013,Salix pulchra,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,23,17,20,13,9,8,NA,NA,NA,NA,NA,NA,NA,NA
AB,HESp23,NA,HESp23,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,27,23,22,11,14,15,NA,NA,NA,NA,NA,"N or P deficiency, scene fence",NA,NA
AB,HESp23,NA,HESp23,2013,Salix pulchra,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,17,25,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,HESp24,NA,HERSp24,2013,Salix pulchra,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,40,30,32,NA,NA,NA,NA,NA,NA,NA,NA,Catkin,NA,NA
IMS,HESp24,NA,HERSp24,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,56,40,38,47,26,4,NA,NA,NA,NA,NA,NA,NA,NA
AB,HESp29,NA,HERSp29,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,36,35,32,25,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,HESp3,NA,HERSp3,2013,Salix pulchra,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible catkin (see photo),NA,NA
IMS,HESp3,NA,HERSp3,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,28,29,33,10,15,22,NA,NA,NA,NA,NA,NA,NA,NA
AB,HESp30,NA,HERSp30,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,25,26,27,22,20,3,NA,NA,NA,NA,NA,NA,NA,NA
AB,HESp30,NA,HESp30,2013,Salix pulchra,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,16,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,HESp4,NA,HERSp4,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,9,7,6,3,NA,NA,NA,NA,NA,NA,NA,Herb 10,NA,NA
IMS,HESp4,NA,HESp4,2013,Salix pulchra,Qikiqtaruk,NA,18/05/2015,5,18,2015,NA,NA,NA,NA,21.53,16.91,12.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,HESp4,NA,HESp4,2013,Salix pulchra,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,15,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,HESp4,NA,HESp4,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,32,26,27,37,30,20,NA,NA,NA,NA,NA,NA,NA,NA
IMS,HESp4,NA,HESp4,2013,Salix pulchra,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,HESp5,NA,HERSp5,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,9,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF,HESp6,NA,HESp6,2013,Salix pulchra,Qikiqtaruk,NA,18/05/2015,5,18,2015,NA,NA,NA,NA,15.35,12.1,12.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF,HESp6,NA,HESp6,2013,Salix pulchra,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,22,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF,HESp6,NA,HESp6,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,23,21,20,13,14,18,NA,NA,NA,NA,NA,NA,NA,NA
CF,HESp6,NA,HESp6,2013,Salix pulchra,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,18,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW,HESr13,NA,HESr13,2013,Salix richardsonii,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,30,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
