"","PhenocamID","Year","SampleID_standard","Species","population","All_snow_free_DOY","Snow_return_EoS_DOY","First_bud_burst_DOY","First_leaf_yellow_DOY","growing_season","Site"
"281","F2",2016,NA,"Salix arctica","Northern Source",144,NA,159,197,38,NA
"282","F3",2016,NA,"Salix arctica","Northern Source",144,NA,159,189,30,NA
"283","F4",2016,NA,"Salix arctica","Northern Source",144,NA,159,197,38,NA
"284","F5",2016,NA,"Salix arctica","Northern Source",142,NA,166,210,44,NA
"285","F6",2016,NA,"Salix arctica","Northern Source",144,NA,159,204,45,NA
"286","F7",2016,NA,"Salix arctica","Northern Source",142,NA,156,197,41,NA
"287","F8",2016,NA,"Salix arctica","Northern Source",142,NA,156,197,41,NA
"288","F9",2016,NA,"Salix arctica","Northern Source",142,NA,156,197,41,NA
"289","M1",2016,NA,"Salix arctica","Northern Source",144,NA,159,204,45,NA
"290","M10",2016,NA,"Salix arctica","Northern Source",142,NA,159,189,30,NA
"291","M2",2016,NA,"Salix arctica","Northern Source",144,NA,156,207,51,NA
"292","M3",2016,NA,"Salix arctica","Northern Source",142,NA,159,197,38,NA
"293","M4",2016,NA,"Salix arctica","Northern Source",142,NA,NA,NA,NA,NA
"294","M5",2016,NA,"Salix arctica","Northern Source",144,NA,177,NA,NA,NA
"295","M6",2016,NA,"Salix arctica","Northern Source",144,NA,159,197,38,NA
"296","M7",2016,NA,"Salix arctica","Northern Source",142,NA,159,214,55,NA
"297","M8",2016,NA,"Salix arctica","Northern Source",142,NA,156,197,41,NA
"298","M9",2016,NA,"Salix arctica","Northern Source",142,NA,147,207,60,NA
"299","F1",2015,NA,"Salix arctica","Northern Source",137,NA,144,212,68,NA
"300","F10",2015,NA,"Salix arctica","Northern Source",137,NA,137,212,75,NA
"301","F2",2015,NA,"Salix arctica","Northern Source",137,NA,141,200,59,NA
"302","F3",2015,NA,"Salix arctica","Northern Source",137,NA,147,196,49,NA
"303","F4",2015,NA,"Salix arctica","Northern Source",137,NA,144,212,68,NA
"304","F5",2015,NA,"Salix arctica","Northern Source",137,NA,137,217,80,NA
"305","F6",2015,NA,"Salix arctica","Northern Source",137,NA,NA,217,NA,NA
"306","F7",2015,NA,"Salix arctica","Northern Source",137,NA,137,212,75,NA
"307","F8",2015,NA,"Salix arctica","Northern Source",137,NA,141,196,55,NA
"308","F9",2015,NA,"Salix arctica","Northern Source",137,NA,141,200,59,NA
"309","M1",2015,NA,"Salix arctica","Northern Source",137,NA,144,200,56,NA
"310","M10",2015,NA,"Salix arctica","Northern Source",137,NA,141,196,55,NA
"311","M2",2015,NA,"Salix arctica","Northern Source",137,NA,141,200,59,NA
"312","M3",2015,NA,"Salix arctica","Northern Source",137,NA,141,212,71,NA
"313","M4",2015,NA,"Salix arctica","Northern Source",137,NA,141,212,71,NA
"314","M5",2015,NA,"Salix arctica","Northern Source",137,NA,141,196,55,NA
"315","M6",2015,NA,"Salix arctica","Northern Source",137,NA,141,196,55,NA
"316","M7",2015,NA,"Salix arctica","Northern Source",137,NA,141,200,59,NA
"317","M8",2015,NA,"Salix arctica","Northern Source",137,NA,141,217,76,NA
"318","M9",2015,NA,"Salix arctica","Northern Source",137,NA,141,196,55,NA
"319","F1",2014,NA,"Salix arctica","Northern Source",150,NA,168,213,45,NA
"320","F10",2014,NA,"Salix arctica","Northern Source",135,NA,135,216,81,NA
"321","F2",2014,NA,"Salix arctica","Northern Source",150,NA,166,196,30,NA
"322","F3",2014,NA,"Salix arctica","Northern Source",156,NA,166,213,47,NA
"323","F4",2014,NA,"Salix arctica","Northern Source",144,NA,196,213,17,NA
"324","F5",2014,NA,"Salix arctica","Northern Source",144,NA,166,NA,NA,NA
"325","F6",2014,NA,"Salix arctica","Northern Source",144,NA,166,231,65,NA
"326","F7",2014,NA,"Salix arctica","Northern Source",135,NA,153,216,63,NA
"327","F8",2014,NA,"Salix arctica","Northern Source",135,NA,150,204,54,NA
"328","F9",2014,NA,"Salix arctica","Northern Source",135,NA,150,225,75,NA
"329","M1",2014,NA,"Salix arctica","Northern Source",150,NA,159,213,54,NA
"330","M10",2014,NA,"Salix arctica","Northern Source",135,NA,147,213,66,NA
"331","M2",2014,NA,"Salix arctica","Northern Source",150,NA,159,231,72,NA
"332","M3",2014,NA,"Salix arctica","Northern Source",150,NA,166,216,50,NA
"333","M4",2014,NA,"Salix arctica","Northern Source",144,NA,166,204,38,NA
"334","M5",2014,NA,"Salix arctica","Northern Source",144,NA,159,204,45,NA
"335","M6",2014,NA,"Salix arctica","Northern Source",135,NA,153,227,74,NA
"336","M7",2014,NA,"Salix arctica","Northern Source",135,NA,150,231,81,NA
"337","M8",2014,NA,"Salix arctica","Northern Source",135,NA,147,183,36,NA
"338","M9",2014,NA,"Salix arctica","Northern Source",135,NA,150,222,72,NA
"339","QHI_1",2019,NA,"Salix arctica","Northern Source",159,NA,NA,206,NA,"QHI"
"340","QHI_2",2019,NA,"Salix arctica","Northern Source",159,NA,NA,NA,NA,"QHI"
"341","QHI_14 (prev called Phenocam 4)",2019,NA,"Salix richardsonii","Northern Source",165,NA,NA,NA,NA,"QHI"
"342","QHI_1",2018,NA,"Salix arctica","Northern Source",162,NA,175,NA,NA,"QHI"
"343","QHI_2",2018,NA,"Salix arctica","Northern Source",165,NA,NA,NA,NA,"QHI"
"344","QHI_3",2018,NA,"Salix pulchra","Northern Source",165,NA,176,NA,NA,"QHI"
"345","QHI_14 (prev called Phenocam 4)",2018,NA,"Salix richardsonii","Northern Source",172,242,177,NA,NA,"QHI"
"346","QHI_5",2018,NA,"Salix arctica","Northern Source",165,NA,NA,NA,NA,"QHI"
"347","QHI_6",2018,NA,"Salix pulchra","Northern Source",165,245,175,228,53,"QHI"
"348","QHI_1",2017,NA,"Salix arctica","Northern Source",150,NA,168,211,43,"QHI"
"349","QHI_2",2017,NA,"Salix arctica","Northern Source",150,NA,162,221,59,"QHI"
"350","QHI_3",2017,NA,"Salix pulchra","Northern Source",139,NA,169,221,52,"QHI"
"351","QHI_14 (prev called Phenocam 4)",2017,NA,"Salix richardsonii","Northern Source",159,NA,NA,217,NA,"QHI"
"352","QHI_5",2017,NA,"Salix arctica","Northern Source",148,NA,167,221,54,"QHI"
"353","QHI_6",2017,NA,"Salix pulchra","Northern Source",139,NA,161,207,46,"QHI"
"354","QHI_1",2016,NA,"Salix arctica","Northern Source",158,NA,NA,211,NA,"QHI"
"355","QHI_2",2016,NA,"Salix arctica","Northern Source",158,NA,NA,211,NA,"QHI"
"356","QHI_3",2016,NA,"Salix pulchra","Northern Source",158,NA,NA,NA,NA,"QHI"
"357","QHI_14 (prev called Phenocam 4)",2016,NA,"Salix richardsonii","Northern Source",164,NA,NA,NA,NA,"QHI"
"358","QHI_5",2016,NA,"Salix arctica","Northern Source",158,NA,NA,211,NA,"QHI"
"359","QHI_6",2016,NA,"Salix pulchra","Northern Source",158,NA,NA,NA,NA,"QHI"
"360","KP1",2021,NA,"Salix pulchra","Southern Source",172,240,NA,201,NA,"Kluane"
"361","KP2",2021,NA,"Salix pulchra","Southern Source",172,240,NA,200,NA,"Kluane"
"362","KP7",2021,NA,"Salix richardsonii","Southern Source",174,240,NA,202,NA,"Kluane"
"363","KP3",2021,NA,"Salix richardsonii","Southern Source",172,240,NA,199,NA,"Kluane"
"364","KP5",2021,NA,"Salix pulchra","Southern Source",172,240,NA,223,NA,"Kluane"
"365","KP9",2021,NA,"Salix richardsonii","Southern Source",174,240,NA,193,NA,"Kluane"
"366","KP4",2021,NA,"Salix pulchra","Southern Source",172,240,NA,225,NA,"Kluane"
"367","KP6",2021,NA,"Salix richardsonii","Southern Source",177,240,NA,215,NA,"Kluane"
"368","KP8",2021,NA,"Salix richardsonii","Southern Source",174,240,NA,216,NA,"Kluane"
"369","KP1",2022,NA,"Salix pulchra","Southern Source",174,269,174,229,55,"Kluane"
"370","KP2",2022,NA,"Salix pulchra","Southern Source",174,269,173,226,53,"Kluane"
"371","KP7",2022,NA,"Salix richardsonii","Southern Source",167,269,170,224,54,"Kluane"
"372","KP3",2022,NA,"Salix richardsonii","Southern Source",173,269,174,208,34,"Kluane"
"373","KP5",2022,NA,"Salix pulchra","Southern Source",169,269,177,NA,NA,"Kluane"
"374","KP9",2022,NA,"Salix richardsonii","Southern Source",170,269,175,228,53,"Kluane"
"375","KP4",2022,NA,"Salix pulchra","Southern Source",172,269,175,227,52,"Kluane"
"376","KP6",2022,NA,"Salix richardsonii","Southern Source",179,NA,176,233,57,"Kluane"
"377","KP8",2022,NA,"Salix richardsonii","Southern Source",173,NA,178,226,48,"Kluane"
"378","QHI_1",2022,NA,"Salix arctica","Northern Source",163,NA,NA,204,NA,"QHI"
"379","QHI_2",2022,NA,"Salix arctica","Northern Source",163,268,NA,207,NA,"QHI"
"380","QHI_3",2022,NA,"Salix pulchra","Northern Source",163,NA,NA,202,NA,"QHI"
"381","QHI_4",2022,NA,"Salix richardsonii","Northern Source",179,NA,NA,206,NA,"QHI"
"382","QHI_5",2022,NA,"Salix arctica","Northern Source",146,NA,NA,213,NA,"QHI"
"383","QHI_6",2022,NA,"Salix pulchra","Northern Source",146,NA,NA,212,NA,"QHI"
"384","QHI_7",2022,NA,"Salix richardsonii","Northern Source",179,NA,NA,209,NA,"QHI"
"385","QHI_9",2022,NA,"Salix richardsonii","Northern Source",163,268,NA,205,NA,"QHI"
"386","QHI_10",2022,NA,"Salix arctica","Northern Source",146,268,NA,216,NA,"QHI"
"387","QHI_11",2022,NA,"Salix richardsonii","Northern Source",146,NA,NA,207,NA,"QHI"
"388","QHI_12",2022,NA,"Salix pulchra","Northern Source",167,NA,NA,209,NA,"QHI"
"389","QHI_13",2022,NA,"Salix arctica","Northern Source",167,NA,NA,208,NA,"QHI"
"390","QHI_14",2022,NA,"Salix richardsonii","Northern Source",179,NA,NA,219,NA,"QHI"
"391","QHI_15",2022,NA,"Salix pulchra","Northern Source",164,270,NA,214,NA,"QHI"
"392","QHI_18",2022,NA,"Salix arctica","Northern Source",181,268,NA,216,NA,"QHI"
"393","QHI_19",2022,NA,"Salix arctica","Northern Source",177,268,NA,209,NA,"QHI"
"394","QHI_20",2022,NA,"Salix arctica","Northern Source",177,NA,NA,207,NA,"QHI"
"395","QHI_1",2023,NA,"Salix arctica","Northern Source",161,NA,NA,208,NA,"QHI"
"396","QHI_2",2023,NA,"Salix arctica","Northern Source",161,NA,162,209,47,"QHI"
"397","QHI_3",2023,NA,"Salix pulchra","Northern Source",161,NA,168,NA,NA,"QHI"
"398","QHI_4",2023,NA,"Salix richardsonii","Northern Source",282,NA,NA,207,NA,"QHI"
"399","QHI_5",2023,NA,"Salix arctica","Northern Source",161,NA,NA,211,NA,"QHI"
"400","QHI_6",2023,NA,"Salix pulchra","Northern Source",161,NA,NA,205,NA,"QHI"
"401","QHI_7",2023,NA,"Salix richardsonii","Northern Source",161,NA,NA,210,NA,"QHI"
"402","QHI_9",2023,NA,"Salix richardsonii","Northern Source",282,NA,165,207,42,"QHI"
"403","QHI_10",2023,NA,"Salix arctica","Northern Source",161,NA,NA,207,NA,"QHI"
"404","QHI_11",2023,NA,"Salix richardsonii","Northern Source",161,NA,NA,NA,NA,"QHI"
"405","QHI_12",2023,NA,"Salix pulchra","Northern Source",161,NA,NA,NA,NA,"QHI"
"406","QHI_13",2023,NA,"Salix arctica","Northern Source",161,NA,NA,211,NA,"QHI"
"407","QHI_14",2023,NA,"Salix richardsonii","Northern Source",173,NA,170,209,39,"QHI"
"408","QHI_15",2023,NA,"Salix pulchra","Northern Source",162,NA,NA,207,NA,"QHI"
"409","QHI_18",2023,NA,"Salix arctica","Northern Source",161,NA,166,214,48,"QHI"
"410","QHI_19",2023,NA,"Salix arctica","Northern Source",161,NA,165,205,40,"QHI"
"411","QHI_20",2023,NA,"Salix arctica","Northern Source",161,NA,NA,202,NA,"QHI"
"412","KP1",2023,NA,"Salix pulchra","Southern Source",159,NA,170,224,54,"Kluane"
"413","KP2",2023,NA,"Salix pulchra","Southern Source",158,NA,NA,223,NA,"Kluane"
"414","KP3",2023,NA,"Salix richardsonii","Southern Source",159,NA,162,228,66,"Kluane"
"415","KP4",2023,NA,"Salix pulchra","Southern Source",157,NA,NA,219,NA,"Kluane"
"416","KP7",2023,NA,"Salix richardsonii","Southern Source",156,NA,159,222,63,"Kluane"
"417","KP8",2023,NA,"Salix richardsonii","Southern Source",159,NA,NA,224,NA,"Kluane"
"418","KP9",2023,NA,"Salix richardsonii","Southern Source",159,NA,NA,232,NA,"Kluane"
