"","PhenocamID","Year","SampleID_standard","Species","population","All_snow_free_DOY","Snow_return_EoS_DOY","First_bud_burst_DOY","First_leaf_yellow_DOY","growing_season","Site"
"117","KLUANECAM3",2021,"KLSRE15","Salix richardsonii","Southern Garden",117,270,140,219,79,NA
"118","KLUANECAM3",2021,"KLSRE14","Salix richardsonii","Southern Garden",118,270,141,218,77,NA
"119","KLUANECAM3",2021,"KLSRE13","Salix richardsonii","Southern Garden",119,270,140,220,80,NA
"120","KLUANECAM3",2021,"KLSRC10","Salix richardsonii","Southern Garden",120,270,142,219,77,NA
"121","KLUANECAM3",2021,"H15SP27","Salix pulchra","Northern Garden",121,270,139,224,85,NA
"122","KLUANECAM3",2021,"PC16CESP7","Salix pulchra","Southern Garden",122,270,135,210,75,NA
"123","KLUANECAM3",2021,"H17SP10","Salix pulchra","Northern Garden",123,270,139,174,35,NA
"124","KLUANECAM3",2021,"HERSP29","Salix pulchra","Northern Garden",124,270,NA,215,NA,NA
"125","KLUANECAM3",2021,"KP17SP9","Salix pulchra","Southern Garden",125,270,140,NA,NA,NA
"126","KLUANECAM3",2021,"KP16SP33","Salix pulchra","Southern Garden",126,270,143,197,54,NA
"127","KLUANECAM3",2021,"H15SP29","Salix pulchra","Northern Garden",127,270,139,189,50,NA
"128","KLUANECAM3",2022,"KLSRC13","Salix richardsonii","Southern Garden",110,269,NA,229,NA,NA
"129","KLUANECAM3",2022,"KLSRE15","Salix richardsonii","Southern Garden",110,269,NA,255,NA,NA
"130","KLUANECAM3",2022,"KLSRE14","Salix richardsonii","Southern Garden",110,269,NA,227,NA,NA
"131","KLUANECAM3",2022,"KLSRE13","Salix richardsonii","Southern Garden",110,269,NA,248,NA,NA
"132","KLUANECAM3",2022,"KLSRC10","Salix richardsonii","Southern Garden",110,269,NA,NA,NA,NA
"133","KLUANECAM3",2022,"H15SP27","Salix pulchra","Northern Garden",110,269,NA,NA,NA,NA
"134","KLUANECAM3",2022,"PC16CESP7","Salix pulchra","Southern Garden",110,269,NA,NA,NA,NA
"135","KLUANECAM3",2022,"H17SP10","Salix pulchra","Northern Garden",110,269,NA,196,NA,NA
"136","KLUANECAM3",2022,"HERSP29","Salix pulchra","Northern Garden",110,269,NA,NA,NA,NA
