"","Year_planted","Cutting_length","SampleID_standard","Species","Site","max_mean_width_cm","max_canopy_height_cm"
"264",2016,13,"KP16SA16","Salix arctica","Kluane",NA,NA
"265",2016,15.4,"KP16SA18","Salix arctica","Kluane",NA,NA
"266",2016,17.5,"KP16SA19","Salix arctica","Kluane",NA,NA
"267",2016,43,"HE16SP1","Salix pulchra","Qikiqtaruk",NA,NA
"268",2016,37,"HE16SP2","Salix pulchra","Qikiqtaruk",NA,NA
"269",2016,49,"HE16SP3","Salix pulchra","Qikiqtaruk",NA,NA
"270",2016,51,"HE16SP4","Salix pulchra","Qikiqtaruk",NA,28.8
"271",2016,62,"HE16SP5","Salix pulchra","Qikiqtaruk",NA,NA
"272",2016,57,"HE16SP6","Salix pulchra","Qikiqtaruk",NA,NA
"273",2016,50,"HE16SP7","Salix pulchra","Qikiqtaruk",NA,NA
"274",2016,31,"HE16SP8","Salix pulchra","Qikiqtaruk",NA,NA
"275",2016,41,"HE16SP9","Salix pulchra","Qikiqtaruk",NA,NA
"276",2016,59,"HE16SP10","Salix pulchra","Qikiqtaruk",NA,NA
"277",2016,18.3,"HE16SP12","Salix pulchra","Qikiqtaruk",NA,NA
"278",2016,25.1,"HE16SP13","Salix pulchra","Qikiqtaruk",NA,NA
"279",2016,19.9,"HE16SP15","Salix pulchra","Qikiqtaruk",17.8,6.2
"280",2016,31.5,"HE16SP16","Salix pulchra","Qikiqtaruk",NA,1.9
"281",2016,30.4,"HE16SP17","Salix pulchra","Qikiqtaruk",13.25,6.3
"282",2016,35,"HE16SP18","Salix pulchra","Qikiqtaruk",NA,NA
"283",2016,31.4,"HE16SP19","Salix pulchra","Qikiqtaruk",NA,9
"284",2016,38.2,"HE16SP20","Salix pulchra","Qikiqtaruk",NA,NA
"285",2016,31.6,"HE16SA1","Salix arctica","Qikiqtaruk",NA,NA
"286",2016,15.3,"HE16SA2","Salix arctica","Qikiqtaruk",NA,NA
"287",2016,18.1,"HE16SA3","Salix arctica","Qikiqtaruk",22.4,7.6
"288",2016,26.9,"HE16SA5","Salix arctica","Qikiqtaruk",NA,NA
"289",2016,34,"HE16SR11","Salix richardsonii","Qikiqtaruk",NA,NA
"290",2016,39.2,"HE16SR12","Salix richardsonii","Qikiqtaruk",NA,NA
"291",2016,28.7,"HE16SR13","Salix richardsonii","Qikiqtaruk",NA,NA
"292",2016,28.2,"HE16SR14","Salix richardsonii","Qikiqtaruk",NA,NA
"293",2016,32.1,"HE16SR15","Salix richardsonii","Qikiqtaruk",NA,NA
"294",2016,31.2,"HE16SR16","Salix richardsonii","Qikiqtaruk",NA,NA
"295",2016,36.5,"HE16SR17","Salix richardsonii","Qikiqtaruk",NA,NA
"296",2016,36.7,"HE16SR18","Salix richardsonii","Qikiqtaruk",NA,NA
"297",2016,33.6,"HE16SR19","Salix richardsonii","Qikiqtaruk",NA,NA
"298",2016,38,"HE16SR20","Salix richardsonii","Qikiqtaruk",NA,NA
"299",2016,20.2,"HE16SA6","Salix arctica","Qikiqtaruk",8.25,4.5
"300",2016,27.6,"HE16SA7","Salix arctica","Qikiqtaruk",26.6,6
"301",2016,30.2,"HE16SA9","Salix arctica","Qikiqtaruk",NA,NA
"302",2016,20.8,"HE16SA10","Salix arctica","Qikiqtaruk",NA,4
"303",2016,45.2,"HE16SP21","Salix pulchra","Qikiqtaruk",NA,NA
"304",2016,46.4,"HE16SP23","Salix pulchra","Qikiqtaruk",NA,NA
"305",2016,44.9,"HE16SP24","Salix pulchra","Qikiqtaruk",NA,NA
"306",2016,47.2,"HE16SP25","Salix pulchra","Qikiqtaruk",NA,24
"307",2016,35.2,"HE16SP26","Salix pulchra","Qikiqtaruk",NA,NA
"308",2016,36,"HE16SP27","Salix pulchra","Qikiqtaruk",NA,NA
"309",2016,20.5,"HE16SP28","Salix pulchra","Qikiqtaruk",NA,NA
"310",2016,44.5,"HE16SP29","Salix pulchra","Qikiqtaruk",NA,NA
"311",2016,46.5,"HE16SP30","Salix pulchra","Qikiqtaruk",NA,NA
"312",2016,35.6,"HE16SR21","Salix richardsonii","Qikiqtaruk",NA,NA
"313",2016,34.7,"HE16SR22","Salix richardsonii","Qikiqtaruk",NA,NA
"314",2016,39.1,"HE16SR23","Salix richardsonii","Qikiqtaruk",NA,4.6
"315",2016,22.5,"HE16SR25","Salix richardsonii","Qikiqtaruk",NA,NA
"316",2016,25.2,"HE16SR26","Salix richardsonii","Qikiqtaruk",NA,NA
"317",2016,30.4,"HE16SR27","Salix richardsonii","Qikiqtaruk",NA,NA
"318",2016,24,"HE16SR28","Salix richardsonii","Qikiqtaruk",NA,NA
"319",2016,30.5,"HE16SR29","Salix richardsonii","Qikiqtaruk",NA,NA
"320",2016,28,"HE16SA11","Salix arctica","Qikiqtaruk",NA,NA
"321",2016,15.6,"HE16SA12","Salix arctica","Qikiqtaruk",NA,NA
"322",2016,24,"HE16SA13","Salix arctica","Qikiqtaruk",NA,NA
"323",2016,19.1,"HE16SA14","Salix arctica","Qikiqtaruk",23.75,6.4
"324",2016,50.8,"KP16SP41","Salix pulchra","Kluane",NA,11.3
"325",2016,42,"KP16SP42","Salix pulchra","Kluane",NA,NA
"326",2016,47.5,"KP16SP43","Salix pulchra","Kluane",22.5,24.5
"327",2016,41.9,"KP16SP44","Salix pulchra","Kluane",NA,NA
"328",2016,41.1,"KP16SP45","Salix pulchra","Kluane",NA,25.5
"329",2016,42.9,"KP16SP46","Salix pulchra","Kluane",30.5,27.5
"330",2016,32.5,"KP16SP47","Salix pulchra","Kluane",NA,NA
"331",2016,36.2,"KP16SP48","Salix pulchra","Kluane",NA,NA
"332",2016,36.4,"KP16SP49","Salix pulchra","Kluane",NA,NA
"333",2016,41.5,"KP16SP50","Salix pulchra","Kluane",NA,NA
"334",2016,42.3,"KP16SP51","Salix pulchra","Kluane",15.65,32
"335",2016,35,"KP16SP52","Salix pulchra","Kluane",42.75,24.5
"336",2016,30.5,"KP16SP53","Salix pulchra","Kluane",NA,NA
"337",2016,41.2,"KP16SP56","Salix pulchra","Kluane",58.85,41.1
"338",2016,34.8,"KP16SP57","Salix pulchra","Kluane",NA,18.5
"339",2016,47.5,"KP16SP59","Salix pulchra","Kluane",56.9,22.3
"340",2016,37.8,"KP16SP60","Salix pulchra","Kluane",36.75,34.3
"341",2016,43.4,"KP16SR41","Salix richardsonii","Kluane",32.5,29
"342",2016,38.5,"KP16SR42","Salix richardsonii","Kluane",NA,NA
"343",2016,51.6,"KP16SR43","Salix richardsonii","Kluane",NA,NA
"344",2016,43.5,"KP16SR44","Salix richardsonii","Kluane",NA,NA
"345",2016,43.4,"KP16SR45","Salix richardsonii","Kluane",NA,NA
"346",2016,54.8,"KP16SR46","Salix richardsonii","Kluane",NA,NA
"347",2016,35.4,"KP16SR47","Salix richardsonii","Kluane",NA,NA
"348",2016,39.9,"KP16SR48","Salix richardsonii","Kluane",NA,NA
"349",2016,45.5,"KP16SR49","Salix richardsonii","Kluane",NA,NA
"350",2016,37.5,"KP16SR50","Salix richardsonii","Kluane",NA,NA
"351",2016,46.7,"KP16SR51","Salix richardsonii","Kluane",33,38
"352",2016,34.1,"KP16SR52","Salix richardsonii","Kluane",53.75,45
"353",2016,36.3,"KP16SR53","Salix richardsonii","Kluane",41.4,21.6
"354",2016,28.1,"KP16SR54","Salix richardsonii","Kluane",NA,NA
