"","SampleID_standard","Length_1_mm","Length_2_mm","Length_3_mm","Month","Day","Year","Site","population","Species","mean_leaf_length","Bed","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","mean_stem_elong","mean_width","Latitude","Longitude","Elevation","Sample_ID","Sample_age"
"53","KLSRE13",13,15,14,8,15,2015,"Common_garden","Southern","Salix richardsonii",14,"IR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"54","KLSRE14",16,17,8,8,15,2015,"Common_garden","Southern","Salix richardsonii",13.6666666666667,"IR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"55","KLSRE15",12,13,14,8,15,2015,"Common_garden","Southern","Salix richardsonii",13,"IR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"56","KLSRE4",10,12,12,8,15,2015,"Common_garden","Southern","Salix richardsonii",11.3333333333333,"LB",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"57","KLSRE6",17,15,17,8,15,2015,"Common_garden","Southern","Salix richardsonii",16.3333333333333,"SW",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"58","KLSRE7",18,15,14,8,15,2015,"Common_garden","Southern","Salix richardsonii",15.6666666666667,"SW",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"59","KLSRE9",15,14,16,8,15,2015,"Common_garden","Southern","Salix richardsonii",15,"SW",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"60","H15SP1",26,21,22,8,11,2016,"Common_garden","Northern","Salix pulchra",23,"IMS",2015,5.5,NA,NA,NA,13,6,NA,NA,NA,NA,NA,NA,NA,1
"61","H15SP10",38,30,25,8,11,2016,"Common_garden","Northern","Salix pulchra",31,"CF",2015,5,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,1
"62","H15SP11",26,19,14,8,11,2016,"Common_garden","Northern","Salix pulchra",19.6666666666667,"CF",2015,1.6,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,1
"63","H15SP12",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"CF",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
